Date,Brent Oil Futu,Crude Oil WTI Fut,Gasoline RBOB Futu,Heating Oil Fut,Natural Gas Fut
2005-01-03,,42.12,,1.1922,5.79
2005-01-04,41.04,43.91,,1.2466,5.9
2005-01-05,40.51,43.39,,1.2184,5.83
2005-01-06,42.85,45.56,,1.2813,6.05
2005-01-07,43.18,45.43,,1.2733,6.0
2005-01-10,42.92,45.33,,1.2763,6.16
2005-01-11,43.12,45.68,,1.2936,6.09
2005-01-12,43.68,46.37,,1.3004,5.94
2005-01-13,45.21,48.04,,1.3411,6.45
2005-01-14,45.15,48.38,,1.3509,6.39
2005-01-17,45.03,,,,
2005-01-18,45.39,48.38,,1.3438,6.14
2005-01-19,44.71,47.55,,1.3426,6.29
2005-01-20,44.32,46.91,,1.3398,6.31
2005-01-21,45.73,48.53,,1.3837,6.24
2005-01-24,46.01,48.81,,1.4032,6.48
2005-01-25,46.96,49.64,,1.4248,6.4
2005-01-26,46.51,48.78,,1.4033,6.39
2005-01-27,46.44,48.84,,1.3969,6.29
2005-01-28,44.95,47.18,,1.338,6.26
2005-01-31,45.92,48.2,,1.3308,6.32
2005-02-01,44.82,47.12,,1.3139,6.32
2005-02-02,44.01,46.69,,1.297,6.38
2005-02-03,43.85,46.45,,1.2765,6.15
2005-02-04,43.89,46.48,,1.2742,6.1
2005-02-07,43.04,45.28,,1.2306,5.97
2005-02-08,43.07,45.4,,1.246,6.16
2005-02-09,43.13,45.46,,1.2642,6.17
2005-02-10,44.48,47.1,,1.3213,6.16
2005-02-11,44.8,47.16,,1.3058,6.09
2005-02-14,45.53,47.44,,1.2944,6.09
2005-02-15,45.39,47.26,,1.2913,6.17
2005-02-16,46.15,48.33,,1.342,6.11
2005-02-17,45.82,47.54,,1.3128,5.92
2005-02-18,46.34,48.35,,1.3493,5.91
2005-02-21,46.73,,,,
2005-02-22,48.62,51.15,,1.4402,6.1
2005-02-23,48.51,51.17,,1.4831,6.31
2005-02-24,49.44,51.39,,1.465,6.3
2005-02-25,49.61,51.49,,1.4541,6.71
2005-02-28,50.06,51.75,,1.4914,6.73
2005-03-01,50.11,51.68,,1.4652,6.68
2005-03-02,51.22,53.05,,1.5085,6.72
2005-03-03,51.95,53.57,,1.4908,6.66
