"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","5.817","6.116","6.202","5.774","102.11K","-4.87%"
"Oct 27, 2021","6.115","5.839","6.291","5.770","0.92K","4.87%"
"Oct 26, 2021","5.831","6.032","6.091","5.598","0.02K","-3.54%"
"Oct 25, 2021","6.045","5.564","6.048","5.501","0.58K","8.72%"
"Oct 24, 2021","5.560","5.476","5.577","5.462","2.64K","4.79%"
"Oct 22, 2021","5.306","5.170","5.374","5.123","71.11K","2.55%"
"Oct 21, 2021","5.174","5.175","5.224","5.010","0.53K","-0.10%"
"Oct 20, 2021","5.179","5.067","5.219","4.916","0.55K","2.25%"
"Oct 19, 2021","5.065","4.987","5.100","4.827","0.53K","1.58%"
"Oct 18, 2021","4.986","5.244","5.369","4.955","0.64K","-4.99%"
"Oct 17, 2021","5.248","5.251","5.310","5.228","3.77K","-3.21%"
"Oct 15, 2021","5.422","5.627","5.783","5.400","175.25K","-3.61%"
"Oct 14, 2021","5.625","5.668","5.945","5.604","1.00K","-0.79%"
"Oct 13, 2021","5.670","5.439","5.690","5.354","1.02K","4.21%"
"Oct 12, 2021","5.441","5.364","5.520","5.171","0.81K","1.45%"
"Oct 11, 2021","5.363","5.684","5.799","5.310","1.67K","-5.71%"
"Oct 10, 2021","5.688","5.684","5.736","5.675","3.51K","1.46%"
"Oct 08, 2021","5.606","5.768","5.876","5.552","145.58K","-2.77%"
"Oct 07, 2021","5.766","5.783","5.830","5.394","1.24K","-0.29%"
"Oct 06, 2021","5.783","6.413","6.463","5.663","1.95K","-8.35%"
"Oct 05, 2021","6.310","6.320","6.330","6.310","208.53K","9.36%"
"Oct 04, 2021","5.770","5.630","6.060","5.630","209.58K","2.67%"
"Oct 01, 2021","5.620","5.970","6.010","5.530","178.94K","-4.26%"
"Sep 30, 2021","5.870","5.460","5.990","5.340","243.24K","7.12%"
"Sep 29, 2021","5.480","5.860","5.960","5.420","226.34K","-6.16%"
"Sep 28, 2021","5.840","5.800","6.280","5.600","5.66K","2.28%"
"Sep 27, 2021","5.710","5.190","5.850","5.180","63.07K","11.09%"
"Sep 24, 2021","5.140","5.040","5.180","4.990","47.44K","3.21%"
"Sep 23, 2021","4.980","4.760","5.040","4.740","105.20K","3.75%"
"Sep 22, 2021","4.800","4.810","4.900","4.740","108.78K","0.00%"
"Sep 21, 2021","4.800","4.960","5.050","4.740","163.10K","-3.81%"
"Sep 20, 2021","4.990","5.010","5.170","4.910","156.87K","-2.35%"
"Sep 17, 2021","5.110","5.270","5.390","5.040","164.58K","-4.13%"
"Sep 16, 2021","5.330","5.410","5.600","5.230","221.14K","-2.38%"
"Sep 15, 2021","5.460","5.280","5.650","5.270","279.12K","3.80%"
"Sep 14, 2021","5.260","5.200","5.370","5.170","200.94K","0.57%"
"Sep 13, 2021","5.230","4.950","5.290","4.880","201.77K","5.87%"
"Sep 10, 2021","4.940","5.000","5.060","4.910","151.04K","-1.79%"
"Sep 09, 2021","5.030","4.920","5.050","4.820","234.85K","2.44%"
"Sep 08, 2021","4.910","4.600","5.010","4.580","244.74K","7.44%"
"Sep 07, 2021","4.570","4.710","4.770","4.560","163.66K","-2.97%"
"Sep 03, 2021","4.710","4.630","4.720","4.590","110.95K","1.51%"
"Sep 02, 2021","4.640","4.640","4.730","4.580","176.85K","0.43%"
"Sep 01, 2021","4.620","4.400","4.710","4.380","241.16K","5.48%"
"Aug 31, 2021","4.380","4.310","4.420","4.210","147.42K","1.86%"
"Aug 30, 2021","4.300","4.500","4.530","4.220","167.10K","-1.60%"
"Aug 27, 2021","4.370","4.200","4.400","4.200","4.28K","4.55%"
"Aug 26, 2021","4.180","3.920","4.220","3.900","76.86K","7.18%"
"Aug 25, 2021","3.900","3.900","3.990","3.860","39.37K","0.00%"
"Aug 24, 2021","3.900","3.930","3.970","3.880","57.63K","-1.02%"
"Aug 23, 2021","3.940","3.860","3.950","3.840","85.50K","2.34%"
"Aug 20, 2021","3.850","3.860","3.950","3.830","108.52K","0.52%"
"Aug 19, 2021","3.830","3.830","3.880","3.730","121.76K","-0.52%"
"Aug 18, 2021","3.850","3.830","3.880","3.790","95.51K","0.26%"
"Aug 17, 2021","3.840","3.940","3.950","3.800","131.22K","-2.78%"
"Aug 16, 2021","3.950","3.850","3.990","3.820","101.67K","2.33%"
"Aug 13, 2021","3.860","3.920","3.950","3.850","123.01K","-1.78%"
"Aug 12, 2021","3.930","4.060","4.070","3.900","186.99K","-3.20%"
"Aug 11, 2021","4.060","4.110","4.130","3.980","161.90K","-0.73%"
"Aug 10, 2021","4.090","4.040","4.130","4.020","157.51K","0.74%"
"Aug 09, 2021","4.060","4.170","4.180","4.000","180.00K","-1.93%"
"Aug 06, 2021","4.140","4.160","4.190","4.100","153.15K","0.00%"
"Aug 05, 2021","4.140","4.150","4.210","4.120","125.23K","-0.48%"
"Aug 04, 2021","4.160","4.070","4.210","4.060","142.59K","3.23%"
"Aug 03, 2021","4.030","3.960","4.080","3.920","120.86K","2.28%"
"Aug 02, 2021","3.940","3.970","4.040","3.930","110.95K","0.77%"
"Jul 30, 2021","3.910","4.050","4.050","3.850","161.87K","-3.69%"
"Jul 29, 2021","4.060","3.940","4.100","3.930","118.45K","0.50%"
"Jul 28, 2021","4.040","3.950","4.060","3.870","3.88K","1.76%"
