"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","13.598","13.580","13.640","13.563","-","2.28%"
"Oct 27, 2021","13.295","13.300","13.380","13.290","0.79K","0.11%"
"Oct 26, 2021","13.280","13.400","13.415","13.275","0.61K","-0.90%"
"Oct 25, 2021","13.400","13.600","13.600","13.400","0.68K","-0.78%"
"Oct 22, 2021","13.505","13.560","13.600","13.470","0.58K","-0.48%"
"Oct 21, 2021","13.570","13.605","13.625","13.395","0.77K","-0.29%"
"Oct 20, 2021","13.610","13.710","13.720","13.605","0.92K","-0.80%"
"Oct 19, 2021","13.720","13.850","13.875","13.710","0.61K","-0.94%"
"Oct 18, 2021","13.850","13.850","13.885","13.705","0.61K","-0.04%"
"Oct 15, 2021","13.855","13.935","13.950","13.800","0.67K","-0.11%"
"Oct 14, 2021","13.870","13.785","13.945","13.785","0.86K","0.47%"
"Oct 13, 2021","13.805","13.715","13.820","13.675","0.87K","0.73%"
"Oct 12, 2021","13.705","13.735","13.775","13.675","0.53K","-0.54%"
"Oct 11, 2021","13.780","13.770","13.835","13.720","0.54K","0.33%"
"Oct 08, 2021","13.735","13.835","13.840","13.720","0.64K","-0.76%"
"Oct 07, 2021","13.840","13.650","13.860","13.620","0.59K","1.69%"
"Oct 06, 2021","13.610","13.580","13.650","13.520","0.41K","0.63%"
"Oct 05, 2021","13.525","13.535","13.550","13.520","0.44K","-0.11%"
"Oct 04, 2021","13.540","13.615","13.670","13.530","0.70K","-0.55%"
"Oct 01, 2021","13.615","13.690","13.770","13.555","0.55K","-0.73%"
"Sep 30, 2021","13.715","13.770","13.800","13.610","0.50K","-0.65%"
"Sep 29, 2021","13.805","13.835","13.915","13.780","0.43K","-0.90%"
"Sep 28, 2021","13.930","13.940","14.000","13.760","0.54K","-0.46%"
"Sep 27, 2021","13.995","13.860","14.000","13.850","0.63K","0.68%"
"Sep 24, 2021","13.900","13.795","13.950","13.690","0.46K","0.51%"
"Sep 23, 2021","13.830","13.895","13.920","13.735","0.46K","-0.40%"
"Sep 22, 2021","13.885","13.845","13.900","13.650","0.52K","0.25%"
"Sep 21, 2021","13.850","13.640","13.880","13.640","0.46K","0.91%"
"Sep 20, 2021","13.725","13.780","13.800","13.515","0.46K","-0.40%"
"Sep 17, 2021","13.780","13.695","13.785","13.695","0.39K","0.69%"
"Sep 16, 2021","13.685","13.785","13.800","13.630","0.62K","-0.76%"
"Sep 15, 2021","13.790","13.615","13.800","13.555","0.73K","2.64%"
"Sep 14, 2021","13.435","13.485","13.700","13.480","0.01K","0.83%"
"Sep 13, 2021","13.325","13.463","13.600","13.463","0.03K","0.49%"
"Sep 10, 2021","13.260","13.250","13.250","13.250","0.02K","1.34%"
"Sep 09, 2021","13.085","13.090","13.140","13.090","0.09K","-0.11%"
"Sep 08, 2021","13.100","13.070","13.075","13.030","0.04K","0.00%"
"Sep 07, 2021","13.100","13.120","13.120","13.100","0.01K","0.23%"
"Sep 03, 2021","13.070","13.065","13.065","13.045","0.12K","0.11%"
"Sep 02, 2021","13.055","13.050","13.050","13.030","0.02K","0.62%"
"Sep 01, 2021","12.975","13.045","13.045","12.945","0.03K","-1.18%"
"Aug 31, 2021","13.130","13.160","13.160","13.010","0.05K","-0.23%"
"Aug 30, 2021","13.160","13.205","13.300","13.050","0.80K","-0.53%"
"Aug 27, 2021","13.230","13.295","13.390","13.195","0.31K","-0.60%"
"Aug 26, 2021","13.310","13.310","13.350","13.225","0.25K","-0.34%"
"Aug 25, 2021","13.355","13.350","13.405","13.195","0.29K","-0.15%"
"Aug 24, 2021","13.375","13.410","13.445","13.335","0.54K","-0.11%"
"Aug 23, 2021","13.390","13.260","13.420","13.200","0.47K","0.90%"
"Aug 20, 2021","13.270","13.200","13.295","13.195","0.54K","0.57%"
"Aug 19, 2021","13.195","13.260","13.285","13.180","0.63K","-0.68%"
"Aug 18, 2021","13.285","13.500","13.580","13.280","1.20K","-1.19%"
"Aug 17, 2021","13.445","13.545","13.550","13.450","0.85K","-0.77%"
"Aug 16, 2021","13.550","13.550","13.610","13.470","0.78K","0.15%"
"Aug 13, 2021","13.530","13.535","13.630","13.515","0.53K","0.04%"
"Aug 12, 2021","13.525","13.405","13.580","13.345","0.37K","0.71%"
"Aug 11, 2021","13.430","13.405","13.550","13.405","0.45K","-0.41%"
"Aug 10, 2021","13.485","13.400","13.510","13.360","0.51K","0.71%"
"Aug 09, 2021","13.390","13.360","13.410","13.315","0.33K","0.53%"
"Aug 06, 2021","13.320","13.330","13.375","13.210","0.42K","0.26%"
"Aug 05, 2021","13.285","13.170","13.370","13.160","0.60K","0.68%"
"Aug 04, 2021","13.195","13.355","13.400","13.150","0.58K","-1.53%"
"Aug 03, 2021","13.400","13.500","13.500","13.300","0.35K","-0.70%"
"Aug 02, 2021","13.495","13.660","13.685","13.470","0.38K","-1.35%"
"Jul 30, 2021","13.680","13.650","13.685","13.485","0.49K","0.00%"
"Jul 29, 2021","13.680","13.680","13.850","13.660","0.87K","0.15%"
"Jul 28, 2021","13.660","13.480","13.685","13.480","0.41K","1.34%"
"Jul 27, 2021","13.480","13.555","13.600","13.455","0.28K","-0.48%"
"Jul 26, 2021","13.545","13.495","13.600","13.455","0.57K","-0.51%"
"Jul 23, 2021","13.615","13.535","13.625","13.485","0.40K","0.55%"
"Jul 22, 2021","13.540","13.290","13.580","13.290","0.67K","1.73%"
"Jul 21, 2021","13.310","13.160","13.340","13.155","0.19K","0.91%"
"Jul 20, 2021","13.190","13.050","13.190","13.020","0.47K","1.15%"
"Jul 19, 2021","13.040","13.260","13.265","13.030","0.23K","-1.44%"
"Jul 16, 2021","13.230","13.250","13.345","13.210","0.37K","0.11%"
"Jul 15, 2021","13.215","13.140","13.230","13.060","0.21K","3.00%"
"Jul 14, 2021","12.830","13.028","13.135","13.005","0.01K","0.00%"
"Jul 13, 2021","12.830","12.870","13.130","12.818","0.01K","1.34%"
"Jul 12, 2021","12.660","12.890","12.980","12.853","0.01K","0.48%"
"Jul 09, 2021","12.600","12.510","12.510","12.510","0.03K","0.92%"
"Jul 08, 2021","12.485","12.890","12.895","12.763","0.02K","-0.95%"
"Jul 07, 2021","12.605","12.820","12.950","12.793","0.00K","0.68%"
"Jul 06, 2021","12.520","12.515","12.545","12.515","0.01K","-2.49%"
"Jul 02, 2021","12.840","13.473","13.490","13.038","0.01K","-2.39%"
"Jul 01, 2021","13.155","13.455","13.550","13.390","0.11K","-0.15%"
"Jun 30, 2021","13.175","13.440","13.490","13.440","0.04K","-0.57%"
"Jun 29, 2021","13.250","13.050","13.250","13.050","0.23K","0.72%"
"Jun 28, 2021","13.155","13.125","13.250","13.105","0.34K","0.04%"
"Jun 25, 2021","13.150","13.140","13.215","13.055","0.26K","-0.64%"
"Jun 24, 2021","13.235","13.245","13.335","13.160","0.32K","-0.82%"
"Jun 23, 2021","13.345","12.990","13.670","12.990","0.66K","1.48%"
"Jun 22, 2021","13.150","12.670","13.170","12.670","0.74K","3.38%"
"Jun 21, 2021","12.720","12.555","12.760","12.420","0.47K","0.87%"
"Jun 18, 2021","12.610","12.215","12.630","12.210","0.50K","3.11%"
"Jun 17, 2021","12.230","12.440","12.580","12.210","0.50K","-1.05%"
"Jun 16, 2021","12.360","12.310","12.685","12.310","0.54K","0.41%"
"Jun 15, 2021","12.310","12.440","12.620","12.290","0.87K","-1.56%"
"Jun 14, 2021","12.505","12.900","12.900","12.440","0.87K","-2.68%"
"Jun 11, 2021","12.850","12.940","13.035","12.840","0.52K","-0.62%"
"Jun 10, 2021","12.930","13.065","13.065","12.805","1.40K","-1.18%"
"Jun 09, 2021","13.085","13.140","13.220","13.040","0.59K","-0.42%"
"Jun 08, 2021","13.140","13.230","13.245","13.125","0.54K","-0.98%"
"Jun 07, 2021","13.270","13.325","13.330","13.235","0.76K","-0.30%"
"Jun 04, 2021","13.310","13.265","13.320","13.265","0.21K","0.11%"
"Jun 03, 2021","13.295","13.295","13.320","13.260","0.28K","-0.11%"
"Jun 02, 2021","13.310","13.265","13.315","13.250","0.29K","0.19%"
"Jun 01, 2021","13.285","13.340","13.440","13.200","0.44K","-0.11%"
"May 28, 2021","13.300","13.235","13.370","13.200","0.38K","0.49%"
"May 27, 2021","13.235","13.195","13.330","13.190","0.29K","0.34%"
"May 26, 2021","13.190","13.240","13.245","13.165","0.15K","-0.08%"
"May 25, 2021","13.200","13.145","13.260","13.135","0.34K","0.38%"
"May 24, 2021","13.150","13.185","13.220","13.110","0.60K","-0.27%"
"May 21, 2021","13.185","13.265","13.275","13.170","0.50K","-0.72%"
"May 20, 2021","13.280","13.340","13.545","13.265","0.30K","-0.64%"
"May 19, 2021","13.365","13.340","13.470","13.260","0.74K","0.11%"
"May 18, 2021","13.350","13.455","13.490","13.340","0.71K","-0.78%"
"May 17, 2021","13.455","13.600","13.645","13.450","0.35K","0.94%"
"May 14, 2021","13.330","13.695","13.710","13.553","0.04K","-0.22%"
"May 13, 2021","13.360","14.105","14.105","13.658","0.05K","-2.66%"
"May 12, 2021","13.725","14.120","14.210","13.990","0.04K","-0.11%"
"May 11, 2021","13.740","13.840","13.840","13.840","0.02K","-1.01%"
"May 10, 2021","13.880","14.190","14.190","13.815","0.11K","-2.18%"
"May 07, 2021","14.190","14.050","14.105","14.050","0.04K","2.05%"
"May 06, 2021","13.905","14.190","14.190","14.080","0.11K","-1.56%"
"May 05, 2021","14.125","13.900","13.900","13.845","0.01K","2.06%"
"May 04, 2021","13.840","13.460","13.615","13.460","0.01K","3.05%"
"May 03, 2021","13.430","13.400","13.420","13.400","0.05K","0.34%"
"Apr 30, 2021","13.385","13.380","13.400","13.380","0.02K","0.11%"
"Apr 29, 2021","13.370","13.190","13.375","13.135","0.07K","1.56%"
"Apr 28, 2021","13.165","13.140","13.190","13.095","0.52K","0.23%"
"Apr 27, 2021","13.135","13.200","13.200","13.075","0.45K","-0.64%"
"Apr 26, 2021","13.220","13.400","13.535","13.215","0.79K","-1.56%"
"Apr 23, 2021","13.430","13.400","13.500","13.310","1.09K","0.52%"
"Apr 22, 2021","13.360","12.880","13.400","12.860","1.40K","3.85%"
"Apr 21, 2021","12.865","12.835","12.885","12.790","0.95K","0.19%"
"Apr 20, 2021","12.840","12.850","12.860","12.820","0.77K","-0.04%"
"Apr 19, 2021","12.845","12.895","12.960","12.825","0.82K","-0.27%"
"Apr 16, 2021","12.880","13.070","13.070","12.875","0.98K","-1.30%"
"Apr 15, 2021","13.050","13.155","13.170","13.030","1.03K","-0.87%"
"Apr 14, 2021","13.165","13.100","13.170","13.070","0.53K","0.27%"
"Apr 13, 2021","13.130","13.110","13.150","13.085","0.26K","0.23%"
"Apr 12, 2021","13.100","13.095","13.195","13.080","0.27K","0.08%"
"Apr 09, 2021","13.090","13.080","13.145","13.035","0.42K","-0.15%"
"Apr 08, 2021","13.110","13.140","13.150","13.100","0.26K","-0.46%"
"Apr 07, 2021","13.170","13.130","13.170","13.100","0.23K","0.30%"
"Apr 06, 2021","13.130","13.160","13.160","13.105","0.47K","-0.23%"
"Apr 05, 2021","13.160","13.110","13.200","13.095","0.46K","0.34%"
"Apr 02, 2021","13.115","13.115","13.115","13.115","-","0.00%"
"Apr 01, 2021","13.115","13.160","13.240","13.100","0.31K","-0.49%"
"Mar 31, 2021","13.180","13.200","13.270","13.160","0.32K","-0.30%"
"Mar 30, 2021","13.220","13.270","13.300","13.170","0.23K","-0.34%"
"Mar 29, 2021","13.265","13.085","13.300","13.070","0.19K","1.38%"
"Mar 26, 2021","13.085","13.125","13.190","13.080","0.17K","-0.49%"
"Mar 25, 2021","13.150","13.310","13.385","13.140","0.32K","-1.83%"
"Mar 24, 2021","13.395","13.190","13.450","13.190","0.41K","1.40%"
"Mar 23, 2021","13.210","13.230","13.260","13.120","0.15K","-0.04%"
"Mar 22, 2021","13.215","13.160","13.230","13.130","0.19K","0.53%"
"Mar 19, 2021","13.145","13.025","13.155","13.020","0.20K","0.88%"
"Mar 18, 2021","13.030","13.180","13.200","12.990","0.34K","-1.40%"
"Mar 17, 2021","13.215","13.045","13.215","13.000","0.24K","1.58%"
"Mar 16, 2021","13.010","12.935","13.080","12.930","0.22K","0.54%"
"Mar 15, 2021","12.940","12.990","13.010","12.925","0.33K","1.29%"
"Mar 12, 2021","12.775","13.010","13.010","12.973","0.02K","0.04%"
"Mar 11, 2021","12.770","13.030","13.050","12.985","0.02K","0.12%"
"Mar 10, 2021","12.755","13.170","13.190","13.015","0.02K","-1.24%"
"Mar 09, 2021","12.915","13.195","13.210","13.170","0.01K","-0.42%"
"Mar 08, 2021","12.970","13.180","13.328","13.178","0.00K","0.19%"
"Mar 05, 2021","12.945","13.380","13.390","13.150","0.00K","-0.99%"
"Mar 04, 2021","13.075","13.185","13.210","13.125","0.03K","-0.68%"
"Mar 03, 2021","13.165","12.995","13.180","12.995","0.05K","0.84%"
"Mar 02, 2021","13.055","12.785","13.010","12.755","0.04K","2.03%"
"Mar 01, 2021","12.795","12.795","12.800","12.795","0.01K","0.35%"
"Feb 26, 2021","12.750","12.810","12.820","12.700","0.05K","-0.43%"
"Feb 25, 2021","12.805","12.825","12.910","12.750","0.14K","-0.51%"
"Feb 24, 2021","12.870","12.835","12.940","12.830","0.27K","0.27%"
"Feb 23, 2021","12.835","12.845","12.905","12.820","0.63K","-0.43%"
"Feb 22, 2021","12.890","12.875","12.910","12.805","1.36K","0.16%"
