"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","331.20","330.80","334.30","328.50","30.60K","0.18%"
"Oct 27, 2021","330.60","326.70","334.60","324.50","54.39K","1.19%"
"Oct 26, 2021","326.70","327.20","329.40","323.00","41.11K","-0.15%"
"Oct 25, 2021","327.20","325.70","331.70","325.10","43.90K","0.09%"
"Oct 22, 2021","326.90","323.80","327.80","323.50","45.24K","0.99%"
"Oct 21, 2021","323.70","328.20","329.20","321.70","56.11K","-1.49%"
"Oct 20, 2021","328.60","322.70","329.30","321.70","58.80K","1.83%"
"Oct 19, 2021","322.70","317.80","326.50","317.00","57.23K","1.48%"
"Oct 18, 2021","318.00","317.10","319.40","313.90","45.60K","0.44%"
"Oct 15, 2021","316.60","314.00","319.90","313.60","53.23K","-0.16%"
"Oct 14, 2021","317.10","317.10","317.10","317.10","-","1.41%"
"Oct 13, 2021","312.70","309.60","312.70","309.60","0.08K","-1.29%"
"Oct 12, 2021","316.80","316.00","316.80","308.80","0.17K","0.19%"
"Oct 11, 2021","316.20","317.90","318.30","316.00","0.06K","-0.41%"
"Oct 08, 2021","317.50","318.90","320.40","318.60","0.17K","-0.41%"
"Oct 07, 2021","318.80","321.60","322.00","319.10","0.37K","-0.87%"
"Oct 06, 2021","321.60","320.20","323.00","320.20","0.24K","0.44%"
"Oct 05, 2021","320.20","322.10","322.10","319.60","0.46K","-0.59%"
"Oct 04, 2021","322.10","325.50","325.50","321.80","0.79K","-0.89%"
"Oct 01, 2021","325.00","326.90","328.00","324.60","0.75K","-0.37%"
"Sep 30, 2021","326.20","337.90","338.20","325.80","4.18K","-3.52%"
"Sep 29, 2021","338.10","337.50","339.50","336.50","14.71K","0.24%"
"Sep 28, 2021","337.30","337.10","338.40","335.20","23.43K","0.00%"
"Sep 27, 2021","337.30","335.80","341.00","335.80","23.17K","0.36%"
"Sep 24, 2021","336.10","336.60","337.50","334.80","19.40K","-0.15%"
"Sep 23, 2021","336.60","338.00","338.80","335.10","19.62K","-0.38%"
"Sep 22, 2021","337.90","338.30","340.00","336.30","17.64K","0.00%"
"Sep 21, 2021","337.90","336.20","339.60","335.30","13.71K","0.54%"
"Sep 20, 2021","336.10","338.60","338.80","335.00","11.22K","-0.71%"
"Sep 17, 2021","338.50","340.20","340.80","337.30","11.70K","-0.50%"
"Sep 16, 2021","340.20","335.90","341.30","335.80","16.50K","1.28%"
"Sep 15, 2021","335.90","338.00","339.70","335.40","17.17K","-1.55%"
"Sep 14, 2021","341.20","341.20","341.20","341.20","-","-1.02%"
"Sep 13, 2021","344.70","342.00","345.90","341.90","0.02K","0.79%"
"Sep 10, 2021","342.00","340.00","342.50","337.00","0.10K","1.69%"
"Sep 09, 2021","336.30","336.50","336.60","335.20","0.13K","-0.33%"
"Sep 08, 2021","337.40","336.80","337.20","335.70","0.21K","0.03%"
"Sep 07, 2021","337.30","341.80","341.90","336.50","0.29K","-1.06%"
"Sep 03, 2021","340.90","337.90","342.30","336.50","0.40K","0.89%"
"Sep 02, 2021","337.90","343.00","343.40","337.70","0.70K","-1.69%"
"Sep 01, 2021","343.70","346.50","347.20","341.50","0.67K","-0.78%"
"Aug 31, 2021","346.40","348.00","350.10","345.00","2.48K","-0.35%"
"Aug 30, 2021","347.60","353.90","357.50","346.40","18.65K","-1.86%"
"Aug 27, 2021","354.20","356.20","356.50","352.40","25.27K","-0.65%"
"Aug 26, 2021","356.50","352.20","357.60","350.70","30.71K","1.19%"
"Aug 25, 2021","352.30","354.80","355.40","351.80","25.26K","-0.73%"
"Aug 24, 2021","354.90","348.10","356.80","347.10","25.45K","2.39%"
"Aug 23, 2021","346.60","352.70","354.60","346.60","21.13K","-1.90%"
"Aug 20, 2021","353.30","351.50","353.70","348.70","14.05K","0.51%"
"Aug 19, 2021","351.50","357.60","357.60","349.80","21.01K","-1.71%"
"Aug 18, 2021","357.60","359.50","360.90","356.20","15.01K","-0.69%"
"Aug 17, 2021","360.10","360.90","364.20","358.60","14.56K","0.19%"
"Aug 16, 2021","359.40","357.80","361.10","355.40","9.34K","0.36%"
"Aug 13, 2021","358.10","358.10","358.10","358.10","0.05K","0.76%"
"Aug 12, 2021","355.40","355.20","355.20","354.00","0.01K","0.00%"
"Aug 11, 2021","355.40","360.70","360.70","354.00","0.05K","-1.36%"
"Aug 10, 2021","360.30","362.50","363.40","359.20","0.04K","0.19%"
"Aug 09, 2021","359.60","361.40","364.70","359.90","0.09K","0.22%"
"Aug 06, 2021","358.80","357.70","359.20","357.70","0.29K","0.53%"
"Aug 05, 2021","356.90","354.00","357.80","353.60","0.14K","1.08%"
"Aug 04, 2021","353.10","351.10","354.50","350.00","0.26K","1.52%"
"Aug 03, 2021","347.80","356.00","356.00","347.60","0.57K","-2.63%"
"Aug 02, 2021","357.20","352.00","359.00","349.00","1.65K","1.30%"
"Jul 30, 2021","352.60","357.90","359.30","352.00","2.57K","-1.09%"
"Jul 29, 2021","356.50","359.10","359.90","355.00","13.25K","0.11%"
"Jul 28, 2021","356.10","359.30","360.10","354.10","23.07K","-0.75%"
"Jul 27, 2021","358.80","355.80","361.00","353.60","27.20K","1.47%"
"Jul 26, 2021","353.60","354.00","355.30","347.30","27.86K","0.00%"
"Jul 23, 2021","353.60","365.20","365.40","352.80","24.18K","-2.64%"
"Jul 22, 2021","363.20","369.80","369.90","360.70","20.47K","-1.78%"
"Jul 21, 2021","369.80","366.10","371.50","365.20","17.05K","1.18%"
"Jul 20, 2021","365.50","363.00","366.70","359.70","22.05K","1.58%"
"Jul 19, 2021","359.80","370.50","371.50","358.80","17.78K","-0.94%"
"Jul 16, 2021","363.20","364.30","369.40","362.90","16.55K","0.14%"
"Jul 15, 2021","362.70","368.70","371.00","361.00","17.02K","-1.06%"
"Jul 14, 2021","366.60","366.60","366.60","366.60","0.01K","3.24%"
"Jul 13, 2021","355.10","354.90","357.90","354.90","0.13K","0.06%"
"Jul 12, 2021","354.90","351.90","355.50","351.70","0.23K","0.68%"
"Jul 09, 2021","352.50","355.30","355.30","351.30","0.48K","-0.79%"
"Jul 08, 2021","355.30","358.60","358.60","354.80","0.42K","-0.53%"
"Jul 07, 2021","357.20","360.60","360.60","355.00","0.59K","0.62%"
"Jul 06, 2021","355.00","377.10","377.10","353.90","0.35K","-6.55%"
"Jul 02, 2021","379.90","381.80","384.30","378.20","0.43K","-0.50%"
"Jul 01, 2021","381.80","373.50","384.70","373.50","0.92K","1.68%"
"Jun 30, 2021","375.50","348.90","376.60","345.00","2.65K","7.78%"
"Jun 29, 2021","348.40","353.60","353.90","344.40","19.07K","-0.91%"
"Jun 28, 2021","351.60","348.20","354.20","344.20","27.41K","1.27%"
"Jun 25, 2021","347.20","346.40","353.70","341.00","35.42K","0.40%"
"Jun 24, 2021","345.80","354.80","355.00","339.90","36.87K","-2.37%"
"Jun 23, 2021","354.20","364.00","365.10","353.50","28.26K","-2.50%"
"Jun 22, 2021","363.30","374.10","375.60","362.60","33.44K","-2.63%"
"Jun 21, 2021","373.10","369.60","377.40","366.60","29.74K","-0.08%"
