"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","60.98","61.54","61.71","60.64","27.49K","-0.76%"
"Oct 27, 2021","61.45","62.27","62.50","61.01","51.44K","-1.24%"
"Oct 26, 2021","62.22","63.28","63.50","62.13","41.12K","-1.55%"
"Oct 25, 2021","63.20","62.13","63.57","62.01","37.55K","1.72%"
"Oct 22, 2021","62.13","62.68","63.00","61.94","44.48K","-0.67%"
"Oct 21, 2021","62.55","64.42","65.00","62.43","54.40K","-3.56%"
"Oct 20, 2021","64.86","62.34","64.89","62.30","61.13K","4.06%"
"Oct 19, 2021","62.33","61.89","62.52","61.38","39.23K","0.73%"
"Oct 18, 2021","61.88","61.40","62.20","60.86","43.68K","0.78%"
"Oct 15, 2021","61.40","60.35","61.46","60.26","47.41K","3.51%"
"Oct 13, 2021","59.32","60.17","60.17","59.29","0.07K","-1.66%"
"Oct 12, 2021","60.32","60.32","60.32","60.32","-","0.05%"
"Oct 11, 2021","60.29","60.29","60.29","60.29","0.01K","-1.70%"
"Oct 08, 2021","61.33","61.33","61.33","61.33","0.07K","-0.92%"
"Oct 07, 2021","61.90","59.94","60.90","59.94","0.13K","3.05%"
"Oct 06, 2021","60.07","60.57","60.57","60.14","0.02K","-1.35%"
"Oct 05, 2021","60.89","59.19","61.39","59.16","0.18K","3.96%"
"Oct 04, 2021","58.57","57.99","59.16","57.91","0.44K","-0.07%"
"Oct 01, 2021","58.61","58.54","58.79","58.15","0.48K","-0.31%"
"Sep 30, 2021","58.79","57.78","59.50","57.40","1.48K","1.75%"
"Sep 29, 2021","57.78","57.75","58.22","57.33","7.12K","0.02%"
"Sep 28, 2021","57.77","58.35","58.55","57.56","17.09K","-0.91%"
"Sep 27, 2021","58.30","57.97","58.77","57.17","24.35K","0.57%"
"Sep 24, 2021","57.97","57.09","58.15","56.70","21.92K","1.52%"
"Sep 23, 2021","57.10","56.37","57.34","56.20","14.34K","1.26%"
"Sep 22, 2021","56.39","55.26","56.65","54.39","22.20K","1.93%"
"Sep 21, 2021","55.32","54.91","55.54","54.27","16.68K","0.75%"
"Sep 20, 2021","54.91","56.39","56.39","54.84","12.37K","-2.45%"
"Sep 17, 2021","56.29","56.90","57.03","55.55","18.03K","-0.95%"
"Sep 16, 2021","56.83","58.41","58.67","56.75","15.99K","-2.54%"
"Sep 15, 2021","58.31","56.80","58.45","56.72","19.76K","2.88%"
"Sep 14, 2021","56.68","56.68","56.68","56.68","0.02K","1.58%"
"Sep 13, 2021","55.80","55.80","55.80","55.80","-","0.11%"
"Sep 10, 2021","55.74","55.86","56.42","55.86","0.04K","-0.50%"
"Sep 09, 2021","56.02","56.70","56.86","56.16","0.01K","-2.49%"
"Sep 08, 2021","57.45","58.32","58.32","58.01","0.24K","-0.54%"
"Sep 07, 2021","57.76","59.60","59.66","58.87","0.02K","-2.10%"
"Sep 03, 2021","59.00","59.10","59.35","59.10","0.04K","-0.02%"
"Sep 02, 2021","59.01","58.80","59.32","58.80","0.25K","1.20%"
"Sep 01, 2021","58.31","59.59","59.59","57.70","0.33K","-1.77%"
"Aug 31, 2021","59.36","59.92","60.40","58.25","2.11K","-1.53%"
"Aug 30, 2021","60.28","61.53","61.65","59.13","10.87K","-1.66%"
"Aug 27, 2021","61.30","61.19","61.72","59.74","26.97K","-0.05%"
"Aug 26, 2021","61.33","61.89","61.95","60.33","23.68K","-0.90%"
"Aug 25, 2021","61.89","61.02","62.16","60.59","20.36K","1.31%"
"Aug 24, 2021","61.09","59.33","62.01","59.02","20.88K","3.11%"
"Aug 23, 2021","59.25","57.64","59.83","57.45","18.29K","3.06%"
"Aug 20, 2021","57.49","60.60","61.60","57.12","21.95K","-5.13%"
"Aug 19, 2021","60.60","61.90","61.90","60.26","16.17K","-2.15%"
"Aug 18, 2021","61.93","62.75","62.78","61.61","11.24K","-0.98%"
"Aug 17, 2021","62.54","63.56","63.85","62.32","12.53K","-1.19%"
"Aug 16, 2021","63.29","64.05","64.45","63.19","10.93K","-0.35%"
"Aug 13, 2021","63.51","63.51","63.51","63.51","0.00K","0.00%"
"Aug 12, 2021","63.51","63.53","63.53","62.50","0.01K","-0.03%"
"Aug 11, 2021","63.53","64.50","64.50","63.33","0.03K","-2.87%"
"Aug 10, 2021","65.41","65.78","65.78","64.80","0.00K","-0.47%"
"Aug 09, 2021","65.72","63.80","65.78","62.39","0.05K","3.64%"
"Aug 06, 2021","63.41","63.00","63.65","63.00","0.07K","1.50%"
"Aug 05, 2021","62.47","62.26","63.17","62.26","0.10K","-0.48%"
"Aug 04, 2021","62.77","63.58","63.97","62.28","0.14K","-0.79%"
"Aug 03, 2021","63.27","64.00","64.00","62.90","0.20K","-2.09%"
"Aug 02, 2021","64.62","64.81","65.72","64.50","0.56K","-1.82%"
"Jul 30, 2021","65.82","66.56","66.75","65.03","1.06K","-1.66%"
"Jul 29, 2021","66.93","66.67","68.17","66.35","8.65K","0.57%"
"Jul 28, 2021","66.55","66.50","66.89","65.62","13.20K","0.44%"
"Jul 27, 2021","66.26","67.05","67.63","65.86","23.35K","-0.26%"
"Jul 26, 2021","66.43","65.73","66.48","64.45","21.15K","1.17%"
"Jul 23, 2021","65.66","65.10","65.84","64.40","22.32K","1.02%"
"Jul 22, 2021","65.00","65.52","65.73","63.20","26.08K","-0.70%"
