"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2021","1,239.25","1,237.25","1,257.50","1,227.00","-","0.10%"
"Oct 26, 2021","1,238.00","1,236.25","1,246.25","1,230.00","94.35K","0.06%"
"Oct 25, 2021","1,237.25","1,218.75","1,238.25","1,216.00","137.47K","1.37%"
"Oct 22, 2021","1,220.50","1,224.00","1,230.50","1,217.00","176.32K","-0.29%"
"Oct 21, 2021","1,224.00","1,243.25","1,249.50","1,222.00","105.79K","-1.73%"
"Oct 20, 2021","1,245.50","1,227.75","1,249.50","1,224.75","134.40K","1.43%"
"Oct 19, 2021","1,228.00","1,220.50","1,239.25","1,216.25","139.46K","0.53%"
"Oct 18, 2021","1,221.50","1,218.00","1,225.25","1,210.00","99.06K","0.31%"
"Oct 15, 2021","1,217.75","1,205.75","1,221.00","1,202.00","111.81K","0.95%"
"Oct 14, 2021","1,206.25","1,196.00","1,207.75","1,193.50","127.04K","0.92%"
"Oct 13, 2021","1,195.25","1,198.50","1,211.25","1,184.50","186.73K","-0.25%"
"Oct 12, 2021","1,198.25","1,226.50","1,230.75","1,194.75","183.78K","-2.44%"
"Oct 11, 2021","1,228.25","1,240.50","1,251.25","1,227.00","112.21K","-1.19%"
"Oct 08, 2021","1,243.00","1,246.50","1,262.50","1,242.00","143.59K","-0.34%"
"Oct 07, 2021","1,247.25","1,242.00","1,249.50","1,233.50","120.77K","0.42%"
"Oct 06, 2021","1,242.00","1,250.00","1,255.50","1,239.25","83.89K","-0.68%"
"Oct 05, 2021","1,250.50","1,234.25","1,256.25","1,231.00","119.39K","1.19%"
"Oct 04, 2021","1,235.75","1,242.75","1,247.75","1,235.00","111.36K","-0.86%"
"Oct 01, 2021","1,246.50","1,255.00","1,262.25","1,242.00","117.45K","-0.76%"
"Sep 30, 2021","1,256.00","1,282.00","1,295.00","1,249.00","202.39K","-2.16%"
"Sep 29, 2021","1,283.75","1,276.25","1,288.50","1,272.75","91.81K","0.53%"
"Sep 28, 2021","1,277.00","1,286.75","1,287.00","1,275.00","88.02K","-0.82%"
"Sep 27, 2021","1,287.50","1,284.00","1,297.00","1,282.00","96.61K","0.19%"
"Sep 24, 2021","1,285.00","1,283.25","1,290.00","1,278.25","64.91K","0.06%"
"Sep 23, 2021","1,284.25","1,282.50","1,290.25","1,275.75","70.61K","0.12%"
"Sep 22, 2021","1,282.75","1,274.50","1,285.00","1,270.25","75.67K","0.69%"
"Sep 21, 2021","1,274.00","1,263.00","1,275.50","1,257.50","78.94K","0.91%"
"Sep 20, 2021","1,262.50","1,285.00","1,286.00","1,262.00","94.11K","-1.67%"
"Sep 17, 2021","1,284.00","1,295.50","1,298.50","1,278.25","72.39K","-0.93%"
"Sep 16, 2021","1,296.00","1,296.50","1,308.00","1,291.25","75.85K","0.12%"
"Sep 15, 2021","1,294.50","1,283.50","1,296.00","1,276.00","91.39K","1.41%"
"Sep 14, 2021","1,276.50","1,283.50","1,283.50","1,279.00","0.05K","0.31%"
"Sep 13, 2021","1,272.50","1,271.75","1,271.75","1,271.75","0.02K","-0.22%"
"Sep 10, 2021","1,275.25","1,261.25","1,280.50","1,259.00","0.05K","1.31%"
"Sep 09, 2021","1,258.75","1,260.00","1,267.25","1,258.00","0.18K","-0.94%"
"Sep 08, 2021","1,270.75","1,270.75","1,272.25","1,269.50","0.03K","0.16%"
"Sep 07, 2021","1,268.75","1,288.00","1,292.00","1,274.00","0.03K","-1.11%"
"Sep 03, 2021","1,283.00","1,290.50","1,290.50","1,283.50","0.06K","0.29%"
"Sep 02, 2021","1,279.25","1,275.50","1,284.00","1,269.25","0.35K","0.12%"
"Sep 01, 2021","1,277.75","1,291.50","1,291.50","1,272.50","0.66K","-1.62%"
"Aug 31, 2021","1,298.75","1,310.00","1,312.75","1,293.00","1.68K","-0.46%"
"Aug 30, 2021","1,304.75","1,357.25","1,359.25","1,297.00","7.25K","-4.01%"
"Aug 27, 2021","1,359.25","1,364.25","1,368.25","1,324.00","16.51K","-0.60%"
"Aug 26, 2021","1,367.50","1,345.00","1,373.75","1,341.50","23.77K","1.60%"
"Aug 25, 2021","1,346.00","1,337.00","1,355.50","1,329.00","24.44K","0.67%"
"Aug 24, 2021","1,337.00","1,301.25","1,343.50","1,294.25","25.60K","3.32%"
"Aug 23, 2021","1,294.00","1,293.00","1,311.75","1,290.50","13.92K","0.02%"
"Aug 20, 2021","1,293.75","1,324.25","1,337.25","1,281.50","18.27K","-2.21%"
"Aug 19, 2021","1,323.00","1,358.00","1,358.00","1,316.75","17.63K","-2.60%"
"Aug 18, 2021","1,358.25","1,370.00","1,372.75","1,352.75","10.18K","-0.79%"
"Aug 17, 2021","1,369.00","1,379.50","1,386.50","1,365.00","12.02K","-0.51%"
"Aug 16, 2021","1,376.00","1,373.25","1,385.50","1,367.75","13.44K","-3.39%"
"Aug 13, 2021","1,424.25","1,408.75","1,434.50","1,408.75","0.04K","1.62%"
"Aug 12, 2021","1,401.50","1,411.00","1,428.75","1,394.75","0.04K","-0.28%"
"Aug 11, 2021","1,405.50","1,448.50","1,466.00","1,403.00","0.29K","-2.90%"
"Aug 10, 2021","1,447.50","1,439.50","1,460.75","1,439.50","0.81K","0.96%"
"Aug 09, 2021","1,433.75","1,426.00","1,443.75","1,418.50","0.45K","0.81%"
"Aug 06, 2021","1,422.25","1,398.50","1,421.75","1,398.50","0.96K","1.41%"
"Aug 05, 2021","1,402.50","1,403.50","1,415.00","1,393.50","1.25K","-0.07%"
"Aug 04, 2021","1,403.50","1,390.25","1,406.50","1,390.25","2.84K","0.81%"
"Aug 03, 2021","1,392.25","1,409.00","1,412.00","1,380.50","2.29K","-1.87%"
"Aug 02, 2021","1,418.75","1,419.25","1,425.50","1,404.00","1.15K","0.28%"
"Jul 30, 2021","1,414.75","1,435.00","1,441.00","1,405.75","2.97K","-1.36%"
"Jul 29, 2021","1,434.25","1,431.75","1,449.75","1,427.75","17.95K","0.16%"
"Jul 28, 2021","1,432.00","1,422.75","1,435.75","1,410.50","21.55K","0.97%"
"Jul 27, 2021","1,418.25","1,419.25","1,442.75","1,412.50","22.13K","0.39%"
"Jul 26, 2021","1,412.75","1,405.00","1,415.50","1,380.00","25.88K","0.84%"
"Jul 23, 2021","1,401.00","1,418.25","1,419.75","1,396.00","23.50K","-1.08%"
"Jul 22, 2021","1,416.25","1,439.75","1,440.25","1,391.25","30.71K","-1.60%"
"Jul 21, 2021","1,439.25","1,449.25","1,451.50","1,428.75","21.43K","-0.29%"
"Jul 20, 2021","1,443.50","1,434.25","1,452.75","1,429.25","33.66K","1.09%"
"Jul 19, 2021","1,428.00","1,475.00","1,480.00","1,426.25","24.48K","-1.84%"
"Jul 16, 2021","1,454.75","1,449.50","1,473.75","1,444.00","31.63K","0.50%"
"Jul 15, 2021","1,447.50","1,453.25","1,461.00","1,440.75","30.13K","-1.38%"
"Jul 14, 2021","1,467.75","1,438.00","1,475.75","1,438.00","0.03K","2.07%"
"Jul 13, 2021","1,438.00","1,436.00","1,449.25","1,434.00","0.17K","0.38%"
"Jul 12, 2021","1,432.50","1,408.75","1,432.00","1,408.75","0.11K","2.03%"
"Jul 09, 2021","1,404.00","1,387.50","1,404.50","1,387.50","0.33K","0.99%"
"Jul 08, 2021","1,390.25","1,380.75","1,398.75","1,380.75","0.51K","0.27%"
"Jul 07, 2021","1,386.50","1,399.00","1,402.00","1,366.75","0.80K","1.67%"
"Jul 06, 2021","1,363.75","1,420.00","1,420.00","1,353.00","0.59K","-6.06%"
"Jul 02, 2021","1,451.75","1,447.00","1,465.00","1,441.75","1.54K","0.35%"
"Jul 01, 2021","1,446.75","1,450.25","1,480.00","1,438.00","2.18K","-0.22%"
"Jun 30, 2021","1,450.00","1,360.00","1,454.25","1,336.25","4.56K","6.64%"
"Jun 29, 2021","1,359.75","1,370.00","1,372.50","1,348.00","20.51K","0.20%"
"Jun 28, 2021","1,357.00","1,329.75","1,365.50","1,326.00","51.28K","2.05%"
"Jun 25, 2021","1,329.75","1,369.50","1,384.75","1,325.75","97.44K","-3.03%"
"Jun 24, 2021","1,371.25","1,382.50","1,385.00","1,345.75","57.35K","-0.99%"
"Jun 23, 2021","1,385.00","1,392.00","1,406.75","1,381.00","65.95K","-0.68%"
"Jun 22, 2021","1,394.50","1,420.00","1,427.25","1,393.25","67.60K","-1.45%"
"Jun 21, 2021","1,415.00","1,374.00","1,422.50","1,370.00","64.08K","1.36%"
"Jun 18, 2021","1,396.00","1,330.75","1,408.25","1,330.75","100.86K","4.98%"
