"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2021","759.75","750.50","762.75","745.00","-","1.00%"
"Oct 26, 2021","752.25","763.00","765.00","747.50","53.54K","-0.95%"
"Oct 25, 2021","759.50","759.75","767.00","753.25","42.58K","0.46%"
"Oct 22, 2021","756.00","743.75","759.50","743.50","52.33K","1.99%"
"Oct 21, 2021","741.25","749.75","752.50","738.25","33.63K","-1.07%"
"Oct 20, 2021","749.25","737.00","750.00","736.50","35.08K","1.80%"
"Oct 19, 2021","736.00","736.00","745.25","735.25","37.74K","-0.03%"
"Oct 18, 2021","736.25","734.00","738.75","728.50","31.46K","0.31%"
"Oct 15, 2021","734.00","725.00","740.50","722.25","40.53K","1.28%"
"Oct 14, 2021","724.75","718.75","729.50","718.50","39.59K","0.83%"
"Oct 13, 2021","718.75","736.00","737.75","712.75","57.90K","-2.08%"
"Oct 12, 2021","734.00","731.75","743.75","718.00","57.86K","0.31%"
"Oct 11, 2021","731.75","734.00","739.50","731.00","32.21K","-0.31%"
"Oct 08, 2021","734.00","739.25","746.50","731.75","47.84K","-0.98%"
"Oct 07, 2021","741.25","746.00","752.50","739.50","42.61K","-0.64%"
"Oct 06, 2021","746.00","744.75","756.75","742.25","44.64K","0.17%"
"Oct 05, 2021","744.75","756.25","757.00","743.75","49.15K","-1.55%"
"Oct 04, 2021","756.50","752.25","763.50","748.50","54.75K","0.17%"
"Oct 01, 2021","755.25","725.00","758.50","722.75","85.70K","4.10%"
"Sep 30, 2021","725.50","711.25","732.75","701.25","71.33K","2.15%"
"Sep 29, 2021","710.25","709.25","717.75","708.25","38.93K","0.53%"
"Sep 28, 2021","706.50","722.00","726.75","706.00","54.40K","-2.18%"
"Sep 27, 2021","722.25","723.50","728.50","720.25","32.06K","-0.21%"
"Sep 24, 2021","723.75","718.50","725.75","711.50","47.32K","0.84%"
"Sep 23, 2021","717.75","708.50","719.50","704.00","46.80K","1.70%"
"Sep 22, 2021","705.75","689.50","706.75","688.00","37.48K","2.25%"
"Sep 21, 2021","690.25","700.25","701.00","686.00","43.20K","-1.50%"
"Sep 20, 2021","700.75","708.00","710.75","695.75","37.45K","-1.13%"
"Sep 17, 2021","708.75","713.75","716.00","706.50","33.38K","-0.60%"
"Sep 16, 2021","713.00","711.25","716.75","705.00","40.25K","0.11%"
"Sep 15, 2021","712.25","700.00","714.75","695.25","51.08K","3.98%"
"Sep 14, 2021","685.00","677.25","677.25","677.25","0.00K","1.56%"
"Sep 13, 2021","674.50","671.50","671.50","671.50","0.01K","-0.07%"
"Sep 10, 2021","675.00","682.50","683.75","673.25","0.07K","-0.95%"
"Sep 09, 2021","681.50","700.00","700.00","683.50","0.11K","-2.40%"
"Sep 08, 2021","698.25","704.50","704.50","698.25","0.06K","-1.48%"
"Sep 07, 2021","708.75","718.50","718.50","704.25","0.17K","-0.80%"
"Sep 03, 2021","714.50","702.00","715.00","701.00","0.43K","1.49%"
"Sep 02, 2021","704.00","694.00","708.00","694.00","0.37K","0.43%"
"Sep 01, 2021","701.00","708.25","710.25","699.25","0.55K","-0.81%"
"Aug 31, 2021","706.75","706.50","707.50","690.25","1.67K","-0.28%"
"Aug 30, 2021","708.75","720.50","728.50","707.50","18.32K","-1.36%"
"Aug 27, 2021","718.50","725.75","731.25","717.75","24.92K","-0.93%"
"Aug 26, 2021","725.25","712.50","727.00","709.25","17.85K","1.97%"
"Aug 25, 2021","711.25","718.00","719.75","704.25","21.99K","-0.94%"
"Aug 24, 2021","718.00","722.75","723.25","710.75","28.50K","-0.24%"
"Aug 23, 2021","719.75","712.75","730.75","710.25","21.09K","0.77%"
"Aug 20, 2021","714.25","727.50","732.75","709.25","37.21K","-1.82%"
"Aug 19, 2021","727.50","737.00","737.00","716.00","37.06K","-1.32%"
"Aug 18, 2021","737.25","734.25","740.50","721.75","33.61K","0.37%"
"Aug 17, 2021","734.50","762.50","763.75","732.25","63.61K","-3.42%"
"Aug 16, 2021","760.50","762.50","770.25","757.75","62.05K","-0.23%"
"Aug 13, 2021","762.25","753.00","774.75","747.50","87.10K","1.16%"
"Aug 12, 2021","753.50","724.00","762.00","723.00","109.43K","3.65%"
"Aug 11, 2021","727.00","726.75","732.25","718.75","98.74K","0.00%"
"Aug 10, 2021","727.00","711.00","730.00","708.50","85.50K","2.21%"
"Aug 09, 2021","711.25","719.00","723.75","708.25","84.30K","-1.08%"
"Aug 06, 2021","719.00","712.75","724.75","709.25","85.12K","0.88%"
"Aug 05, 2021","712.75","714.75","725.50","709.75","62.60K","-0.63%"
"Aug 04, 2021","717.25","724.25","738.75","714.50","75.46K","-1.00%"
"Aug 03, 2021","724.50","727.50","734.75","717.75","73.89K","-0.69%"
"Aug 02, 2021","729.50","704.00","731.75","704.00","62.79K","3.66%"
"Jul 30, 2021","703.75","705.00","711.50","695.00","53.64K","-0.21%"
"Jul 29, 2021","705.25","689.75","706.75","689.00","45.52K","2.40%"
"Jul 28, 2021","688.75","675.00","696.25","673.75","49.23K","2.11%"
"Jul 27, 2021","674.50","680.25","690.00","671.75","50.03K","-0.37%"
"Jul 26, 2021","677.00","684.00","684.00","665.50","43.68K","-1.02%"
"Jul 23, 2021","684.00","688.00","696.75","677.50","42.54K","-1.19%"
"Jul 22, 2021","692.25","708.25","709.00","681.75","63.08K","-2.60%"
"Jul 21, 2021","710.75","701.00","712.00","700.00","52.75K","1.46%"
"Jul 20, 2021","700.50","698.75","718.00","698.25","64.01K","0.39%"
"Jul 19, 2021","697.75","702.75","709.50","694.25","74.22K","0.76%"
"Jul 16, 2021","692.50","671.75","696.25","670.75","75.89K","3.05%"
"Jul 15, 2021","672.00","653.75","673.50","651.25","56.84K","4.19%"
"Jul 14, 2021","645.00","645.00","645.00","645.00","0.03K","2.58%"
"Jul 13, 2021","628.75","636.50","639.50","626.00","0.06K","-0.98%"
