"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","156.15","156.77","156.77","156.00","0.53K","-0.24%"
"Oct 27, 2021","156.52","156.02","156.60","155.90","0.48K","0.32%"
"Oct 26, 2021","156.02","155.65","156.05","155.38","0.50K","0.16%"
"Oct 25, 2021","155.77","155.75","156.40","155.43","0.41K","0.14%"
"Oct 22, 2021","155.55","156.25","156.25","155.18","0.54K","-0.58%"
"Oct 21, 2021","156.45","156.60","157.02","156.13","0.56K","0.30%"
"Oct 20, 2021","155.98","155.10","156.00","155.07","0.54K","0.53%"
"Oct 19, 2021","155.15","155.77","157.00","155.00","0.48K","-0.37%"
"Oct 18, 2021","155.73","157.57","157.57","155.65","0.44K","-1.13%"
"Oct 15, 2021","157.50","158.20","158.23","157.32","0.43K","-0.63%"
"Oct 14, 2021","158.50","157.60","158.50","157.23","0.52K","0.51%"
"Oct 13, 2021","157.70","158.45","158.57","157.60","0.88K","-0.65%"
"Oct 12, 2021","158.73","159.27","159.40","158.25","0.91K","-0.37%"
"Oct 11, 2021","159.32","159.22","159.65","158.88","0.97K","-0.09%"
"Oct 08, 2021","159.47","160.00","160.60","159.35","1.24K","-0.55%"
"Oct 07, 2021","160.35","157.03","160.40","157.03","1.94K","2.26%"
"Oct 06, 2021","156.80","155.97","157.10","155.10","0.99K","0.45%"
"Oct 05, 2021","156.10","155.28","157.47","155.00","1.88K","0.71%"
"Oct 04, 2021","155.00","153.00","155.53","152.53","1.00K","1.47%"
"Oct 01, 2021","152.75","153.03","153.90","152.50","1.06K","-0.77%"
"Sep 30, 2021","153.93","154.20","154.30","153.90","0.28K","-0.23%"
"Sep 29, 2021","154.28","154.00","154.45","153.75","0.51K","-0.08%"
"Sep 28, 2021","154.40","154.25","154.65","154.05","0.31K","0.10%"
"Sep 27, 2021","154.25","154.50","154.80","154.12","0.45K","-0.24%"
"Sep 24, 2021","154.62","154.80","155.03","154.47","0.53K","-0.18%"
"Sep 23, 2021","154.90","155.38","155.55","154.78","0.57K","0.06%"
"Sep 22, 2021","154.80","154.95","155.10","154.55","0.76K","-0.03%"
"Sep 21, 2021","154.85","155.47","155.88","154.70","0.34K","-0.10%"
"Sep 20, 2021","155.00","154.18","155.40","153.78","0.33K","0.08%"
"Sep 17, 2021","154.88","155.50","155.62","154.47","0.23K","-0.64%"
"Sep 16, 2021","155.88","154.50","156.12","154.07","0.57K","0.75%"
"Sep 15, 2021","154.72","155.50","155.95","154.62","0.74K","-0.36%"
"Sep 14, 2021","155.28","152.50","155.60","152.50","0.92K","2.02%"
"Sep 13, 2021","152.20","152.90","153.78","151.50","1.01K","-1.33%"
"Sep 10, 2021","154.25","155.75","155.90","153.25","1.51K","-0.96%"
"Sep 09, 2021","155.75","156.07","156.97","155.50","0.68K","-0.19%"
"Sep 08, 2021","156.05","156.35","157.70","155.78","1.45K","-0.15%"
"Sep 07, 2021","156.28","158.97","159.22","155.70","1.82K","-1.38%"
"Sep 03, 2021","158.47","160.75","161.05","158.15","1.75K","-1.14%"
"Sep 02, 2021","160.30","162.82","162.93","159.47","2.97K","-1.61%"
"Sep 01, 2021","162.93","162.85","163.80","162.47","1.70K","-0.04%"
"Aug 31, 2021","163.00","164.38","164.68","162.80","2.20K","-0.64%"
"Aug 30, 2021","164.05","164.55","165.40","163.88","1.76K","-0.36%"
"Aug 27, 2021","164.65","165.12","165.35","163.57","1.84K","3.26%"
"Aug 26, 2021","159.45","159.18","159.55","158.85","0.76K","0.09%"
"Aug 25, 2021","159.30","159.00","159.70","158.80","0.92K","0.46%"
"Aug 24, 2021","158.57","158.45","159.00","157.95","1.22K","0.23%"
"Aug 23, 2021","158.20","158.30","158.90","157.50","1.61K","-0.52%"
"Aug 20, 2021","159.03","157.85","159.40","157.65","0.84K","0.47%"
"Aug 19, 2021","158.28","158.43","158.50","157.62","0.58K","-0.36%"
"Aug 18, 2021","158.85","156.75","159.15","156.55","0.69K","1.46%"
"Aug 17, 2021","156.57","157.20","157.40","156.55","0.77K","-0.40%"
"Aug 16, 2021","157.20","158.20","158.47","157.00","0.97K","-0.54%"
"Aug 13, 2021","158.05","158.68","158.75","157.78","0.53K","-0.41%"
"Aug 12, 2021","158.70","158.50","159.78","157.32","1.11K","-0.05%"
"Aug 11, 2021","158.78","159.00","159.35","158.38","0.77K","-0.34%"
"Aug 10, 2021","159.32","159.35","160.05","158.62","0.74K","0.01%"
"Aug 09, 2021","159.30","160.22","160.22","158.62","1.13K","-0.34%"
"Aug 06, 2021","159.85","157.85","160.18","156.80","2.00K","1.40%"
"Aug 05, 2021","157.65","159.12","159.30","157.35","1.89K","-0.97%"
"Aug 04, 2021","159.20","159.32","159.85","158.43","1.35K","0.19%"
"Aug 03, 2021","158.90","158.72","160.00","158.12","1.49K","0.41%"
"Aug 02, 2021","158.25","158.82","159.93","157.88","1.40K","0.04%"
"Jul 30, 2021","158.18","159.03","159.18","157.60","1.45K","-0.20%"
"Jul 29, 2021","158.50","160.28","160.28","158.30","1.70K","-1.05%"
"Jul 28, 2021","160.18","160.75","161.03","159.70","2.15K","-0.32%"
"Jul 27, 2021","160.70","161.85","162.47","160.50","3.09K","-0.92%"
"Jul 26, 2021","162.20","160.45","163.15","160.35","3.36K","1.33%"
"Jul 23, 2021","160.07","158.30","160.35","158.07","3.25K","1.18%"
"Jul 22, 2021","158.20","157.50","159.30","157.32","2.94K","0.91%"
"Jul 21, 2021","156.78","155.15","156.97","154.78","2.91K","0.80%"
"Jul 20, 2021","155.53","156.80","156.95","155.18","4.31K","-1.18%"
"Jul 19, 2021","157.38","155.35","157.88","154.10","5.52K","1.13%"
"Jul 16, 2021","155.62","157.00","157.53","155.50","4.00K","-1.12%"
"Jul 15, 2021","157.38","157.07","158.28","156.53","4.03K","0.27%"
"Jul 14, 2021","156.95","159.15","159.32","156.30","5.98K","-1.18%"
"Jul 13, 2021","158.82","158.00","159.38","157.30","5.89K","0.42%"
"Jul 12, 2021","158.15","158.97","159.15","157.60","5.56K","-0.65%"
"Jul 09, 2021","159.18","157.57","159.78","156.88","5.80K","1.18%"
"Jul 08, 2021","157.32","159.28","159.35","156.75","5.44K","-1.06%"
"Jul 07, 2021","159.00","160.50","161.10","158.30","5.18K","-1.01%"
"Jul 06, 2021","160.62","158.18","160.93","157.75","5.19K","2.27%"
"Jul 02, 2021","157.05","156.55","158.32","155.93","3.73K","0.47%"
"Jul 01, 2021","156.32","153.15","157.78","152.20","6.09K","1.10%"
"Jun 30, 2021","154.62","157.88","158.62","153.62","7.57K","-1.77%"
"Jun 29, 2021","157.40","156.70","158.15","155.40","3.88K","0.67%"
"Jun 28, 2021","156.35","159.62","159.65","156.05","5.23K","-2.01%"
"Jun 25, 2021","159.55","157.03","159.68","156.47","2.94K","1.53%"
"Jun 24, 2021","157.15","157.25","157.60","155.82","2.73K","0.93%"
"Jun 23, 2021","155.70","158.40","159.35","155.43","3.78K","-1.67%"
"Jun 22, 2021","158.35","155.25","159.50","155.22","5.05K","2.10%"
"Jun 21, 2021","155.10","156.07","156.38","153.60","2.82K","0.05%"
"Jun 18, 2021","155.03","156.25","157.70","154.90","4.08K","-1.51%"
"Jun 17, 2021","157.40","158.30","160.15","156.75","5.77K","-0.19%"
"Jun 16, 2021","157.70","156.18","158.10","155.70","4.60K","0.56%"
"Jun 15, 2021","156.82","154.82","157.40","154.72","5.77K","1.44%"
"Jun 14, 2021","154.60","153.18","154.75","152.68","4.17K","2.26%"
"Jun 11, 2021","151.18","149.40","151.90","148.88","4.81K","1.87%"
"Jun 10, 2021","148.40","147.75","148.80","146.75","4.16K","0.08%"
"Jun 09, 2021","148.28","149.80","150.90","147.50","3.94K","-0.65%"
"Jun 08, 2021","149.25","150.22","150.43","147.95","3.60K","-0.63%"
"Jun 07, 2021","150.20","148.50","150.60","147.43","3.64K","0.18%"
"Jun 04, 2021","149.93","152.70","152.75","149.20","4.04K","-1.97%"
"Jun 03, 2021","152.95","152.20","153.35","151.03","3.22K","0.41%"
"Jun 02, 2021","152.32","150.60","153.05","148.45","4.98K","2.13%"
"Jun 01, 2021","149.15","149.10","150.25","145.10","8.95K","-1.45%"
"May 28, 2021","151.35","153.43","153.90","151.20","3.46K","11.04%"
"May 27, 2021","136.30","136.50","136.57","136.07","0.35K","-0.15%"
"May 26, 2021","136.50","136.50","136.80","136.30","0.34K","-0.09%"
"May 25, 2021","136.62","136.50","136.72","136.32","0.57K","0.25%"
"May 24, 2021","136.28","136.40","136.60","136.20","0.56K","-0.69%"
"May 21, 2021","137.22","136.40","137.32","136.22","0.57K","1.08%"
"May 20, 2021","135.75","136.57","136.57","135.15","0.59K","-0.60%"
"May 19, 2021","136.57","137.50","137.95","136.45","0.45K","-0.46%"
"May 18, 2021","137.20","137.97","138.72","136.32","0.53K","-0.53%"
"May 17, 2021","137.93","137.50","138.18","136.88","0.72K","0.28%"
"May 14, 2021","137.55","137.03","137.93","136.60","0.53K","0.07%"
"May 13, 2021","137.45","137.72","139.38","136.03","1.21K","0.51%"
"May 12, 2021","136.75","134.95","137.07","134.93","0.81K","1.06%"
"May 11, 2021","135.32","135.20","136.00","134.53","1.01K","-0.10%"
"May 10, 2021","135.45","132.97","135.78","132.97","1.52K","2.83%"
"May 07, 2021","131.72","130.22","134.35","130.18","2.20K","0.96%"
"May 06, 2021","130.47","131.15","131.93","128.50","1.87K","-0.76%"
"May 05, 2021","131.47","130.00","131.85","128.65","1.58K","1.33%"
"May 04, 2021","129.75","133.07","133.07","128.75","1.81K","-2.48%"
"May 03, 2021","133.05","132.05","133.80","130.82","1.87K","-0.41%"
"Apr 30, 2021","133.60","136.00","136.47","132.97","2.22K","-0.65%"
"Apr 29, 2021","134.47","134.20","134.80","134.20","0.18K","0.44%"
"Apr 28, 2021","133.88","134.47","134.53","133.80","0.24K","-0.24%"
"Apr 27, 2021","134.20","133.00","134.78","132.60","0.43K","1.09%"
"Apr 26, 2021","132.75","134.00","134.00","132.55","0.40K","-0.82%"
"Apr 23, 2021","133.85","134.00","134.47","132.90","0.37K","1.21%"
"Apr 22, 2021","132.25","134.62","134.95","132.20","0.53K","-2.11%"
"Apr 21, 2021","135.10","137.75","137.78","134.62","0.49K","-1.80%"
"Apr 20, 2021","137.57","137.60","138.15","135.88","0.55K","-0.11%"
"Apr 19, 2021","137.72","139.65","139.65","137.15","0.52K","-1.36%"
"Apr 16, 2021","139.62","140.20","140.25","139.38","0.41K","-0.31%"
"Apr 15, 2021","140.05","141.00","141.70","140.00","0.62K","-0.78%"
"Apr 14, 2021","141.15","142.15","142.25","140.65","1.19K","-0.91%"
"Apr 13, 2021","142.45","144.20","144.57","142.25","1.45K","-1.42%"
"Apr 12, 2021","144.50","145.65","145.68","143.88","1.15K","-0.17%"
"Apr 09, 2021","144.75","146.88","147.15","144.50","1.42K","-1.61%"
"Apr 08, 2021","147.12","147.32","148.05","146.40","1.33K","-0.34%"
"Apr 07, 2021","147.62","146.70","147.72","146.20","0.78K","0.79%"
"Apr 06, 2021","146.47","146.10","147.10","146.05","0.71K","0.01%"
"Apr 05, 2021","146.45","144.00","147.30","144.00","1.29K","1.79%"
"Apr 01, 2021","143.88","143.80","144.85","143.25","-","0.00%"
"Mar 31, 2021","143.88","146.20","146.20","141.88","2.94K","-2.00%"
"Mar 30, 2021","146.82","147.20","147.88","146.50","1.52K","-0.17%"
"Mar 29, 2021","147.07","144.95","148.18","144.70","2.12K","1.34%"
"Mar 26, 2021","145.12","144.90","145.30","144.18","2.10K","6.59%"
"Mar 25, 2021","136.15","135.88","136.20","135.88","0.27K","0.27%"
"Mar 24, 2021","135.78","135.57","136.12","135.57","0.53K","0.24%"
"Mar 23, 2021","135.45","135.25","135.60","134.97","0.49K","0.28%"
"Mar 22, 2021","135.07","134.80","135.22","134.62","0.32K","0.29%"
"Mar 19, 2021","134.68","135.97","136.10","134.53","1.00K","-0.63%"
"Mar 18, 2021","135.53","137.30","137.55","135.40","1.02K","-1.02%"
"Mar 17, 2021","136.93","137.00","137.18","136.12","0.54K","0.26%"
"Mar 16, 2021","136.57","137.00","137.25","136.47","0.48K","-0.34%"
"Mar 15, 2021","137.03","136.30","137.28","136.22","0.53K","0.50%"
"Mar 12, 2021","136.35","135.00","136.93","134.90","0.81K","0.81%"
