"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","126.53","127.25","127.25","126.50","0.31K","-0.55%"
"Oct 27, 2021","127.22","126.70","127.50","126.68","0.65K","0.32%"
"Oct 26, 2021","126.82","125.07","127.30","124.95","0.59K","1.44%"
"Oct 25, 2021","125.03","125.32","125.78","124.70","0.58K","0.75%"
"Oct 22, 2021","124.10","124.75","124.97","123.97","0.88K","-0.70%"
"Oct 21, 2021","124.97","125.95","125.95","124.53","1.26K","-0.77%"
"Oct 20, 2021","125.95","125.25","126.05","124.90","1.20K","0.76%"
"Oct 19, 2021","125.00","125.50","125.80","124.88","2.49K","-0.36%"
"Oct 18, 2021","125.45","125.75","125.82","125.13","2.93K","-0.42%"
"Oct 15, 2021","125.97","125.50","126.00","125.38","3.99K","0.18%"
"Oct 14, 2021","125.75","124.90","125.90","124.80","3.06K","0.78%"
"Oct 13, 2021","124.78","125.05","125.05","124.45","2.26K","-0.20%"
"Oct 12, 2021","125.03","125.40","125.57","124.85","1.80K","-0.47%"
"Oct 11, 2021","125.62","125.65","125.72","125.22","1.11K","0.03%"
"Oct 08, 2021","125.58","125.40","125.65","125.20","1.27K","0.24%"
"Oct 07, 2021","125.28","123.97","125.35","123.72","2.78K","1.17%"
"Oct 06, 2021","123.83","122.95","124.00","122.62","2.71K","0.81%"
"Oct 05, 2021","122.83","122.97","123.40","122.50","2.24K","0.17%"
"Oct 04, 2021","122.62","120.92","122.97","120.53","4.65K","1.84%"
"Oct 01, 2021","120.40","121.00","121.65","120.25","6.50K","-0.15%"
"Sep 30, 2021","120.58","121.90","122.28","120.35","9.51K","-0.99%"
"Sep 29, 2021","121.78","122.00","122.70","121.20","9.18K","-0.18%"
"Sep 28, 2021","122.00","122.40","122.47","121.83","7.16K","-0.33%"
"Sep 27, 2021","122.40","122.70","123.80","122.10","8.88K","-0.42%"
"Sep 24, 2021","122.92","123.30","123.33","122.60","6.58K","-0.24%"
"Sep 23, 2021","123.22","123.40","123.92","123.03","6.94K","-0.05%"
"Sep 22, 2021","123.28","122.88","123.45","122.70","7.46K","0.68%"
"Sep 21, 2021","122.45","123.20","123.60","122.35","7.89K","-0.27%"
"Sep 20, 2021","122.78","122.38","122.95","121.80","9.25K","-0.02%"
"Sep 17, 2021","122.80","123.50","123.50","122.53","10.74K","-0.65%"
"Sep 16, 2021","123.60","124.08","124.22","123.30","10.60K","-0.46%"
"Sep 15, 2021","124.17","124.40","124.53","123.53","15.06K","0.04%"
"Sep 14, 2021","124.12","122.80","125.05","122.67","34.19K","1.50%"
"Sep 13, 2021","122.28","121.97","123.67","120.85","36.89K","-0.92%"
"Sep 10, 2021","123.42","123.83","124.33","123.03","28.54K","-0.27%"
"Sep 09, 2021","123.75","123.40","124.45","123.10","32.09K","0.53%"
"Sep 08, 2021","123.10","124.00","124.55","123.03","40.79K","-0.53%"
"Sep 07, 2021","123.75","125.67","125.75","123.67","28.61K","-0.84%"
"Sep 03, 2021","124.80","126.42","126.60","124.62","29.15K","-0.99%"
"Sep 02, 2021","126.05","127.47","128.03","125.88","24.31K","-1.20%"
"Sep 01, 2021","127.58","126.92","128.18","126.53","30.57K","7.26%"
"Aug 31, 2021","118.95","121.88","123.00","118.70","0.04K","-1.08%"
"Aug 30, 2021","120.25","123.60","123.60","120.10","0.28K","-1.43%"
"Aug 27, 2021","122.00","123.15","123.40","120.17","0.72K","-1.04%"
"Aug 26, 2021","123.28","124.25","124.28","123.05","1.82K","-0.92%"
"Aug 25, 2021","124.42","126.00","126.15","124.30","1.02K","-1.10%"
"Aug 24, 2021","125.80","126.97","127.47","125.70","2.16K","-0.51%"
"Aug 23, 2021","126.45","124.30","127.17","124.30","1.75K","1.75%"
"Aug 20, 2021","124.28","123.40","124.38","123.30","1.76K","0.71%"
"Aug 19, 2021","123.40","123.60","123.75","123.05","4.60K","-0.51%"
"Aug 18, 2021","124.03","123.30","124.22","123.15","3.55K","0.59%"
"Aug 17, 2021","123.30","123.70","124.10","123.22","1.40K","-0.19%"
"Aug 16, 2021","123.53","123.10","123.67","122.42","2.10K","0.64%"
"Aug 13, 2021","122.75","123.28","123.45","122.62","2.52K","-0.32%"
"Aug 12, 2021","123.15","122.72","123.42","122.45","6.21K","0.16%"
"Aug 11, 2021","122.95","123.50","123.58","122.78","4.30K","-0.57%"
"Aug 10, 2021","123.65","123.30","124.80","123.03","3.91K","0.53%"
"Aug 09, 2021","123.00","123.20","123.35","122.65","4.00K","0.00%"
"Aug 06, 2021","123.00","122.60","123.05","121.30","9.96K","0.34%"
"Aug 05, 2021","122.58","124.08","124.30","122.50","9.29K","-1.19%"
"Aug 04, 2021","124.05","123.40","124.62","123.05","10.81K","0.65%"
"Aug 03, 2021","123.25","122.17","123.50","122.15","7.86K","0.93%"
"Aug 02, 2021","122.12","122.33","122.65","121.95","6.00K","0.03%"
