"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","4.4375","4.3540","4.4540","4.3540","0.27K","1.16%"
"Oct 27, 2021","4.3865","4.3925","4.3925","4.3865","0.00K","-2.23%"
"Oct 26, 2021","4.4865","4.5255","4.5255","4.5115","0.08K","-1.43%"
"Oct 25, 2021","4.5515","4.5515","4.5515","4.5515","0.49K","0.56%"
"Oct 22, 2021","4.5260","4.5500","4.5590","4.5085","0.56K","-1.32%"
"Oct 21, 2021","4.5865","4.5820","4.5820","4.5820","0.62K","-3.56%"
"Oct 20, 2021","4.7560","4.6500","4.7685","4.6500","0.59K","0.89%"
"Oct 19, 2021","4.7140","4.7500","4.7500","4.6870","0.76K","-0.35%"
"Oct 18, 2021","4.7305","4.7895","4.7910","4.7020","0.60K","-0.07%"
"Oct 15, 2021","4.7340","4.6105","4.7080","4.6105","0.05K","2.68%"
"Oct 14, 2021","4.6105","4.6100","4.6125","4.6100","0.00K","1.99%"
"Oct 13, 2021","4.5205","4.4540","4.5265","4.4440","0.36K","4.42%"
"Oct 12, 2021","4.3290","4.3640","4.3855","4.3235","0.14K","-1.04%"
"Oct 11, 2021","4.3745","4.3490","4.3865","4.3490","0.04K","2.14%"
"Oct 08, 2021","4.2830","4.2920","4.2925","4.2835","0.34K","0.75%"
"Oct 07, 2021","4.2510","4.2250","4.2570","4.2240","0.36K","2.26%"
"Oct 06, 2021","4.1570","4.1650","4.1745","4.1420","0.12K","-1.07%"
"Oct 05, 2021","4.2020","4.2280","4.2280","4.1750","0.29K","-1.13%"
"Oct 04, 2021","4.2500","4.2400","4.2900","4.1900","0.45K","1.43%"
"Oct 01, 2021","4.1900","4.1500","4.2100","4.1500","0.97K","2.44%"
"Sep 30, 2021","4.0900","4.1900","4.2000","4.0700","0.88K","-2.62%"
"Sep 29, 2021","4.2000","4.2300","4.2500","4.1900","0.79K","-1.18%"
"Sep 28, 2021","4.2500","4.2700","4.2700","4.2700","0.30K","-0.93%"
