"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","2,424.75","2,369.50","2,433.00","2,363.00","-","1.69%"
"Oct 27, 2021","2,384.50","2,390.00","2,380.50","2,381.00","-","-1.57%"
"Oct 26, 2021","2,422.50","2,430.00","2,421.00","2,423.00","10.08K","-0.66%"
"Oct 25, 2021","2,438.50","2,440.00","2,434.00","2,435.00","11.61K","0.64%"
"Oct 22, 2021","2,423.00","2,403.00","2,395.00","2,395.00","12.17K","0.96%"
"Oct 21, 2021","2,400.00","2,382.00","2,378.00","2,380.00","15.01K","-0.72%"
"Oct 20, 2021","2,417.50","2,360.00","2,358.00","2,358.00","13.07K","1.75%"
"Oct 19, 2021","2,376.00","2,390.00","2,386.00","2,388.00","22.29K","-0.08%"
"Oct 18, 2021","2,378.00","2,373.00","2,371.00","2,373.00","18.17K","1.73%"
"Oct 15, 2021","2,337.50","2,342.00","2,338.00","2,340.00","18.15K","1.63%"
"Oct 14, 2021","2,300.00","2,265.00","2,261.00","2,260.00","14.74K","2.43%"
"Oct 13, 2021","2,245.50","2,245.00","2,244.00","2,245.00","13.10K","1.54%"
"Oct 12, 2021","2,211.50","2,237.00","2,237.00","2,237.00","12.26K","-0.72%"
"Oct 11, 2021","2,227.50","2,237.00","2,235.00","2,237.00","10.21K","0.29%"
"Oct 08, 2021","2,221.00","2,205.00","2,196.00","2,198.00","10.05K","2.19%"
"Oct 07, 2021","2,173.50","2,160.00","2,153.00","2,154.00","7.59K","1.05%"
"Oct 06, 2021","2,151.00","2,154.00","2,146.00","2,147.00","5.94K","-0.05%"
"Oct 05, 2021","2,152.00","2,155.00","2,152.00","2,154.00","4.75K","0.19%"
"Oct 04, 2021","2,148.00","2,157.00","2,153.00","2,153.00","8.16K","0.35%"
"Oct 01, 2021","2,140.50","2,127.00","2,128.00","2,126.00","9.94K","2.29%"
"Sep 30, 2021","2,092.50","2,087.00","2,087.00","2,078.00","16.97K","-2.22%"
"Sep 29, 2021","2,140.00","2,158.00","2,160.00","2,158.00","7.54K","-1.34%"
"Sep 28, 2021","2,169.00","2,184.00","2,184.00","2,184.00","11.20K","0.30%"
"Sep 27, 2021","2,162.50","2,162.00","2,164.00","2,162.00","9.56K","0.42%"
"Sep 24, 2021","2,153.50","2,142.00","2,140.00","2,142.00","12.11K","1.56%"
"Sep 23, 2021","2,120.50","2,129.00","2,128.00","2,128.50","26.92K","0.33%"
"Sep 22, 2021","2,113.50","2,123.00","2,122.00","2,123.00","14.46K","-0.96%"
"Sep 21, 2021","2,134.00","2,170.00","2,168.00","2,170.00","11.05K","-1.02%"
"Sep 20, 2021","2,156.00","2,167.00","2,166.00","2,167.00","12.80K","-1.15%"
"Sep 17, 2021","2,181.00","2,217.00","2,217.00","2,206.00","12.61K","-1.25%"
"Sep 16, 2021","2,208.50","2,248.00","2,247.00","2,248.00","10.77K","-1.19%"
"Sep 15, 2021","2,235.00","2,225.00","2,225.00","2,225.00","22.92K","-1.65%"
"Sep 14, 2021","2,272.50","2,267.00","2,265.00","2,267.00","8.26K","-0.89%"
"Sep 13, 2021","2,293.00","2,285.00","2,285.00","2,280.00","9.41K","-1.08%"
"Sep 10, 2021","2,318.00","2,325.00","2,323.00","2,325.00","11.80K","0.85%"
"Sep 09, 2021","2,298.50","2,280.00","2,278.00","2,280.00","12.26K","0.88%"
"Sep 08, 2021","2,278.50","2,286.00","2,284.00","2,280.00","10.67K","0.20%"
"Sep 07, 2021","2,274.00","2,285.00","2,273.50","2,274.50","9.64K","-0.04%"
"Sep 06, 2021","2,275.00","2,270.00","2,272.50","2,270.00","7.76K","-1.54%"
"Sep 03, 2021","2,310.50","2,314.50","2,314.75","2,286.25","7.86K","-0.09%"
"Sep 02, 2021","2,312.50","2,275.00","2,314.50","2,271.50","13.92K","1.72%"
"Sep 01, 2021","2,273.50","2,259.25","2,285.25","2,256.50","12.42K","0.78%"
"Aug 31, 2021","2,256.00","2,291.00","2,295.25","2,249.50","14.85K","-1.72%"
"Aug 27, 2021","2,295.50","2,290.75","2,310.75","2,283.75","7.06K","0.13%"
"Aug 26, 2021","2,292.50","2,313.50","2,324.25","2,268.25","10.04K","-1.10%"
"Aug 25, 2021","2,318.00","2,290.00","2,329.25","2,284.00","10.71K","1.07%"
"Aug 24, 2021","2,293.50","2,287.00","2,299.25","2,270.25","7.40K","0.37%"
"Aug 23, 2021","2,285.00","2,256.75","2,297.75","2,256.75","9.21K","1.51%"
"Aug 20, 2021","2,251.00","2,254.25","2,280.25","2,250.25","7.93K","-0.40%"
"Aug 19, 2021","2,260.00","2,296.00","2,311.75","2,241.75","16.89K","-1.29%"
"Aug 18, 2021","2,289.50","2,288.50","2,310.75","2,281.50","9.07K","-1.44%"
"Aug 17, 2021","2,323.00","2,315.75","2,328.50","2,292.00","19.54K","0.50%"
"Aug 16, 2021","2,311.50","2,327.25","2,329.25","2,298.75","8.36K","-0.96%"
"Aug 13, 2021","2,334.00","2,310.00","2,339.50","2,304.50","7.82K","1.17%"
"Aug 12, 2021","2,307.00","2,314.75","2,341.75","2,300.50","8.28K","-0.50%"
"Aug 11, 2021","2,318.50","2,298.50","2,323.00","2,283.75","7.31K","1.31%"
"Aug 10, 2021","2,288.50","2,264.75","2,302.50","2,263.75","10.14K","1.33%"
"Aug 09, 2021","2,258.50","2,277.25","2,292.50","2,251.25","14.60K","-0.70%"
"Aug 06, 2021","2,274.50","2,346.25","2,359.75","2,270.00","19.62K","-3.70%"
"Aug 05, 2021","2,362.00","2,374.75","2,389.25","2,343.50","9.58K","-0.76%"
"Aug 04, 2021","2,380.00","2,391.50","2,402.00","2,370.75","10.40K","-0.75%"
"Aug 03, 2021","2,398.00","2,398.25","2,403.50","2,366.00","14.34K","-0.17%"
"Aug 02, 2021","2,402.00","2,383.25","2,412.25","2,378.50","15.36K","0.84%"
"Jul 30, 2021","2,382.00","2,373.75","2,394.50","2,351.00","13.85K","0.70%"
"Jul 29, 2021","2,365.50","2,351.00","2,378.50","2,339.00","9.46K","0.94%"
"Jul 28, 2021","2,343.50","2,336.50","2,358.25","2,325.75","9.82K","0.21%"
"Jul 27, 2021","2,338.50","2,366.50","2,370.25","2,330.25","13.63K","-1.43%"
"Jul 26, 2021","2,372.50","2,372.50","2,388.00","2,347.50","12.84K","-0.11%"
"Jul 23, 2021","2,375.00","2,387.25","2,398.50","2,364.50","11.46K","-1.02%"
"Jul 22, 2021","2,399.50","2,338.50","2,403.25","2,338.50","15.88K","2.70%"
"Jul 21, 2021","2,336.50","2,328.50","2,349.75","2,305.50","16.82K","0.37%"
"Jul 20, 2021","2,328.00","2,289.00","2,332.25","2,280.50","17.42K","1.88%"
"Jul 19, 2021","2,285.00","2,315.00","2,324.00","2,273.25","13.87K","-1.51%"
"Jul 16, 2021","2,320.00","2,321.00","2,333.25","2,313.50","8.59K","-0.41%"
"Jul 15, 2021","2,329.50","2,295.50","2,329.75","2,293.25","11.01K","1.33%"
"Jul 14, 2021","2,299.00","2,310.00","2,312.75","2,288.25","9.60K","-0.52%"
"Jul 13, 2021","2,311.00","2,329.50","2,330.75","2,294.25","13.64K","-0.92%"
"Jul 12, 2021","2,332.50","2,334.50","2,339.75","2,308.50","12.89K","0.09%"
"Jul 09, 2021","2,330.50","2,299.50","2,339.75","2,284.00","14.62K","1.46%"
"Jul 08, 2021","2,297.00","2,286.50","2,309.50","2,265.00","14.51K","0.31%"
"Jul 07, 2021","2,290.00","2,291.50","2,315.00","2,284.75","11.81K","-0.15%"
"Jul 06, 2021","2,293.50","2,283.25","2,319.25","2,281.25","11.80K","0.31%"
"Jul 05, 2021","2,286.50","2,302.25","2,328.00","2,281.25","8.61K","-0.59%"
"Jul 02, 2021","2,300.00","2,268.50","2,307.50","2,242.75","16.43K","1.37%"
"Jul 01, 2021","2,269.00","2,269.75","2,274.75","2,230.75","16.70K","-0.22%"
"Jun 30, 2021","2,274.00","2,290.50","2,343.50","2,266.00","19.78K","-1.34%"
"Jun 29, 2021","2,305.00","2,237.75","2,322.00","2,235.50","21.40K","3.22%"
"Jun 28, 2021","2,233.00","2,229.50","2,246.25","2,192.75","17.52K","0.59%"
"Jun 25, 2021","2,220.00","2,221.25","2,233.50","2,210.25","10.05K","-0.02%"
"Jun 24, 2021","2,220.50","2,190.00","2,227.75","2,180.75","12.12K","1.30%"
"Jun 23, 2021","2,192.00","2,170.50","2,194.50","2,165.00","7.68K","0.80%"
"Jun 22, 2021","2,174.50","2,167.50","2,178.00","2,158.50","8.24K","0.83%"
"Jun 21, 2021","2,156.50","2,154.25","2,174.25","2,137.50","8.46K","-0.05%"
"Jun 18, 2021","2,157.50","2,131.50","2,164.75","2,121.50","13.99K","1.29%"
"Jun 17, 2021","2,130.00","2,179.25","2,191.00","2,123.50","12.92K","-3.29%"
"Jun 16, 2021","2,202.50","2,173.75","2,205.75","2,172.25","5.94K","1.24%"
"Jun 15, 2021","2,175.50","2,200.75","2,205.75","2,169.75","10.59K","-1.61%"
"Jun 14, 2021","2,211.00","2,206.00","2,214.75","2,184.75","6.78K","0.27%"
"Jun 11, 2021","2,205.00","2,183.00","2,217.75","2,180.00","6.91K","1.40%"
