"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","19,572.50","19,530.00","19,807.50","19,297.50","-","0.83%"
"Oct 27, 2021","19,412.00","19,675.00","19,650.00","19,640.00","-","-3.38%"
"Oct 26, 2021","20,091.00","20,400.00","20,350.00","20,375.00","24.08K","-1.06%"
"Oct 25, 2021","20,306.00","20,030.00","20,020.00","20,030.00","16.35K","2.87%"
"Oct 22, 2021","19,739.00","20,275.00","20,210.00","20,220.00","20.49K","-0.96%"
"Oct 21, 2021","19,930.00","20,500.00","20,475.00","20,475.00","32.32K","-4.93%"
"Oct 20, 2021","20,963.00","20,000.00","19,955.00","19,960.00","29.83K","4.55%"
"Oct 19, 2021","20,050.00","20,450.00","20,400.00","20,450.00","33.77K","0.27%"
"Oct 18, 2021","19,997.00","20,200.00","20,150.00","20,175.00","21.18K","-0.11%"
"Oct 15, 2021","20,020.00","19,900.00","19,825.00","19,830.00","29.20K","3.76%"
"Oct 14, 2021","19,294.00","19,265.00","19,270.00","19,260.00","18.25K","1.99%"
"Oct 13, 2021","18,918.00","19,200.00","19,190.00","19,190.00","14.61K","-0.32%"
"Oct 12, 2021","18,978.00","19,350.00","19,330.00","19,350.00","15.73K","-0.74%"
"Oct 11, 2021","19,119.00","19,380.00","19,360.00","19,370.00","18.40K","-0.53%"
"Oct 08, 2021","19,221.00","18,890.00","18,870.00","18,890.00","27.71K","5.24%"
"Oct 07, 2021","18,264.00","18,240.00","18,250.00","18,240.00","14.97K","1.06%"
"Oct 06, 2021","18,072.00","18,100.00","18,090.00","18,100.00","9.51K","-0.27%"
"Oct 05, 2021","18,121.00","17,845.00","17,850.00","17,810.00","12.24K","1.10%"
"Oct 04, 2021","17,924.00","18,125.00","18,100.00","18,125.00","13.30K","-0.26%"
"Oct 01, 2021","17,971.00","18,100.00","18,080.00","18,100.00","11.97K","0.20%"
"Sep 30, 2021","17,936.00","18,170.00","18,100.00","18,100.00","19.54K","-2.21%"
"Sep 29, 2021","18,342.00","18,600.00","18,555.00","18,555.00","21.27K","-1.20%"
"Sep 28, 2021","18,564.00","18,610.00","18,585.00","18,600.00","17.46K","-2.02%"
"Sep 27, 2021","18,946.00","18,900.00","18,910.00","18,870.00","15.60K","-2.27%"
"Sep 24, 2021","19,387.00","19,150.00","19,100.00","19,125.00","14.90K","0.19%"
"Sep 23, 2021","19,351.00","19,250.00","19,230.00","19,235.00","17.48K","0.68%"
"Sep 22, 2021","19,221.00","19,060.00","19,045.00","19,050.00","20.23K","2.08%"
"Sep 21, 2021","18,830.00","18,930.00","18,910.00","18,920.00","17.55K","-1.19%"
"Sep 20, 2021","19,056.00","19,050.00","19,025.00","19,050.00","18.17K","-1.56%"
"Sep 17, 2021","19,358.00","20,000.00","19,975.00","20,000.00","28.10K","-0.22%"
