"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2021","1,977.10","1,977.10","1,977.10","1,977.10","-","-1.52%"
"Oct 26, 2021","2,007.60","2,007.60","2,007.60","2,007.60","-","-2.12%"
"Oct 25, 2021","2,051.00","2,051.00","2,051.00","2,051.00","-","0.62%"
"Oct 22, 2021","2,038.40","2,038.40","2,038.40","2,038.40","-","0.87%"
"Oct 21, 2021","2,020.90","2,020.90","2,020.90","2,020.90","-","-3.08%"
"Oct 20, 2021","2,085.20","2,085.20","2,085.20","2,085.20","-","-0.88%"
"Oct 19, 2021","2,103.70","2,103.70","2,103.70","2,103.70","-","4.36%"
"Oct 18, 2021","2,015.90","2,015.90","2,015.90","2,015.90","-","-3.05%"
"Oct 15, 2021","2,079.40","2,079.40","2,079.40","2,079.40","-","-3.45%"
"Oct 14, 2021","2,153.70","2,153.70","2,153.70","2,153.70","-","2.12%"
"Oct 13, 2021","2,108.90","2,108.90","2,108.90","2,108.90","-","2.84%"
"Oct 12, 2021","2,050.60","2,050.60","2,050.60","2,050.60","-","-3.38%"
"Oct 11, 2021","2,122.30","2,122.30","2,122.30","2,122.30","-","2.24%"
"Oct 08, 2021","2,075.80","2,075.80","2,075.80","2,075.80","-","6.03%"
"Oct 07, 2021","1,957.80","1,957.80","1,957.80","1,957.80","-","4.66%"
"Oct 06, 2021","1,870.60","1,870.60","1,870.60","1,870.60","-","-1.66%"
"Oct 05, 2021","1,902.20","1,902.20","1,902.20","1,902.20","-","1.30%"
"Oct 04, 2021","1,877.80","1,877.80","1,877.80","1,877.80","-","-1.51%"
"Oct 01, 2021","1,906.50","1,906.50","1,906.50","1,906.50","-","0.20%"
"Sep 30, 2021","1,902.60","1,902.60","1,902.60","1,902.60","-","3.79%"
"Sep 29, 2021","1,833.10","1,853.50","1,853.50","1,853.50","0.00K","-1.14%"
"Sep 28, 2021","1,854.20","1,923.00","1,923.00","1,923.00","0.00K","-4.80%"
"Sep 27, 2021","1,947.70","1,947.70","1,947.70","1,947.70","-","-0.17%"
"Sep 24, 2021","1,951.10","1,939.00","1,939.00","1,939.00","0.00K","-1.05%"
"Sep 23, 2021","1,971.80","1,971.80","1,971.80","1,971.80","-","-3.16%"
"Sep 22, 2021","2,036.20","2,036.20","2,036.20","2,036.20","-","7.48%"
"Sep 21, 2021","1,894.50","1,885.00","1,885.00","1,885.00","0.00K","1.57%"
"Sep 20, 2021","1,865.20","1,880.00","1,880.00","1,860.50","0.04K","-5.86%"
"Sep 17, 2021","1,981.20","1,981.20","1,981.20","1,981.20","-","-1.87%"
"Sep 16, 2021","2,018.90","2,018.90","2,018.90","2,018.90","-","1.44%"
"Sep 15, 2021","1,990.20","1,990.20","1,990.20","1,990.20","-","0.89%"
"Sep 14, 2021","1,972.60","1,979.00","1,979.00","1,973.00","0.00K","-5.01%"
"Sep 13, 2021","2,076.60","2,100.00","2,100.00","2,063.00","0.00K","-2.19%"
"Sep 10, 2021","2,123.00","2,204.00","2,204.00","2,204.00","0.00K","-0.79%"
"Sep 09, 2021","2,139.80","2,139.80","2,139.80","2,139.80","0.01K","-4.28%"
"Sep 08, 2021","2,235.50","2,222.00","2,222.00","2,222.00","0.01K","-4.92%"
"Sep 07, 2021","2,351.20","2,422.00","2,422.00","2,341.00","0.03K","-2.62%"
"Sep 03, 2021","2,414.40","2,399.00","2,399.00","2,397.00","0.00K","0.71%"
"Sep 02, 2021","2,397.40","2,405.50","2,405.50","2,405.50","0.00K","-1.68%"
"Sep 01, 2021","2,438.40","2,466.00","2,485.50","2,426.50","0.02K","-1.21%"
"Aug 31, 2021","2,468.30","2,470.00","2,489.50","2,462.00","0.10K","-0.32%"
"Aug 30, 2021","2,476.10","2,414.00","2,495.50","2,404.00","0.37K","3.08%"
"Aug 27, 2021","2,402.20","2,402.20","2,402.20","2,402.20","-","0.66%"
"Aug 26, 2021","2,386.50","2,386.50","2,386.50","2,386.50","-","-1.75%"
"Aug 25, 2021","2,428.90","2,428.90","2,428.90","2,428.90","-","-0.48%"
"Aug 24, 2021","2,440.70","2,440.70","2,440.70","2,440.70","-","2.41%"
"Aug 23, 2021","2,383.30","2,383.30","2,383.30","2,383.30","-","4.77%"
"Aug 20, 2021","2,274.70","2,288.00","2,288.00","2,288.00","0.00K","-0.93%"
"Aug 19, 2021","2,296.10","2,296.10","2,296.10","2,296.10","-","-5.18%"
"Aug 18, 2021","2,421.50","2,421.50","2,421.50","2,421.50","-","-2.90%"
"Aug 17, 2021","2,493.80","2,493.80","2,493.80","2,493.80","-","-4.00%"
"Aug 16, 2021","2,597.60","2,597.60","2,597.60","2,597.60","-","-2.20%"
"Aug 13, 2021","2,656.10","2,656.10","2,656.10","2,656.10","-","1.24%"
"Aug 12, 2021","2,623.50","2,623.50","2,623.50","2,623.50","-","-0.34%"
"Aug 11, 2021","2,632.40","2,632.40","2,632.40","2,632.40","-","-0.65%"
"Aug 10, 2021","2,649.60","2,649.60","2,649.60","2,649.60","-","1.84%"
"Aug 09, 2021","2,601.70","2,601.70","2,601.70","2,601.70","-","-1.06%"
"Aug 06, 2021","2,629.70","2,629.70","2,629.70","2,629.70","-","-0.94%"
"Aug 05, 2021","2,654.70","2,654.70","2,654.70","2,654.70","-","0.13%"
"Aug 04, 2021","2,651.30","2,651.30","2,651.30","2,651.30","-","0.24%"
"Aug 03, 2021","2,644.90","2,644.90","2,644.90","2,644.90","-","-1.45%"
"Aug 02, 2021","2,683.70","2,683.70","2,683.70","2,683.70","-","1.05%"
"Jul 30, 2021","2,655.80","2,655.80","2,655.80","2,655.80","-","0.50%"
"Jul 29, 2021","2,642.70","2,642.70","2,642.70","2,642.70","-","0.84%"
"Jul 28, 2021","2,620.80","2,620.80","2,620.80","2,620.80","-","0.61%"
"Jul 27, 2021","2,604.90","2,604.90","2,604.90","2,604.90","-","-2.67%"
"Jul 26, 2021","2,676.30","2,676.30","2,676.30","2,676.30","-","0.59%"
"Jul 23, 2021","2,660.60","2,660.60","2,660.60","2,660.60","-","-1.56%"
"Jul 22, 2021","2,702.80","2,702.80","2,702.80","2,702.80","-","1.87%"
"Jul 21, 2021","2,653.10","2,653.10","2,653.10","2,653.10","-","0.55%"
"Jul 20, 2021","2,638.60","2,638.60","2,638.60","2,638.60","-","1.84%"
"Jul 19, 2021","2,590.90","2,590.90","2,590.90","2,590.90","-","-1.69%"
"Jul 16, 2021","2,635.50","2,635.50","2,635.50","2,635.50","-","-3.37%"
"Jul 15, 2021","2,727.50","2,727.50","2,727.50","2,727.50","-","-3.43%"
"Jul 14, 2021","2,824.50","2,824.50","2,824.50","2,824.50","-","-0.22%"
"Jul 13, 2021","2,830.70","2,830.70","2,830.70","2,830.70","-","-0.94%"
"Jul 12, 2021","2,857.50","2,857.50","2,857.50","2,857.50","-","1.68%"
"Jul 09, 2021","2,810.20","2,810.20","2,810.20","2,810.20","-","0.06%"
"Jul 08, 2021","2,808.40","2,808.40","2,808.40","2,808.40","-","-1.34%"
"Jul 07, 2021","2,846.50","2,846.50","2,846.50","2,846.50","-","1.87%"
"Jul 06, 2021","2,794.30","2,794.30","2,794.30","2,794.30","-","0.13%"
"Jul 02, 2021","2,790.70","2,790.70","2,790.70","2,790.70","-","0.85%"
"Jul 01, 2021","2,767.10","2,767.10","2,767.10","2,767.10","-","-0.37%"
"Jun 30, 2021","2,777.40","2,777.40","2,777.40","2,777.40","-","3.66%"
"Jun 29, 2021","2,679.40","2,679.40","2,679.40","2,679.40","-","-0.61%"
"Jun 28, 2021","2,695.90","2,695.90","2,695.90","2,695.90","-","2.38%"
"Jun 25, 2021","2,633.30","2,633.30","2,633.30","2,633.30","-","-0.25%"
"Jun 24, 2021","2,639.80","2,612.00","2,634.50","2,597.50","0.01K","0.51%"
"Jun 23, 2021","2,626.30","2,587.50","2,587.50","2,587.50","0.00K","2.80%"
"Jun 22, 2021","2,554.70","2,555.50","2,555.50","2,550.00","0.00K","0.06%"
"Jun 21, 2021","2,553.20","2,540.00","2,540.00","2,540.00","0.00K","3.55%"
"Jun 18, 2021","2,465.70","2,516.00","2,520.00","2,461.00","0.01K","-1.75%"
"Jun 17, 2021","2,509.60","2,766.50","2,769.00","2,673.00","0.01K","-11.45%"
"Jun 16, 2021","2,834.00","2,805.50","2,805.50","2,805.50","0.00K","2.61%"
"Jun 15, 2021","2,761.80","2,761.80","2,761.80","2,761.80","-","0.30%"
"Jun 14, 2021","2,753.60","2,753.60","2,753.60","2,753.60","-","-0.87%"
"Jun 11, 2021","2,777.70","2,777.70","2,777.70","2,777.70","-","0.11%"
"Jun 10, 2021","2,774.70","2,768.00","2,768.00","2,768.00","0.00K","0.17%"
"Jun 09, 2021","2,770.00","2,800.00","2,800.00","2,769.00","0.00K","-1.16%"
"Jun 08, 2021","2,802.60","2,802.60","2,802.60","2,802.60","-","-1.09%"
"Jun 07, 2021","2,833.40","2,833.40","2,833.40","2,833.40","-","-0.16%"
"Jun 04, 2021","2,837.90","2,827.00","2,831.00","2,827.00","0.00K","0.54%"
"Jun 03, 2021","2,822.70","2,817.00","2,817.00","2,804.00","0.00K","-1.37%"
"Jun 02, 2021","2,862.00","2,862.00","2,862.00","2,862.00","0.00K","0.19%"
"Jun 01, 2021","2,856.70","2,830.00","2,845.00","2,830.00","0.00K","1.15%"
"May 28, 2021","2,824.20","2,816.00","2,834.00","2,808.00","0.04K","0.78%"
"May 27, 2021","2,802.30","2,738.00","2,834.00","2,737.50","0.50K","1.96%"
"May 26, 2021","2,748.50","2,748.50","2,748.50","2,748.50","-","-1.04%"
"May 25, 2021","2,777.50","2,777.50","2,777.50","2,777.50","-","1.74%"
"May 24, 2021","2,730.10","2,730.10","2,730.10","2,730.10","-","-1.63%"
"May 21, 2021","2,775.30","2,775.30","2,775.30","2,775.30","-","-3.32%"
"May 20, 2021","2,870.50","2,870.50","2,870.50","2,870.50","-","-0.51%"
"May 19, 2021","2,885.10","2,885.10","2,885.10","2,885.10","-","-0.63%"
"May 18, 2021","2,903.40","2,903.40","2,903.40","2,903.40","-","0.36%"
"May 17, 2021","2,892.90","2,892.90","2,892.90","2,892.90","-","0.04%"
"May 14, 2021","2,891.60","2,891.60","2,891.60","2,891.60","-","1.05%"
"May 13, 2021","2,861.60","2,861.60","2,861.60","2,861.60","-","0.55%"
"May 12, 2021","2,846.00","2,846.00","2,846.00","2,846.00","-","-2.64%"
"May 11, 2021","2,923.20","2,923.20","2,923.20","2,923.20","-","-1.65%"
"May 10, 2021","2,972.10","2,972.10","2,972.10","2,972.10","-","1.47%"
"May 07, 2021","2,929.10","2,929.10","2,929.10","2,929.10","-","-0.76%"
"May 06, 2021","2,951.40","2,951.40","2,951.40","2,951.40","-","-0.85%"
"May 05, 2021","2,976.80","2,976.80","2,976.80","2,976.80","-","-0.16%"
"May 04, 2021","2,981.60","2,981.60","2,981.60","2,981.60","-","-0.13%"
"May 03, 2021","2,985.40","2,985.40","2,985.40","2,985.40","-","0.94%"
"Apr 30, 2021","2,957.70","2,957.70","2,957.70","2,957.70","-","0.17%"
"Apr 29, 2021","2,952.60","2,952.60","2,952.60","2,952.60","-","0.95%"
"Apr 28, 2021","2,924.90","2,924.90","2,924.90","2,924.90","-","-0.76%"
"Apr 27, 2021","2,947.30","2,947.30","2,947.30","2,947.30","-","1.49%"
"Apr 26, 2021","2,904.00","2,904.00","2,904.00","2,904.00","-","1.83%"
"Apr 23, 2021","2,851.70","2,851.70","2,851.70","2,851.70","-","0.50%"
"Apr 22, 2021","2,837.60","2,837.60","2,837.60","2,837.60","-","-1.14%"
"Apr 21, 2021","2,870.30","2,870.30","2,870.30","2,870.30","-","4.29%"
"Apr 20, 2021","2,752.10","2,752.10","2,752.10","2,752.10","-","-2.00%"
"Apr 19, 2021","2,808.30","2,808.30","2,808.30","2,808.30","-","1.40%"
"Apr 16, 2021","2,769.40","2,769.40","2,769.40","2,769.40","-","1.29%"
"Apr 15, 2021","2,734.10","2,734.10","2,734.10","2,734.10","-","2.24%"
"Apr 14, 2021","2,674.10","2,674.10","2,674.10","2,674.10","-","-0.65%"
