"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","1,025.00","1,018.40","1,025.00","1,015.40","0.01K","0.65%"
"Oct 27, 2021","1,018.40","1,018.00","1,018.00","1,017.00","0.00K","-1.34%"
"Oct 26, 2021","1,032.20","1,032.20","1,032.20","1,032.20","0.10K","-2.82%"
"Oct 25, 2021","1,062.20","1,059.70","1,059.80","1,059.70","0.13K","1.14%"
"Oct 22, 2021","1,050.20","1,064.30","1,064.30","1,062.50","0.20K","0.24%"
"Oct 21, 2021","1,047.70","1,039.00","1,040.40","1,038.80","0.01K","-0.24%"
"Oct 20, 2021","1,050.20","1,041.10","1,054.10","1,041.10","0.02K","0.54%"
"Oct 19, 2021","1,044.60","1,044.60","1,044.60","1,044.60","-","0.84%"
"Oct 18, 2021","1,035.90","1,035.90","1,035.90","1,035.90","-","-1.97%"
"Oct 15, 2021","1,056.70","1,057.30","1,057.40","1,053.60","0.06K","0.59%"
"Oct 14, 2021","1,050.50","1,033.50","1,058.00","1,033.50","0.08K","2.76%"
"Oct 13, 2021","1,022.30","1,022.30","1,022.30","1,022.30","0.05K","1.25%"
"Oct 12, 2021","1,009.70","1,010.20","1,010.20","1,003.90","0.01K","0.48%"
"Oct 11, 2021","1,004.90","1,005.40","1,007.10","1,005.40","0.02K","-2.11%"
"Oct 08, 2021","1,026.60","1,012.80","1,030.60","1,012.80","0.03K","4.34%"
"Oct 07, 2021","983.90","986.10","995.00","977.70","0.05K","0.83%"
"Oct 06, 2021","975.80","957.30","975.90","949.20","0.01K","1.75%"
"Oct 05, 2021","959.00","963.80","963.80","955.80","0.03K","-0.12%"
"Oct 04, 2021","960.20","960.00","963.80","951.20","0.09K","-1.22%"
"Oct 01, 2021","972.10","957.70","976.00","957.70","0.15K","1.17%"
"Sep 30, 2021","960.90","946.60","966.90","946.50","0.15K","1.76%"
"Sep 29, 2021","944.30","962.10","969.20","939.00","1.70K","-1.70%"
"Sep 28, 2021","960.60","960.60","960.60","960.60","-","-2.24%"
"Sep 27, 2021","982.60","985.70","986.90","979.80","0.01K","0.17%"
"Sep 24, 2021","980.90","980.90","980.90","980.90","-","-1.63%"
"Sep 23, 2021","997.20","997.20","997.20","997.20","-","-0.41%"
"Sep 22, 2021","1,001.30","983.50","983.50","980.10","0.00K","5.19%"
"Sep 21, 2021","951.90","951.90","951.90","951.90","-","5.67%"
"Sep 20, 2021","900.80","912.00","917.00","912.00","0.01K","-3.40%"
"Sep 17, 2021","932.50","932.50","932.50","932.50","-","0.79%"
"Sep 16, 2021","925.20","925.20","925.20","925.20","-","-0.77%"
"Sep 15, 2021","932.40","932.40","932.40","932.40","-","-0.71%"
"Sep 14, 2021","939.10","939.10","939.10","939.10","0.07K","-1.94%"
"Sep 13, 2021","957.70","955.00","956.00","953.50","0.04K","0.10%"
"Sep 10, 2021","956.70","969.00","973.50","956.00","0.15K","-1.76%"
"Sep 09, 2021","973.80","973.80","973.80","973.80","-","-0.15%"
"Sep 08, 2021","975.30","975.30","975.30","975.30","0.04K","-2.02%"
"Sep 07, 2021","995.40","995.40","995.40","995.40","-","-2.53%"
"Sep 03, 2021","1,021.20","1,021.20","1,021.20","1,021.20","-","2.75%"
"Sep 02, 2021","993.90","993.90","993.90","993.90","0.00K","-0.61%"
"Sep 01, 2021","1,000.00","1,001.70","1,001.90","1,001.70","0.04K","-1.37%"
"Aug 31, 2021","1,013.90","1,006.50","1,006.50","1,006.50","0.02K","1.20%"
"Aug 30, 2021","1,001.90","1,010.00","1,010.00","995.50","0.01K","-0.39%"
"Aug 27, 2021","1,005.80","1,005.80","1,005.80","1,005.80","-","3.16%"
"Aug 26, 2021","975.00","975.00","975.00","975.00","-","-1.79%"
"Aug 25, 2021","992.80","992.80","992.80","992.80","-","-1.64%"
"Aug 24, 2021","1,009.40","1,009.40","1,009.40","1,009.40","-","-0.39%"
"Aug 23, 2021","1,013.40","1,013.40","1,013.40","1,013.40","-","2.00%"
"Aug 20, 2021","993.50","993.50","993.50","993.50","-","2.36%"
"Aug 19, 2021","970.60","970.60","970.60","970.60","-","-2.53%"
"Aug 18, 2021","995.80","995.80","995.80","995.80","-","0.24%"
"Aug 17, 2021","993.40","993.40","993.40","993.40","0.05K","-2.66%"
"Aug 16, 2021","1,020.50","1,020.50","1,020.50","1,020.50","-","-0.49%"
"Aug 13, 2021","1,025.50","1,025.50","1,025.50","1,025.50","-","0.81%"
"Aug 12, 2021","1,017.30","1,017.30","1,017.30","1,017.30","-","0.18%"
"Aug 11, 2021","1,015.50","1,015.50","1,015.50","1,015.50","-","2.87%"
"Aug 10, 2021","987.20","987.20","987.20","987.20","0.02K","1.68%"
"Aug 09, 2021","970.90","965.10","965.10","965.10","0.05K","-0.14%"
"Aug 06, 2021","972.30","972.30","972.30","972.30","0.08K","-3.30%"
"Aug 05, 2021","1,005.50","1,010.90","1,010.90","1,010.90","0.15K","-1.46%"
"Aug 04, 2021","1,020.40","1,020.40","1,020.40","1,020.40","0.22K","-2.43%"
"Aug 03, 2021","1,045.80","1,045.80","1,045.80","1,045.80","0.05K","-0.86%"
"Aug 02, 2021","1,054.90","1,054.90","1,054.90","1,054.90","-","0.76%"
"Jul 30, 2021","1,046.90","1,046.90","1,046.90","1,046.90","-","-1.75%"
"Jul 29, 2021","1,065.50","1,071.20","1,074.70","1,063.00","0.06K","0.89%"
"Jul 28, 2021","1,056.10","1,056.10","1,056.10","1,056.10","-","0.79%"
"Jul 27, 2021","1,047.80","1,059.80","1,062.50","1,059.80","0.01K","-1.96%"
"Jul 26, 2021","1,068.70","1,060.50","1,060.50","1,060.50","0.00K","0.86%"
"Jul 23, 2021","1,059.60","1,059.60","1,059.60","1,059.60","-","-2.68%"
"Jul 22, 2021","1,088.80","1,088.80","1,088.80","1,088.80","-","1.42%"
"Jul 21, 2021","1,073.60","1,073.60","1,073.60","1,073.60","-","0.87%"
"Jul 20, 2021","1,064.30","1,076.60","1,076.60","1,052.80","0.16K","-0.47%"
"Jul 19, 2021","1,069.30","1,092.80","1,092.80","1,068.20","0.09K","-3.41%"
"Jul 16, 2021","1,107.00","1,110.00","1,110.00","1,104.00","0.05K","-2.55%"
"Jul 15, 2021","1,136.00","1,136.00","1,136.00","1,136.00","0.00K","0.84%"
"Jul 14, 2021","1,126.50","1,105.90","1,128.80","1,103.60","0.02K","1.50%"
"Jul 13, 2021","1,109.80","1,109.80","1,110.50","1,102.20","0.01K","-1.06%"
"Jul 12, 2021","1,121.70","1,099.80","1,117.90","1,099.80","0.01K","2.49%"
"Jul 09, 2021","1,094.40","1,072.10","1,091.80","1,067.90","0.07K","1.98%"
"Jul 08, 2021","1,073.20","1,069.90","1,079.30","1,062.20","0.25K","-0.65%"
"Jul 07, 2021","1,080.20","1,087.20","1,096.80","1,072.60","0.06K","-0.16%"
"Jul 06, 2021","1,081.90","1,094.00","1,114.60","1,075.20","0.08K","-0.32%"
"Jul 02, 2021","1,085.40","1,082.60","1,092.00","1,079.60","0.01K","0.65%"
"Jul 01, 2021","1,078.40","1,063.20","1,086.90","1,063.20","0.03K","0.74%"
"Jun 30, 2021","1,070.50","1,057.00","1,059.60","1,048.20","0.08K","0.28%"
"Jun 29, 2021","1,067.50","1,091.30","1,093.10","1,057.60","5.26K","-2.68%"
"Jun 28, 2021","1,096.90","1,096.90","1,096.90","1,096.90","-","-0.54%"
"Jun 25, 2021","1,102.80","1,102.80","1,102.80","1,102.80","-","0.89%"
"Jun 24, 2021","1,093.10","1,093.10","1,093.10","1,093.10","-","0.68%"
"Jun 23, 2021","1,085.70","1,085.70","1,085.70","1,085.70","-","1.53%"
"Jun 22, 2021","1,069.30","1,069.30","1,069.30","1,069.30","-","1.87%"
"Jun 21, 2021","1,049.70","1,049.70","1,049.70","1,049.70","-","0.92%"
"Jun 18, 2021","1,040.10","1,040.10","1,040.10","1,040.10","-","-1.35%"
"Jun 17, 2021","1,054.30","1,054.30","1,054.30","1,054.30","-","-7.60%"
"Jun 16, 2021","1,141.00","1,141.00","1,141.00","1,141.00","-","-0.58%"
"Jun 15, 2021","1,147.60","1,147.60","1,147.60","1,147.60","-","-1.42%"
"Jun 14, 2021","1,164.10","1,164.10","1,164.10","1,164.10","-","1.23%"
"Jun 11, 2021","1,149.90","1,149.90","1,149.90","1,149.90","-","0.45%"
"Jun 10, 2021","1,144.80","1,144.80","1,144.80","1,144.80","-","-0.50%"
"Jun 09, 2021","1,150.60","1,150.60","1,150.60","1,150.60","-","-0.95%"
"Jun 08, 2021","1,161.60","1,161.60","1,161.60","1,161.60","-","-1.02%"
"Jun 07, 2021","1,173.60","1,173.60","1,173.60","1,173.60","-","0.89%"
"Jun 04, 2021","1,163.20","1,163.20","1,163.20","1,163.20","-","0.16%"
"Jun 03, 2021","1,161.30","1,161.30","1,161.30","1,161.30","-","-2.53%"
"Jun 02, 2021","1,191.40","1,191.40","1,191.40","1,191.40","-","-0.58%"
"Jun 01, 2021","1,198.40","1,198.40","1,198.40","1,198.40","-","1.49%"
"May 28, 2021","1,180.80","1,180.80","1,180.80","1,180.80","-","0.29%"
"May 27, 2021","1,177.40","1,172.30","1,172.30","1,172.00","0.01K","-1.75%"
"May 26, 2021","1,198.40","1,198.40","1,198.40","1,198.40","-","0.28%"
"May 25, 2021","1,195.10","1,195.10","1,195.10","1,195.10","-","1.64%"
"May 24, 2021","1,175.80","1,175.80","1,175.80","1,175.80","-","0.69%"
"May 21, 2021","1,167.80","1,167.80","1,167.80","1,167.80","-","-2.94%"
"May 20, 2021","1,203.20","1,203.20","1,203.20","1,203.20","-","0.28%"
"May 19, 2021","1,199.80","1,195.00","1,195.00","1,195.00","0.00K","-1.93%"
"May 18, 2021","1,223.40","1,223.40","1,223.40","1,223.40","-","-1.54%"
"May 17, 2021","1,242.50","1,242.50","1,242.50","1,242.50","-","1.78%"
"May 14, 2021","1,220.80","1,220.80","1,220.80","1,220.80","-","1.34%"
"May 13, 2021","1,204.60","1,204.60","1,204.60","1,204.60","-","-1.54%"
"May 12, 2021","1,223.50","1,241.00","1,241.00","1,241.00","0.00K","-1.23%"
"May 11, 2021","1,238.70","1,238.70","1,238.70","1,238.70","-","-1.92%"
"May 10, 2021","1,263.00","1,263.00","1,263.00","1,263.00","-","0.85%"
"May 07, 2021","1,252.30","1,252.30","1,252.30","1,252.30","-","-0.25%"
"May 06, 2021","1,255.50","1,255.50","1,255.50","1,255.50","-","2.36%"
"May 05, 2021","1,226.60","1,226.60","1,226.60","1,226.60","-","-0.24%"
"May 04, 2021","1,229.60","1,229.60","1,229.60","1,229.60","-","0.14%"
"May 03, 2021","1,227.90","1,227.90","1,227.90","1,227.90","-","2.07%"
"Apr 30, 2021","1,203.00","1,203.00","1,203.00","1,203.00","-","0.66%"
"Apr 29, 2021","1,195.10","1,195.10","1,195.10","1,195.10","0.02K","-1.18%"
"Apr 28, 2021","1,209.40","1,209.40","1,209.40","1,209.40","-","-3.01%"
"Apr 27, 2021","1,246.90","1,246.90","1,246.90","1,246.90","0.00K","0.35%"
"Apr 26, 2021","1,242.60","1,236.50","1,236.60","1,236.50","0.01K","0.98%"
"Apr 23, 2021","1,230.50","1,241.50","1,241.50","1,228.80","0.01K","2.03%"
"Apr 22, 2021","1,206.00","1,209.90","1,209.90","1,205.90","0.01K","-0.51%"
"Apr 21, 2021","1,212.20","1,212.20","1,212.20","1,212.20","-","1.54%"
"Apr 20, 2021","1,193.80","1,199.40","1,199.40","1,188.60","0.00K","-0.85%"
"Apr 19, 2021","1,204.00","1,218.40","1,218.40","1,218.40","0.00K","-0.18%"
"Apr 16, 2021","1,206.20","1,202.80","1,203.10","1,202.80","0.00K","0.70%"
"Apr 15, 2021","1,197.80","1,197.80","1,197.80","1,197.80","0.03K","1.92%"
"Apr 14, 2021","1,175.20","1,157.50","1,181.70","1,156.40","0.01K","1.75%"
"Apr 13, 2021","1,155.00","1,163.50","1,180.30","1,158.60","0.08K","-1.47%"
"Apr 12, 2021","1,172.20","1,170.40","1,170.60","1,168.00","0.01K","-2.91%"
"Apr 09, 2021","1,207.30","1,207.30","1,207.30","1,207.30","0.02K","-2.11%"
"Apr 08, 2021","1,233.30","1,236.50","1,236.80","1,230.30","0.02K","0.33%"
"Apr 07, 2021","1,229.30","1,245.90","1,246.00","1,228.70","0.08K","-0.69%"
"Apr 06, 2021","1,237.80","1,211.00","1,240.10","1,211.00","0.02K","2.55%"
"Apr 05, 2021","1,207.00","1,212.80","1,222.90","1,206.70","0.01K","0.07%"
"Apr 01, 2021","1,206.20","1,188.40","1,211.80","1,185.00","-","1.49%"
"Mar 31, 2021","1,188.50","1,158.90","1,193.80","1,158.80","0.11K","2.66%"
"Mar 30, 2021","1,157.70","1,177.00","1,186.00","1,153.20","5.64K","-2.00%"
"Mar 29, 2021","1,181.30","1,181.30","1,181.30","1,181.30","-","0.32%"
"Mar 26, 2021","1,177.50","1,177.50","1,177.50","1,177.50","-","2.06%"
"Mar 25, 2021","1,153.70","1,153.70","1,153.70","1,153.70","-","-2.20%"
"Mar 24, 2021","1,179.60","1,179.60","1,179.60","1,179.60","-","0.49%"
"Mar 23, 2021","1,173.80","1,176.50","1,176.50","1,170.50","0.00K","-0.76%"
"Mar 22, 2021","1,182.80","1,182.80","1,182.80","1,182.80","0.02K","-1.34%"
"Mar 19, 2021","1,198.90","1,198.90","1,198.90","1,198.90","-","-1.42%"
"Mar 18, 2021","1,216.20","1,216.20","1,216.20","1,216.20","0.05K","1.51%"
"Mar 17, 2021","1,198.10","1,198.10","1,198.10","1,198.10","-","-1.63%"
"Mar 16, 2021","1,217.90","1,217.10","1,217.50","1,217.10","0.05K","0.79%"
"Mar 15, 2021","1,208.30","1,208.30","1,208.30","1,208.30","0.27K","0.77%"
"Mar 12, 2021","1,199.10","1,204.20","1,204.20","1,203.50","0.00K","-0.17%"
"Mar 11, 2021","1,201.10","1,201.10","1,201.10","1,201.10","-","0.04%"
"Mar 10, 2021","1,200.60","1,188.00","1,191.00","1,188.00","0.00K","2.25%"
"Mar 09, 2021","1,174.20","1,174.20","1,174.20","1,174.20","-","2.01%"
"Mar 08, 2021","1,151.10","1,151.10","1,151.10","1,151.10","-","2.13%"
"Mar 05, 2021","1,127.10","1,127.10","1,127.10","1,127.10","-","-0.63%"
"Mar 04, 2021","1,134.20","1,134.20","1,134.20","1,134.20","-","-3.91%"
"Mar 03, 2021","1,180.40","1,180.40","1,180.40","1,180.40","0.08K","-2.66%"
"Mar 02, 2021","1,212.70","1,212.70","1,212.70","1,212.70","-","1.94%"
"Mar 01, 2021","1,189.60","1,189.60","1,189.60","1,189.60","0.06K","0.52%"
"Feb 26, 2021","1,183.50","1,183.50","1,183.50","1,183.50","0.00K","-3.76%"
"Feb 25, 2021","1,229.70","1,229.70","1,229.70","1,229.70","0.00K","-2.06%"
"Feb 24, 2021","1,255.60","1,255.60","1,255.60","1,255.60","-","1.47%"
"Feb 23, 2021","1,237.40","1,237.40","1,237.40","1,237.40","-","-3.33%"
"Feb 22, 2021","1,280.00","1,280.00","1,280.00","1,280.00","-","-0.82%"
"Feb 19, 2021","1,290.60","1,290.60","1,290.60","1,290.60","-","1.43%"
"Feb 18, 2021","1,272.40","1,272.40","1,272.40","1,272.40","-","1.36%"
"Feb 17, 2021","1,255.30","1,255.30","1,255.30","1,255.30","-","-1.70%"
"Feb 16, 2021","1,277.00","1,277.00","1,277.00","1,277.00","-","1.64%"
"Feb 12, 2021","1,256.40","1,256.40","1,256.40","1,256.40","-","0.96%"
"Feb 11, 2021","1,244.40","1,250.70","1,250.70","1,250.70","0.00K","0.02%"
"Feb 10, 2021","1,244.20","1,244.20","1,244.20","1,244.20","-","4.43%"
"Feb 09, 2021","1,191.40","1,191.40","1,191.40","1,191.40","0.45K","1.62%"
"Feb 08, 2021","1,172.40","1,172.40","1,172.40","1,172.40","-","3.72%"
"Feb 05, 2021","1,130.30","1,130.30","1,130.30","1,130.30","-","2.75%"
"Feb 04, 2021","1,100.10","1,100.10","1,100.10","1,100.10","-","-1.03%"
"Feb 03, 2021","1,111.60","1,111.60","1,111.60","1,111.60","0.05K","1.73%"
"Feb 02, 2021","1,092.70","1,092.70","1,092.70","1,092.70","-","-3.77%"
"Feb 01, 2021","1,135.50","1,092.90","1,096.00","1,092.90","0.00K","5.55%"
"Jan 29, 2021","1,075.80","1,075.80","1,075.80","1,075.80","-","0.66%"
"Jan 28, 2021","1,068.70","1,060.70","1,094.60","1,060.70","0.01K","-0.63%"
"Jan 27, 2021","1,075.50","1,075.50","1,075.50","1,075.50","-","-2.56%"
"Jan 26, 2021","1,103.80","1,103.80","1,103.80","1,103.80","0.00K","0.24%"
"Jan 25, 2021","1,101.20","1,107.00","1,113.30","1,102.80","0.01K","-0.63%"
"Jan 22, 2021","1,108.20","1,127.20","1,127.20","1,127.20","0.00K","-1.42%"
"Jan 21, 2021","1,124.20","1,128.50","1,128.50","1,127.20","0.00K","1.02%"
"Jan 20, 2021","1,112.80","1,112.90","1,113.20","1,112.00","0.01K","2.24%"
"Jan 19, 2021","1,088.40","1,083.00","1,083.00","1,083.00","0.01K","0.25%"
"Jan 15, 2021","1,085.70","1,115.60","1,116.10","1,078.90","0.03K","-3.20%"
"Jan 14, 2021","1,121.60","1,121.60","1,121.60","1,121.60","-","1.42%"
"Jan 13, 2021","1,105.90","1,105.90","1,105.90","1,105.90","0.01K","4.05%"
"Jan 12, 2021","1,062.90","1,063.60","1,067.70","1,049.40","0.01K","2.24%"
"Jan 11, 2021","1,039.60","1,044.80","1,045.60","1,043.50","0.02K","-2.45%"
"Jan 08, 2021","1,065.70","1,109.00","1,117.00","1,109.00","0.05K","-4.82%"
"Jan 07, 2021","1,119.70","1,098.60","1,125.30","1,094.00","0.10K","1.27%"
"Jan 06, 2021","1,105.70","1,108.00","1,115.00","1,098.00","0.39K","-0.81%"
"Jan 05, 2021","1,114.70","1,074.80","1,115.30","1,066.20","0.23K","4.57%"
"Jan 04, 2021","1,066.00","1,085.40","1,117.50","1,052.30","0.29K","-0.87%"
"Dec 31, 2020","1,075.40","1,069.80","1,082.80","1,069.80","0.16K","0.26%"
"Dec 30, 2020","1,072.60","1,058.50","1,075.20","1,053.80","1.19K","1.60%"
"Dec 29, 2020","1,055.70","1,055.70","1,055.70","1,055.70","-","1.30%"
"Dec 28, 2020","1,042.20","1,042.20","1,042.20","1,042.20","-","1.38%"
"Dec 24, 2020","1,028.00","1,028.00","1,028.00","1,028.00","-","1.16%"
"Dec 23, 2020","1,016.20","1,016.20","1,016.20","1,016.20","-","0.76%"
"Dec 22, 2020","1,008.50","1,008.50","1,008.50","1,008.50","-","-0.64%"
"Dec 21, 2020","1,015.00","1,015.00","1,015.00","1,015.00","-","-2.58%"
"Dec 18, 2020","1,041.90","1,040.40","1,040.90","1,040.40","0.00K","-0.67%"
"Dec 17, 2020","1,048.90","1,048.90","1,048.90","1,048.90","-","1.42%"
"Dec 16, 2020","1,034.20","1,034.20","1,034.20","1,034.20","-","-0.38%"
"Dec 15, 2020","1,038.10","1,038.10","1,038.10","1,038.10","-","2.34%"
"Dec 14, 2020","1,014.40","1,014.40","1,014.40","1,014.40","-","-0.61%"
"Dec 11, 2020","1,020.60","1,020.60","1,020.60","1,020.60","-","-0.55%"
"Dec 10, 2020","1,026.20","1,026.20","1,026.20","1,026.20","-","0.91%"
"Dec 09, 2020","1,016.90","1,016.90","1,016.90","1,016.90","0.02K","-1.75%"
"Dec 08, 2020","1,035.00","1,035.00","1,035.00","1,035.00","0.06K","-1.17%"
"Dec 07, 2020","1,047.20","1,047.20","1,047.20","1,047.20","0.07K","-2.24%"
"Dec 04, 2020","1,071.20","1,071.20","1,071.20","1,071.20","-","3.30%"
"Dec 03, 2020","1,037.00","1,037.00","1,037.00","1,037.00","0.00K","2.63%"
"Dec 02, 2020","1,010.40","1,010.40","1,010.40","1,010.40","-","0.82%"
"Dec 01, 2020","1,002.20","1,002.20","1,002.20","1,002.20","0.03K","3.95%"
"Nov 30, 2020","964.10","964.10","964.10","964.10","-","0.11%"
"Nov 27, 2020","963.00","963.00","963.00","963.00","0.00K","-0.44%"
"Nov 25, 2020","967.30","967.30","967.30","967.30","-","1.21%"
"Nov 24, 2020","955.70","955.70","955.70","955.70","-","2.86%"
"Nov 23, 2020","929.10","929.10","929.10","929.10","-","-2.62%"
"Nov 20, 2020","954.10","954.10","954.10","954.10","-","0.62%"
"Nov 19, 2020","948.20","948.20","948.20","948.20","0.11K","0.16%"
"Nov 18, 2020","946.70","946.70","946.70","946.70","0.14K","1.29%"
"Nov 17, 2020","934.60","934.60","934.60","934.60","-","1.04%"
