"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","24.117","24.210","24.245","24.210","0.01K","-0.30%"
"Oct 27, 2021","24.189","24.160","24.160","24.160","0.00K","0.43%"
"Oct 26, 2021","24.086","24.086","24.086","24.086","0.04K","-1.98%"
"Oct 25, 2021","24.572","24.575","24.575","24.575","0.05K","0.59%"
"Oct 22, 2021","24.429","24.370","24.370","24.370","0.00K","1.16%"
"Oct 21, 2021","24.150","24.480","24.480","24.140","0.10K","-1.12%"
"Oct 20, 2021","24.424","24.424","24.424","24.424","0.15K","2.36%"
"Oct 19, 2021","23.862","24.070","24.070","24.070","0.00K","2.66%"
"Oct 18, 2021","23.243","23.280","23.280","23.215","0.02K","-0.36%"
"Oct 15, 2021","23.328","23.328","23.328","23.328","-","-0.55%"
"Oct 14, 2021","23.456","23.460","23.460","23.460","0.03K","1.33%"
"Oct 13, 2021","23.149","23.149","23.149","23.149","0.00K","2.93%"
"Oct 12, 2021","22.491","22.570","22.575","22.525","0.01K","-0.66%"
"Oct 11, 2021","22.640","22.640","22.640","22.640","-","-0.17%"
"Oct 08, 2021","22.679","22.570","23.005","22.570","0.06K","0.21%"
"Oct 07, 2021","22.632","22.632","22.632","22.632","0.09K","0.56%"
"Oct 06, 2021","22.506","22.475","22.475","22.375","0.14K","-0.34%"
"Oct 05, 2021","22.582","22.582","22.582","22.582","0.01K","-0.16%"
"Oct 04, 2021","22.618","22.618","22.618","22.618","0.01K","0.48%"
"Oct 01, 2021","22.510","22.510","22.510","22.510","0.00K","2.22%"
"Sep 30, 2021","22.021","22.035","22.035","22.025","0.04K","2.62%"
"Sep 29, 2021","21.459","22.430","22.515","21.470","0.07K","-4.33%"
"Sep 28, 2021","22.430","22.175","22.460","22.175","0.01K","-1.00%"
"Sep 27, 2021","22.657","22.605","23.735","22.605","0.13K","1.20%"
"Sep 24, 2021","22.388","22.585","22.585","22.090","0.02K","-1.12%"
"Sep 23, 2021","22.642","22.650","22.650","22.650","0.02K","-0.99%"
"Sep 22, 2021","22.869","22.800","23.045","22.800","0.00K","1.31%"
"Sep 21, 2021","22.573","22.525","22.535","22.470","0.06K","1.85%"
"Sep 20, 2021","22.163","22.375","22.375","22.140","0.13K","-0.59%"
"Sep 17, 2021","22.295","22.890","22.905","22.355","0.07K","-2.01%"
"Sep 16, 2021","22.752","23.515","23.515","22.610","0.08K","-4.24%"
"Sep 15, 2021","23.759","23.800","23.800","23.800","0.03K","-0.35%"
"Sep 14, 2021","23.842","23.660","23.850","23.640","0.08K","0.37%"
"Sep 13, 2021","23.753","23.690","23.755","23.325","0.18K","-0.43%"
"Sep 10, 2021","23.855","24.135","24.135","24.085","0.01K","-1.15%"
"Sep 09, 2021","24.133","23.955","24.240","23.845","0.10K","0.50%"
"Sep 08, 2021","24.012","24.355","24.400","23.940","0.11K","-1.32%"
"Sep 07, 2021","24.334","24.810","24.810","24.185","0.03K","-1.73%"
"Sep 03, 2021","24.762","23.905","24.810","23.905","0.19K","3.72%"
"Sep 02, 2021","23.875","24.160","24.180","23.775","0.18K","-1.25%"
"Sep 01, 2021","24.177","23.850","24.255","23.790","0.52K","0.91%"
"Aug 31, 2021","23.960","24.060","24.195","23.815","0.73K","0.00%"
"Aug 30, 2021","23.960","24.045","24.220","23.905","10.82K","-0.42%"
"Aug 27, 2021","24.060","23.730","23.730","23.715","0.00K","2.18%"
"Aug 26, 2021","23.546","23.545","23.555","23.545","0.00K","-0.95%"
"Aug 25, 2021","23.771","23.835","23.835","23.835","0.02K","-0.50%"
"Aug 24, 2021","23.890","23.890","23.890","23.890","0.02K","1.02%"
"Aug 23, 2021","23.649","23.150","23.650","23.140","0.01K","2.35%"
"Aug 20, 2021","23.105","23.105","23.105","23.105","0.01K","-0.50%"
"Aug 19, 2021","23.220","23.220","23.220","23.220","0.03K","-0.82%"
"Aug 18, 2021","23.412","23.280","23.455","23.280","0.00K","-1.00%"
"Aug 17, 2021","23.648","23.648","23.648","23.648","-","-0.56%"
"Aug 16, 2021","23.780","23.780","23.780","23.780","-","0.05%"
"Aug 13, 2021","23.768","23.350","23.795","23.350","0.00K","2.87%"
"Aug 12, 2021","23.105","23.105","23.105","23.105","0.02K","-1.57%"
"Aug 11, 2021","23.474","23.474","23.474","23.474","0.00K","0.41%"
"Aug 10, 2021","23.377","23.485","23.485","23.485","0.00K","0.52%"
"Aug 09, 2021","23.255","23.255","23.255","23.255","0.00K","-4.35%"
"Aug 06, 2021","24.312","24.490","24.490","24.250","0.01K","-3.82%"
"Aug 05, 2021","25.277","25.520","25.520","25.280","0.00K","-0.66%"
"Aug 04, 2021","25.446","25.610","25.970","25.590","0.02K","-0.47%"
"Aug 03, 2021","25.566","25.390","25.390","25.285","0.01K","0.04%"
"Aug 02, 2021","25.557","25.450","25.450","25.450","0.06K","0.11%"
"Jul 30, 2021","25.528","25.545","25.665","25.500","0.04K","-0.92%"
"Jul 29, 2021","25.764","25.040","25.855","25.040","0.36K","3.65%"
"Jul 28, 2021","24.856","24.735","24.815","24.725","0.07K","0.91%"
"Jul 27, 2021","24.632","25.200","25.265","24.815","0.05K","-2.62%"
"Jul 26, 2021","25.295","25.295","25.295","25.295","0.08K","0.31%"
"Jul 23, 2021","25.218","25.430","25.430","25.130","0.09K","-0.58%"
"Jul 22, 2021","25.365","25.245","25.245","25.240","0.03K","0.50%"
"Jul 21, 2021","25.238","25.155","25.205","24.955","0.06K","1.04%"
"Jul 20, 2021","24.977","25.195","25.195","24.855","0.05K","-0.59%"
"Jul 19, 2021","25.126","25.610","25.610","25.045","0.17K","-2.53%"
"Jul 16, 2021","25.777","26.430","26.430","25.650","0.10K","-2.27%"
"Jul 15, 2021","26.375","26.420","26.445","26.265","0.20K","0.49%"
"Jul 14, 2021","26.246","26.100","26.445","26.100","0.01K","0.50%"
"Jul 13, 2021","26.115","26.205","26.205","26.100","0.07K","-0.39%"
"Jul 12, 2021","26.217","26.185","26.300","26.060","0.07K","0.02%"
"Jul 09, 2021","26.211","25.965","26.215","25.835","0.06K","0.94%"
"Jul 08, 2021","25.967","26.160","26.290","25.890","0.18K","-0.55%"
"Jul 07, 2021","26.110","26.200","26.500","26.070","0.55K","-0.17%"
"Jul 06, 2021","26.154","26.725","26.870","26.160","0.39K","-1.23%"
"Jul 02, 2021","26.481","26.110","26.675","26.105","0.33K","1.56%"
"Jul 01, 2021","26.075","26.215","26.420","26.050","1.04K","-0.34%"
"Jun 30, 2021","26.165","25.840","26.230","25.840","0.73K","1.13%"
"Jun 29, 2021","25.872","26.200","26.210","25.560","20.14K","-1.32%"
"Jun 28, 2021","26.218","26.218","26.218","26.218","-","0.52%"
"Jun 25, 2021","26.082","26.175","26.175","26.175","0.01K","0.13%"
"Jun 24, 2021","26.047","26.047","26.047","26.047","-","-0.23%"
"Jun 23, 2021","26.108","26.108","26.108","26.108","0.01K","1.01%"
"Jun 22, 2021","25.848","25.848","25.848","25.848","0.08K","-0.64%"
"Jun 21, 2021","26.015","26.015","26.015","26.015","-","0.22%"
"Jun 18, 2021","25.958","26.425","26.430","26.150","0.00K","0.44%"
"Jun 17, 2021","25.844","25.844","25.844","25.844","0.05K","-7.04%"
"Jun 16, 2021","27.800","27.800","27.800","27.800","0.11K","0.44%"
"Jun 15, 2021","27.679","27.985","27.985","27.570","0.06K","-1.23%"
"Jun 14, 2021","28.024","27.895","28.105","27.825","0.00K","-0.38%"
"Jun 11, 2021","28.131","28.115","28.360","28.115","0.17K","0.41%"
"Jun 10, 2021","28.015","27.900","28.025","27.710","0.01K","0.11%"
"Jun 09, 2021","27.985","27.695","27.910","27.695","0.01K","0.97%"
"Jun 08, 2021","27.715","28.010","28.010","27.705","0.03K","-1.02%"
"Jun 07, 2021","28.001","27.615","27.615","27.615","0.00K","0.44%"
"Jun 04, 2021","27.879","27.879","27.879","27.879","-","1.53%"
"Jun 03, 2021","27.460","27.190","27.190","27.190","0.02K","-2.58%"
"Jun 02, 2021","28.186","27.930","28.075","27.785","0.04K","0.37%"
"Jun 01, 2021","28.083","28.005","28.580","27.995","0.19K","0.32%"
"May 28, 2021","27.993","27.745","27.870","27.540","0.18K","0.27%"
"May 27, 2021","27.919","27.755","27.920","27.695","0.53K","0.24%"
"May 26, 2021","27.853","27.853","27.853","27.853","0.01K","-0.66%"
"May 25, 2021","28.037","27.750","28.015","27.670","0.08K","0.54%"
"May 24, 2021","27.887","27.885","27.900","27.740","0.09K","1.51%"
"May 21, 2021","27.473","28.080","28.120","27.390","0.10K","-2.06%"
"May 20, 2021","28.052","27.920","28.050","27.720","0.03K","0.16%"
"May 19, 2021","28.008","27.810","27.945","27.620","0.03K","-1.08%"
"May 18, 2021","28.314","28.630","28.680","28.440","0.05K","0.19%"
"May 17, 2021","28.260","28.260","28.330","28.260","0.06K","3.32%"
"May 14, 2021","27.353","27.030","27.500","27.030","0.02K","1.14%"
"May 13, 2021","27.044","27.120","27.145","26.855","0.16K","-0.69%"
"May 12, 2021","27.231","27.460","27.640","27.365","0.03K","-1.54%"
"May 11, 2021","27.657","27.285","27.680","27.280","0.31K","0.65%"
"May 10, 2021","27.479","27.710","27.915","27.370","0.25K","0.06%"
"May 07, 2021","27.462","27.635","27.635","27.335","0.30K","0.00%"
"May 06, 2021","27.462","26.560","27.555","26.555","0.27K","3.62%"
"May 05, 2021","26.502","26.555","26.570","26.270","0.07K","-0.14%"
"May 04, 2021","26.539","27.030","27.040","26.250","0.27K","-1.50%"
"May 03, 2021","26.943","25.875","27.075","25.875","0.28K","4.22%"
"Apr 30, 2021","25.853","26.155","26.215","25.840","0.49K","-0.77%"
"Apr 29, 2021","26.053","26.280","26.545","25.735","8.57K","-0.11%"
"Apr 28, 2021","26.081","26.081","26.081","26.081","-","-1.25%"
"Apr 27, 2021","26.412","26.412","26.412","26.412","-","0.77%"
"Apr 26, 2021","26.211","26.060","26.250","26.060","0.05K","0.51%"
"Apr 23, 2021","26.077","26.240","26.240","26.025","0.04K","-0.37%"
"Apr 22, 2021","26.174","26.340","26.340","26.340","0.04K","-1.47%"
"Apr 21, 2021","26.565","26.525","26.535","26.525","0.00K","2.83%"
"Apr 20, 2021","25.835","25.855","25.855","25.855","0.01K","0.02%"
"Apr 19, 2021","25.831","26.205","26.205","25.885","0.02K","-1.03%"
"Apr 16, 2021","26.099","26.099","26.099","26.099","-","0.55%"
"Apr 15, 2021","25.956","25.956","25.956","25.956","0.10K","1.73%"
"Apr 14, 2021","25.515","25.515","25.515","25.515","-","0.39%"
"Apr 13, 2021","25.417","25.417","25.417","25.417","0.00K","2.27%"
"Apr 12, 2021","24.853","25.145","25.165","24.805","0.06K","-1.81%"
"Apr 09, 2021","25.311","25.311","25.311","25.311","-","-1.01%"
"Apr 08, 2021","25.569","25.569","25.569","25.569","0.12K","1.33%"
"Apr 07, 2021","25.233","25.065","25.250","25.065","0.00K","0.08%"
"Apr 06, 2021","25.212","25.050","25.215","25.050","0.00K","1.81%"
"Apr 05, 2021","24.763","24.935","24.935","24.935","0.00K","-0.69%"
"Apr 01, 2021","24.935","24.350","24.935","24.350","-","1.70%"
"Mar 31, 2021","24.517","24.320","24.435","24.320","0.05K","1.64%"
"Mar 30, 2021","24.121","24.700","24.700","23.965","0.28K","-2.53%"
"Mar 29, 2021","24.747","24.855","24.910","24.510","0.03K","-1.37%"
"Mar 26, 2021","25.092","25.185","25.185","25.040","0.13K","0.28%"
"Mar 25, 2021","25.022","25.150","25.150","24.505","0.16K","-0.71%"
"Mar 24, 2021","25.201","25.250","25.345","25.190","0.43K","0.00%"
"Mar 23, 2021","25.200","25.615","25.695","25.095","0.19K","-2.10%"
"Mar 22, 2021","25.741","25.955","25.955","25.540","0.15K","-2.10%"
"Mar 19, 2021","26.292","26.055","26.055","26.055","0.19K","-0.11%"
"Mar 18, 2021","26.321","26.435","26.435","25.900","0.08K","1.12%"
"Mar 17, 2021","26.030","25.805","26.530","25.795","0.38K","0.22%"
"Mar 16, 2021","25.974","26.130","26.145","25.920","0.56K","-1.06%"
"Mar 15, 2021","26.253","26.200","26.335","25.925","0.15K","1.44%"
"Mar 12, 2021","25.880","26.145","26.200","25.460","0.24K","-1.08%"
"Mar 11, 2021","26.162","26.150","26.410","26.040","0.04K","0.23%"
"Mar 10, 2021","26.102","26.010","26.280","25.780","0.09K","-0.18%"
"Mar 09, 2021","26.148","25.225","26.145","25.225","0.13K","3.60%"
"Mar 08, 2021","25.240","25.520","25.710","25.000","0.08K","-0.07%"
"Mar 05, 2021","25.257","25.345","25.370","24.905","0.34K","-0.70%"
"Mar 04, 2021","25.434","26.120","26.330","25.210","0.91K","-3.50%"
"Mar 03, 2021","26.357","26.805","26.805","25.935","0.24K","-1.84%"
"Mar 02, 2021","26.850","26.385","26.830","25.860","0.70K","0.76%"
"Mar 01, 2021","26.647","26.690","26.990","26.490","0.52K","0.93%"
"Feb 26, 2021","26.402","27.455","27.560","26.180","1.21K","-4.47%"
"Feb 25, 2021","27.637","28.030","28.265","27.295","13.04K","-0.79%"
"Feb 24, 2021","27.857","27.857","27.857","27.857","0.00K","0.62%"
"Feb 23, 2021","27.686","27.686","27.686","27.686","0.01K","-1.41%"
"Feb 22, 2021","28.083","28.100","28.100","28.100","0.25K","3.05%"
"Feb 19, 2021","27.252","27.505","27.550","27.355","0.01K","0.65%"
"Feb 18, 2021","27.077","27.125","27.125","27.125","0.00K","-0.87%"
"Feb 17, 2021","27.314","27.314","27.314","27.314","0.13K","-0.02%"
"Feb 16, 2021","27.319","27.510","27.510","27.060","0.06K","-0.01%"
"Feb 12, 2021","27.323","27.323","27.323","27.323","-","1.04%"
"Feb 11, 2021","27.042","27.170","27.170","26.910","0.00K","-0.12%"
"Feb 10, 2021","27.074","27.105","27.105","27.105","0.03K","-1.18%"
"Feb 09, 2021","27.396","27.425","27.445","27.290","0.01K","-0.63%"
"Feb 08, 2021","27.570","27.280","27.540","27.280","0.01K","2.06%"
"Feb 05, 2021","27.014","26.430","26.805","26.430","0.06K","3.02%"
"Feb 04, 2021","26.223","26.675","26.675","26.005","0.11K","-2.44%"
"Feb 03, 2021","26.878","26.940","27.025","26.860","0.14K","1.87%"
"Feb 02, 2021","26.384","28.645","28.930","26.570","0.09K","-10.25%"
"Feb 01, 2021","29.398","28.360","30.160","28.300","0.47K","9.29%"
"Jan 29, 2021","26.900","26.640","27.575","26.370","0.03K","3.82%"
"Jan 28, 2021","25.909","25.085","27.010","24.930","0.51K","2.10%"
"Jan 27, 2021","25.376","25.376","25.376","25.376","0.00K","-0.60%"
"Jan 26, 2021","25.529","25.529","25.529","25.529","0.09K","0.29%"
"Jan 25, 2021","25.455","25.455","25.455","25.455","0.01K","-0.27%"
"Jan 22, 2021","25.524","25.540","25.540","25.540","0.01K","-1.15%"
"Jan 21, 2021","25.822","25.822","25.822","25.822","-","0.34%"
"Jan 20, 2021","25.734","25.425","25.425","25.415","0.15K","1.80%"
"Jan 19, 2021","25.279","24.915","24.920","24.915","0.00K","1.83%"
"Jan 15, 2021","24.825","25.430","25.470","25.430","0.09K","-3.58%"
"Jan 14, 2021","25.746","25.746","25.746","25.746","0.07K","0.89%"
"Jan 13, 2021","25.520","25.545","25.545","25.500","0.21K","0.54%"
"Jan 12, 2021","25.384","25.140","25.385","25.105","0.09K","0.57%"
"Jan 11, 2021","25.239","25.520","25.520","24.725","0.01K","2.67%"
"Jan 08, 2021","24.582","25.325","25.325","25.325","0.00K","-9.62%"
"Jan 07, 2021","27.200","27.200","27.200","27.200","0.00K","0.84%"
"Jan 06, 2021","26.973","27.425","27.425","27.400","0.05K","-2.17%"
"Jan 05, 2021","27.571","27.571","27.571","27.571","0.00K","1.05%"
"Jan 04, 2021","27.284","27.284","27.284","27.284","0.05K","3.62%"
"Dec 31, 2020","26.332","26.530","26.540","26.350","0.04K","-0.59%"
"Dec 30, 2020","26.488","26.320","26.525","26.260","0.08K","1.34%"
"Dec 29, 2020","26.138","26.250","26.250","26.250","0.01K","-1.22%"
"Dec 28, 2020","26.460","26.800","26.820","26.455","0.14K","2.51%"
"Dec 24, 2020","25.811","25.811","25.811","25.811","0.07K","-0.05%"
"Dec 23, 2020","25.824","25.555","25.670","25.555","0.07K","1.53%"
"Dec 22, 2020","25.434","26.475","26.670","25.275","0.09K","-3.21%"
"Dec 21, 2020","26.278","26.005","26.990","25.410","0.15K","1.27%"
"Dec 18, 2020","25.949","26.120","26.120","25.985","0.11K","-0.58%"
"Dec 17, 2020","26.100","25.450","26.180","25.450","0.20K","4.46%"
"Dec 16, 2020","24.985","25.150","25.500","24.820","0.15K","1.64%"
"Dec 15, 2020","24.581","24.075","24.515","24.075","0.04K","2.48%"
"Dec 14, 2020","23.985","24.160","24.160","24.160","0.03K","-0.20%"
"Dec 11, 2020","24.032","23.985","24.050","23.955","0.05K","0.00%"
"Dec 10, 2020","24.031","23.945","24.310","23.945","0.02K","0.42%"
"Dec 09, 2020","23.930","24.655","24.655","23.780","0.05K","-3.05%"
"Dec 08, 2020","24.684","24.755","24.765","24.630","0.07K","-0.23%"
"Dec 07, 2020","24.741","24.235","24.850","23.715","0.24K","2.22%"
"Dec 04, 2020","24.203","24.120","24.495","24.080","0.44K","0.48%"
"Dec 03, 2020","24.087","24.100","24.340","24.005","0.14K","0.26%"
"Dec 02, 2020","24.025","23.915","24.375","23.640","0.30K","-0.03%"
"Dec 01, 2020","24.033","22.665","24.095","22.650","0.70K","6.65%"
"Nov 30, 2020","22.534","22.740","22.740","22.005","1.68K","-0.08%"
"Nov 27, 2020","22.553","23.375","23.505","22.325","18.89K","-3.44%"
"Nov 25, 2020","23.356","23.356","23.356","23.356","0.00K","0.27%"
"Nov 24, 2020","23.292","23.330","23.330","23.330","0.00K","-1.41%"
"Nov 23, 2020","23.624","23.624","23.624","23.624","0.00K","-2.97%"
"Nov 20, 2020","24.348","24.348","24.348","24.348","-","1.31%"
"Nov 19, 2020","24.033","24.033","24.033","24.033","-","-1.64%"
"Nov 18, 2020","24.433","24.433","24.433","24.433","0.04K","-0.82%"
"Nov 17, 2020","24.635","24.760","24.760","24.760","0.00K","-0.61%"
"Nov 16, 2020","24.786","24.786","24.786","24.786","-","0.11%"
"Nov 13, 2020","24.759","24.759","24.759","24.759","-","1.93%"
"Nov 12, 2020","24.290","24.290","24.290","24.290","-","0.16%"
"Nov 11, 2020","24.251","23.945","23.945","23.945","0.01K","-0.80%"
"Nov 10, 2020","24.446","24.215","24.215","24.210","0.01K","3.21%"
"Nov 09, 2020","23.685","23.685","23.685","23.685","-","-7.65%"
"Nov 06, 2020","25.646","25.225","25.910","25.200","0.07K","1.89%"
"Nov 05, 2020","25.171","24.800","24.900","24.800","0.08K","5.48%"
"Nov 04, 2020","23.864","23.680","24.005","23.680","0.02K","-1.81%"
"Nov 03, 2020","24.305","24.160","24.160","24.160","0.11K","1.25%"
"Nov 02, 2020","24.006","24.015","24.200","24.010","0.07K","1.65%"
"Oct 30, 2020","23.617","23.617","23.617","23.617","0.06K","1.19%"
"Oct 29, 2020","23.339","23.045","23.280","22.960","0.03K","0.06%"
"Oct 28, 2020","23.324","23.324","23.324","23.324","0.01K","-4.90%"
"Oct 27, 2020","24.526","24.370","24.370","24.320","0.00K","0.62%"
"Oct 26, 2020","24.376","24.376","24.376","24.376","-","-1.02%"
"Oct 23, 2020","24.627","24.627","24.627","24.627","-","-0.15%"
"Oct 22, 2020","24.665","24.665","24.665","24.665","-","-2.11%"
"Oct 21, 2020","25.197","24.790","25.295","24.790","0.02K","1.04%"
"Oct 20, 2020","24.937","24.937","24.937","24.937","0.02K","1.14%"
"Oct 19, 2020","24.657","24.755","24.815","24.755","0.02K","1.18%"
"Oct 16, 2020","24.369","24.230","24.260","24.230","0.20K","0.73%"
"Oct 15, 2020","24.193","24.193","24.193","24.193","0.02K","-0.70%"
"Oct 14, 2020","24.364","24.364","24.364","24.364","0.05K","1.15%"
"Oct 13, 2020","24.086","25.090","25.110","25.005","0.07K","-4.52%"
"Oct 12, 2020","25.226","25.285","25.460","25.285","0.06K","0.63%"
"Oct 09, 2020","25.069","24.320","25.235","24.320","0.12K","5.17%"
"Oct 08, 2020","23.837","24.070","24.175","23.925","0.02K","-0.05%"
"Oct 07, 2020","23.848","23.495","23.910","23.455","0.01K","-0.09%"
"Oct 06, 2020","23.870","24.470","24.470","23.945","0.02K","-2.58%"
"Oct 05, 2020","24.502","23.835","24.545","23.785","0.21K","2.22%"
"Oct 02, 2020","23.971","23.735","24.150","23.580","0.10K","-0.92%"
"Oct 01, 2020","24.193","23.395","23.975","23.395","0.21K","3.24%"
"Sep 30, 2020","23.433","24.360","24.360","23.355","0.07K","-3.88%"
"Sep 29, 2020","24.380","23.745","24.440","23.650","0.40K","3.62%"
"Sep 28, 2020","23.528","22.740","22.740","22.695","0.07K","2.22%"
"Sep 25, 2020","23.017","22.750","22.980","22.730","0.02K","-0.44%"
"Sep 24, 2020","23.118","22.000","23.250","21.960","0.04K","0.45%"
"Sep 23, 2020","23.014","24.000","24.000","23.000","0.09K","-5.84%"
"Sep 22, 2020","24.442","24.460","24.570","24.160","0.16K","0.59%"
"Sep 21, 2020","24.299","26.330","26.330","24.075","0.15K","-10.10%"
"Sep 18, 2020","27.028","27.285","27.310","27.285","0.16K","0.16%"
"Sep 17, 2020","26.985","27.235","27.235","26.520","0.34K","-1.35%"
"Sep 16, 2020","27.355","27.320","27.485","27.100","0.23K","0.03%"
"Sep 15, 2020","27.346","27.525","27.545","27.170","0.08K","0.43%"
"Sep 14, 2020","27.229","26.910","27.350","26.910","0.15K","1.83%"
"Sep 11, 2020","26.739","27.090","27.095","26.810","0.20K","-1.56%"
"Sep 10, 2020","27.163","27.163","27.163","27.163","0.07K","0.77%"
"Sep 09, 2020","26.955","26.580","27.145","26.580","0.24K","0.34%"
"Sep 08, 2020","26.864","26.920","27.070","26.005","0.55K","1.08%"
"Sep 04, 2020","26.576","26.800","26.950","26.395","0.61K","-0.59%"
"Sep 03, 2020","26.735","27.555","27.555","26.490","0.49K","-1.89%"
"Sep 02, 2020","27.249","28.165","28.270","27.225","0.49K","-4.34%"
"Sep 01, 2020","28.486","28.350","29.050","27.860","0.49K","0.17%"
"Aug 31, 2020","28.437","27.725","28.485","27.720","0.66K","3.00%"
"Aug 28, 2020","27.610","27.120","27.820","26.890","9.05K","2.22%"
"Aug 27, 2020","27.010","26.810","27.165","26.810","0.00K","-1.53%"
"Aug 26, 2020","27.430","26.995","27.020","26.955","0.01K","4.48%"
"Aug 25, 2020","26.254","26.785","26.785","26.360","0.03K","-1.26%"
"Aug 24, 2020","26.588","26.780","26.780","26.695","0.00K","-0.45%"
"Aug 21, 2020","26.707","27.475","27.475","26.840","0.02K","-1.53%"
"Aug 20, 2020","27.122","27.122","27.122","27.122","-","-0.71%"
"Aug 19, 2020","27.315","27.465","27.815","27.465","0.01K","-2.62%"
"Aug 18, 2020","28.049","27.295","28.260","27.295","0.01K","1.47%"
"Aug 17, 2020","27.643","26.735","27.445","26.570","0.02K","6.05%"
"Aug 14, 2020","26.065","27.225","27.685","25.905","0.02K","-5.88%"
"Aug 13, 2020","27.694","26.385","27.620","26.380","0.03K","6.70%"
"Aug 12, 2020","25.955","25.245","25.730","25.245","0.01K","-0.31%"
"Aug 11, 2020","26.037","28.960","28.960","24.500","0.03K","-10.98%"
"Aug 10, 2020","29.249","28.200","28.340","28.115","0.01K","6.23%"
"Aug 07, 2020","27.533","29.530","29.530","27.525","0.04K","-3.01%"
"Aug 06, 2020","28.387","27.685","28.850","27.535","0.08K","5.62%"
"Aug 05, 2020","26.877","26.025","27.060","26.025","0.03K","3.33%"
"Aug 04, 2020","26.012","25.900","26.215","25.775","0.11K","6.65%"
"Aug 03, 2020","24.390","24.390","24.390","24.390","0.05K","0.83%"
"Jul 31, 2020","24.189","23.590","24.385","23.565","0.22K","3.64%"
"Jul 30, 2020","23.340","24.260","24.260","23.115","0.18K","-3.92%"
"Jul 29, 2020","24.293","24.210","24.240","24.210","0.27K","0.11%"
"Jul 28, 2020","24.266","26.020","26.020","23.945","0.12K","-0.86%"
