"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","35,722.50","35,492.50","36,072.50","34,435.00","-","0.94%"
"Oct 27, 2021","35,390.00","37,300.00","37,100.00","37,150.00","-","-5.43%"
"Oct 26, 2021","37,422.00","37,400.00","37,350.00","37,400.00","0.64K","-0.09%"
"Oct 25, 2021","37,457.00","37,550.00","37,500.00","37,550.00","0.64K","0.29%"
"Oct 22, 2021","37,350.00","37,200.00","37,100.00","37,100.00","0.64K","0.27%"
"Oct 21, 2021","37,250.00","37,700.00","37,375.00","37,400.00","0.64K","-2.53%"
"Oct 20, 2021","38,215.00","37,750.00","37,700.00","37,750.00","0.64K","1.34%"
"Oct 19, 2021","37,710.00","38,700.00","38,400.00","38,350.00","0.64K","-0.28%"
"Oct 18, 2021","37,814.00","38,250.00","38,200.00","38,250.00","0.64K","1.65%"
"Oct 15, 2021","37,200.00","37,500.00","37,450.00","37,500.00","0.64K","0.75%"
"Oct 14, 2021","36,923.00","36,750.00","36,750.00","36,750.00","0.64K","1.48%"
"Oct 13, 2021","36,386.00","36,550.00","36,500.00","36,550.00","0.64K","-0.24%"
"Oct 12, 2021","36,473.00","36,650.00","36,450.00","36,550.00","0.64K","0.25%"
"Oct 11, 2021","36,382.00","36,500.00","36,400.00","36,500.00","0.64K","0.63%"
"Oct 08, 2021","36,156.00","36,000.00","35,900.00","36,000.00","0.64K","2.47%"
"Oct 07, 2021","35,285.00","35,400.00","35,200.00","35,125.00","0.64K","0.34%"
"Oct 06, 2021","35,165.00","35,400.00","35,150.00","35,200.00","0.64K","0.25%"
"Oct 05, 2021","35,079.00","34,950.00","35,150.00","34,950.00","0.64K","1.83%"
"Oct 04, 2021","34,450.00","34,400.00","34,350.00","34,400.00","0.64K","1.82%"
"Oct 01, 2021","33,835.00","34,100.00","33,950.00","34,000.00","0.64K","-0.25%"
"Sep 30, 2021","33,921.00","35,500.00","35,250.00","35,100.00","0.64K","-4.31%"
"Sep 29, 2021","35,450.00","35,650.00","35,950.00","35,650.00","0.64K","-0.99%"
"Sep 28, 2021","35,803.00","35,500.00","35,450.00","35,500.00","0.64K","2.00%"
"Sep 27, 2021","35,100.00","35,000.00","35,050.00","35,000.00","0.64K","-3.94%"
"Sep 24, 2021","36,539.00","36,550.00","36,450.00","36,000.00","0.64K","3.04%"
"Sep 23, 2021","35,460.00","35,250.00","35,050.00","35,050.00","0.64K","1.32%"
"Sep 22, 2021","34,997.00","35,200.00","34,950.00","35,000.00","0.64K","3.48%"
"Sep 21, 2021","33,820.00","34,300.00","34,100.00","34,100.00","0.64K","-0.27%"
"Sep 20, 2021","33,910.00","33,900.00","33,725.00","33,750.00","0.64K","-0.67%"
"Sep 17, 2021","34,140.00","34,350.00","34,240.00","34,245.00","0.64K","0.26%"
"Sep 16, 2021","34,050.00","34,000.00","33,995.00","34,000.00","0.64K","0.01%"
"Sep 15, 2021","34,046.00","33,850.00","33,550.00","33,575.00","0.64K","1.91%"
"Sep 14, 2021","33,408.00","33,580.00","33,555.00","33,580.00","0.64K","-0.27%"
"Sep 13, 2021","33,498.00","34,000.00","33,950.00","34,000.00","0.64K","-0.25%"
"Sep 10, 2021","33,583.00","34,100.00","33,900.00","34,000.00","0.64K","0.85%"
"Sep 09, 2021","33,300.00","33,150.00","33,125.00","33,050.00","0.64K","3.37%"
"Sep 08, 2021","32,215.00","31,975.00","32,350.00","31,975.00","0.64K","0.38%"
"Sep 07, 2021","32,093.00","32,500.00","32,550.00","32,500.00","0.64K","-2.42%"
"Sep 06, 2021","32,890.00","33,100.00","33,000.00","32,830.00","0.64K","-0.50%"
"Sep 03, 2021","33,055.00","33,225.00","33,430.00","32,830.00","0.64K","-1.33%"
"Sep 02, 2021","33,500.00","33,235.00","33,680.00","33,230.00","0.64K","-0.15%"
"Sep 01, 2021","33,550.00","33,885.00","34,150.00","33,365.00","0.64K","-1.05%"
"Aug 31, 2021","33,907.00","33,597.50","34,645.00","33,597.50","0.64K","0.91%"
"Aug 27, 2021","33,600.00","33,300.00","33,690.00","33,300.00","0.64K","0.75%"
"Aug 26, 2021","33,350.00","32,777.50","33,405.00","32,775.00","0.64K","1.32%"
"Aug 25, 2021","32,915.00","32,845.00","33,140.00","32,515.00","0.64K","0.24%"
