"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","3,353.50","3,329.25","3,402.25","3,314.50","-","0.55%"
"Oct 27, 2021","3,335.00","3,325.00","3,326.00","3,325.00","-","-2.63%"
"Oct 26, 2021","3,425.00","3,413.00","3,411.00","3,413.00","24.94K","-1.00%"
"Oct 25, 2021","3,459.50","3,449.00","3,446.00","3,443.00","12.52K","0.35%"
"Oct 22, 2021","3,447.50","3,445.00","3,444.00","3,444.00","27.81K","0.52%"
"Oct 21, 2021","3,429.50","3,554.00","3,543.00","3,543.00","38.85K","-3.76%"
"Oct 20, 2021","3,563.50","3,570.00","3,565.00","3,565.50","31.29K","1.58%"
"Oct 19, 2021","3,508.00","3,685.50","3,685.00","3,685.50","52.16K","-5.10%"
"Oct 18, 2021","3,696.50","3,754.00","3,752.00","3,753.00","41.94K","-2.58%"
"Oct 15, 2021","3,794.50","3,757.00","3,755.00","3,757.00","56.27K","7.54%"
"Oct 14, 2021","3,528.50","3,510.00","3,500.00","3,500.00","42.76K","3.73%"
"Oct 13, 2021","3,401.50","3,378.00","3,369.50","3,369.50","47.54K","4.24%"
"Oct 12, 2021","3,263.00","3,248.00","3,244.00","3,246.00","29.96K","1.02%"
"Oct 11, 2021","3,230.00","3,195.00","3,193.00","3,195.00","39.50K","2.51%"
"Oct 08, 2021","3,151.00","3,112.00","3,111.50","3,112.00","40.36K","3.33%"
"Oct 07, 2021","3,049.50","3,035.00","3,033.00","3,035.00","12.66K","1.16%"
"Oct 06, 2021","3,014.50","3,030.00","3,025.00","3,025.00","16.35K","-1.05%"
"Oct 05, 2021","3,046.50","3,025.00","3,022.00","3,024.00","12.59K","1.01%"
"Oct 04, 2021","3,016.00","3,024.00","3,024.00","3,024.00","17.13K","1.12%"
"Oct 01, 2021","2,982.50","3,008.00","3,007.00","3,008.00","18.36K","-0.18%"
"Sep 30, 2021","2,988.00","3,026.00","3,025.00","3,026.00","23.99K","-2.16%"
"Sep 29, 2021","3,054.00","3,059.00","3,057.00","3,059.00","20.27K","-0.81%"
"Sep 28, 2021","3,079.00","3,084.00","3,079.00","3,081.00","17.99K","0.37%"
"Sep 27, 2021","3,067.50","3,102.00","3,098.00","3,100.00","21.22K","-1.95%"
"Sep 24, 2021","3,128.50","3,107.00","3,105.00","3,107.00","23.84K","1.21%"
"Sep 23, 2021","3,091.00","3,057.00","3,055.00","3,057.00","28.36K","2.16%"
"Sep 22, 2021","3,025.50","3,037.00","3,036.00","3,037.00","25.55K","1.60%"
"Sep 21, 2021","2,978.00","3,025.00","3,019.00","3,019.00","25.08K","-1.19%"
"Sep 20, 2021","3,014.00","3,040.00","3,029.00","3,029.00","19.74K","-2.40%"
"Sep 17, 2021","3,088.00","3,120.00","3,121.00","3,120.00","20.74K","0.19%"
"Sep 16, 2021","3,082.00","3,075.00","3,074.00","3,075.00","18.43K","0.21%"
"Sep 15, 2021","3,075.50","3,067.00","3,065.00","3,067.00","23.40K","0.77%"
"Sep 14, 2021","3,052.00","3,024.00","3,024.00","3,024.00","21.28K","-1.05%"
"Sep 13, 2021","3,084.50","3,093.00","3,085.00","3,071.00","22.87K","-1.11%"
"Sep 10, 2021","3,119.00","3,102.00","3,100.00","3,102.00","21.85K","1.41%"
"Sep 09, 2021","3,075.50","3,086.00","3,084.00","3,084.00","14.32K","0.44%"
"Sep 08, 2021","3,062.00","3,064.00","3,063.00","3,064.00","26.42K","0.59%"
"Sep 07, 2021","3,044.00","3,031.00","3,046.00","3,031.00","24.59K","1.21%"
"Sep 06, 2021","3,007.50","3,020.00","3,018.00","3,007.00","10.38K","0.37%"
"Sep 03, 2021","2,996.50","2,990.75","3,012.75","2,976.75","15.64K","0.59%"
"Sep 02, 2021","2,979.00","2,977.75","3,001.00","2,976.25","14.96K","-0.08%"
"Sep 01, 2021","2,981.50","3,006.75","3,010.75","2,965.50","17.80K","-0.73%"
"Aug 31, 2021","3,003.50","3,004.75","3,018.50","2,985.25","15.89K","0.05%"
"Aug 27, 2021","3,002.00","3,001.00","3,019.75","2,969.75","15.16K","0.00%"
"Aug 26, 2021","3,002.00","3,016.50","3,022.50","2,976.50","13.91K","-0.79%"
"Aug 25, 2021","3,026.00","3,004.50","3,045.75","2,997.25","17.57K","0.27%"
"Aug 24, 2021","3,018.00","2,937.50","3,019.75","2,926.25","30.88K","3.04%"
"Aug 23, 2021","2,929.00","2,937.50","2,959.25","2,919.50","18.52K","0.02%"
"Aug 20, 2021","2,928.50","2,946.50","3,004.00","2,926.00","22.62K","-0.78%"
"Aug 19, 2021","2,951.50","2,983.75","2,997.75","2,916.75","34.99K","-1.12%"
"Aug 18, 2021","2,985.00","3,007.00","3,027.75","2,981.75","18.65K","-1.00%"
"Aug 17, 2021","3,015.00","3,030.75","3,049.25","2,997.25","30.32K","-0.53%"
"Aug 16, 2021","3,031.00","3,026.25","3,039.50","2,998.25","14.05K","-0.08%"
"Aug 13, 2021","3,033.50","3,001.75","3,042.50","2,990.50","15.65K","1.37%"
"Aug 12, 2021","2,992.50","3,046.50","3,054.00","2,987.75","17.83K","-1.68%"
"Aug 11, 2021","3,043.50","3,000.00","3,050.50","2,990.25","21.94K","1.45%"
"Aug 10, 2021","3,000.00","2,953.00","3,007.25","2,951.50","16.79K","1.64%"
"Aug 09, 2021","2,951.50","2,973.25","2,996.25","2,946.75","18.18K","-1.07%"
"Aug 06, 2021","2,983.50","3,019.25","3,032.75","2,966.50","26.60K","-1.49%"
"Aug 05, 2021","3,028.50","2,964.50","3,031.50","2,964.50","19.34K","1.85%"
"Aug 04, 2021","2,973.50","2,971.00","2,984.00","2,955.50","15.94K","0.13%"
"Aug 03, 2021","2,969.50","3,022.00","3,031.25","2,960.25","28.80K","-2.66%"
"Aug 02, 2021","3,050.50","3,024.75","3,059.00","3,009.50","29.59K","0.78%"
"Jul 30, 2021","3,027.00","3,001.00","3,047.75","2,991.25","26.71K","0.97%"
"Jul 29, 2021","2,998.00","2,963.75","3,009.50","2,962.50","21.12K","0.62%"
"Jul 28, 2021","2,979.50","2,974.50","2,988.75","2,950.25","21.57K","-0.10%"
"Jul 27, 2021","2,982.50","3,002.25","3,013.75","2,953.75","22.43K","-0.95%"
