Date,Lumber Fut,Orange Juice Fut,US Cocoa Fut,US Coffee C Fut,US Cotton #2 Fut,US Sugar #11 Fut
2005-01-03,368.0,84.3,1527.0,103.1,,9.17
2005-01-04,360.9,85.75,1523.0,101.45,,9.03
2005-01-05,359.4,85.45,1526.0,98.5,,8.98
2005-01-06,354.4,82.65,1514.0,96.8,,8.99
2005-01-07,361.3,77.2,1473.0,96.25,,8.71
2005-01-10,352.8,77.6,1466.0,95.6,,8.52
2005-01-11,348.9,77.6,1468.0,95.65,,8.55
2005-01-12,350.5,77.6,1486.0,98.85,,8.62
2005-01-13,344.5,77.6,1505.0,101.1,,8.72
2005-01-14,350.1,81.8,1500.0,100.1,,8.83
2005-01-18,361.7,83.75,1496.0,104.4,,8.84
2005-01-19,371.7,82.4,1499.0,104.1,,8.87
2005-01-20,371.3,79.15,1498.0,102.0,,8.96
2005-01-21,378.2,79.85,1486.0,103.25,,8.88
2005-01-24,375.5,80.8,1526.0,104.65,,8.9
2005-01-25,375.3,80.95,1527.0,105.75,,8.98
2005-01-26,368.5,83.05,1575.0,105.1,,9.3
2005-01-27,378.5,83.5,1577.0,103.2,,9.22
2005-01-28,387.9,83.5,1562.0,105.3,,9.15
2005-01-31,384.3,82.25,1525.0,105.35,,9.22
2005-02-01,394.3,84.6,1561.0,105.8,,8.95
2005-02-02,395.0,85.5,1603.0,104.9,,8.81
2005-02-03,405.0,85.85,1594.0,105.3,,8.94
2005-02-04,408.3,84.6,1576.0,110.5,,9.08
2005-02-07,401.6,84.5,1615.0,112.75,,8.93
2005-02-08,411.6,86.45,1594.0,111.7,,9.01
2005-02-09,405.5,85.2,1534.0,112.45,,9.04
2005-02-10,405.7,85.1,1559.0,113.85,,9.15
2005-02-11,395.7,85.75,1550.0,113.45,,9.13
2005-02-14,385.7,85.65,1543.0,112.4,,9.03
2005-02-15,385.4,84.7,1570.0,117.8,,9.1
2005-02-16,389.5,83.8,1565.0,116.85,,8.88
2005-02-17,388.1,83.5,1596.0,117.05,,8.93
2005-02-18,385.0,83.3,1603.0,118.05,,8.85
2005-02-22,384.1,87.3,1592.0,115.1,,8.99
2005-02-23,394.1,85.25,1610.0,121.55,,8.91
2005-02-24,404.1,85.05,1641.0,119.2,,8.75
2005-02-25,408.5,84.3,1635.0,115.25,,8.64
2005-02-28,418.5,82.6,1715.0,119.15,,9.17
2005-03-01,412.7,83.9,1735.0,119.05,,9.06
2005-03-02,400.0,85.65,1703.0,119.35,,9.04
2005-03-03,398.3,88.5,1710.0,120.9,,8.98
2005-03-04,407.7,90.0,1740.0,121.85,,8.87
2005-03-07,405.3,91.15,1756.0,128.0,,8.78
2005-03-08,395.0,91.4,1749.0,130.65,,8.96
2005-03-09,401.0,89.5,1723.0,129.5,,9.0
2005-03-10,395.0,97.95,1740.0,135.75,,8.97
2005-03-11,400.0,100.3,1791.0,134.45,,9.17
2005-03-14,405.0,99.85,1773.0,132.5,,9.23
2005-03-15,408.0,99.7,1785.0,135.0,,9.14
2005-03-16,406.2,100.0,1829.0,134.6,,9.15
2005-03-17,410.5,100.55,1830.0,135.1,,9.12
2005-03-18,406.6,101.35,1844.0,131.6,,9.03
2005-03-21,396.6,97.85,1733.0,130.65,,8.76
2005-03-22,394.5,97.1,1731.0,131.35,,8.75
2005-03-23,393.3,96.7,1588.0,125.25,,8.63
2005-03-24,393.8,95.8,1584.0,120.9,,8.67
2005-03-28,403.7,96.95,1570.0,122.35,,8.61
2005-03-29,397.6,99.5,1581.0,122.05,,8.52
2005-03-30,397.5,99.25,1579.0,125.0,,8.55
2005-03-31,400.7,99.55,1613.0,126.4,,8.7
2005-04-01,398.7,99.95,1571.0,123.95,,8.52
2005-04-04,388.7,100.85,1588.0,123.05,,8.41
2005-04-05,388.3,100.55,1555.0,126.1,,8.55
2005-04-06,382.5,96.8,1555.0,124.7,,8.57
2005-04-07,386.2,97.0,1552.0,121.95,,8.66
2005-04-08,376.2,95.75,1565.0,116.85,,8.48
2005-04-11,371.5,94.2,1540.0,113.5,,8.35
2005-04-12,373.5,92.6,1555.0,114.85,,8.45
2005-04-13,383.5,93.7,1555.0,114.6,,8.34
2005-04-14,377.3,94.2,1515.0,111.05,,8.15
2005-04-15,377.7,94.9,1495.0,112.55,,8.08
2005-04-18,372.0,91.5,1494.0,111.95,,8.18
2005-04-19,370.9,91.8,1516.0,118.0,,8.33
2005-04-20,371.5,93.3,1529.0,121.85,,8.4
2005-04-21,362.0,94.05,1505.0,119.75,,8.46
2005-04-22,352.0,93.5,1473.0,124.8,,8.35
2005-04-25,352.8,95.45,1453.0,124.4,,8.37
2005-04-26,351.0,95.7,1443.0,129.6,,8.5
2005-04-27,346.0,95.1,1467.0,130.45,,8.58
2005-04-28,351.3,95.75,1455.0,128.0,,8.45
2005-04-29,356.4,94.5,1459.0,125.15,,8.61
2005-05-02,355.2,91.7,1475.0,120.7,,8.68
2005-05-03,344.1,94.25,1462.0,119.1,,8.56
2005-05-04,333.0,93.5,1468.0,122.7,,8.49
2005-05-05,332.0,94.0,1452.0,120.35,,8.23
2005-05-06,335.3,93.5,1456.0,121.9,,8.42
2005-05-09,336.5,92.95,1461.0,121.45,,8.36
2005-05-10,337.9,90.2,1469.0,119.15,,8.39
2005-05-11,339.6,90.2,1463.0,122.15,,8.49
2005-05-12,347.4,91.6,1444.0,119.9,,8.26
2005-05-13,342.5,91.4,1402.0,119.0,,8.35
2005-05-16,353.7,93.7,1451.0,113.75,,8.35
2005-05-17,358.1,92.75,1438.0,115.7,,8.3
2005-05-18,361.3,93.45,1453.0,116.05,,8.4
2005-05-19,357.3,94.8,1446.0,116.8,,8.53
2005-05-20,351.3,95.25,1440.0,117.0,,8.59
2005-05-23,357.3,95.0,1459.0,118.15,,8.68
2005-05-24,360.0,95.45,1436.0,119.65,,8.62
2005-05-25,357.3,95.65,1429.0,122.4,,8.73
2005-05-26,353.1,95.6,1415.0,123.7,,8.8
2005-05-27,363.1,95.75,1412.0,121.9,,8.75
2005-05-31,369.5,95.15,1422.0,118.35,,8.76
2005-06-01,364.1,95.3,1394.0,118.05,,8.68
2005-06-02,360.6,95.25,1420.0,122.0,,8.67
2005-06-03,354.5,94.65,1429.0,125.55,,8.88
2005-06-06,356.5,93.3,1421.0,124.1,,8.83
2005-06-07,350.8,93.25,1435.0,125.75,,8.8
2005-06-08,347.3,93.25,1431.0,121.4,,8.78
2005-06-09,347.0,96.15,1421.0,116.4,,8.91
2005-06-10,341.6,94.6,1407.0,113.0,,8.9
2005-06-13,344.2,93.3,1413.0,109.75,,8.87
2005-06-14,336.6,94.25,1484.0,110.75,,8.84
2005-06-15,337.0,94.6,1545.0,111.15,,8.68
2005-06-16,335.3,95.5,1526.0,109.55,,8.86
2005-06-17,337.4,95.8,1534.0,107.6,,8.91
2005-06-20,342.1,97.0,1523.0,109.0,,8.98
2005-06-21,347.9,96.55,1537.0,107.75,,8.92
2005-06-22,337.9,98.45,1561.0,110.8,,8.95
2005-06-23,334.3,98.7,1565.0,108.4,,9.04
2005-06-24,326.1,99.85,1517.0,105.45,,8.97
2005-06-27,319.6,100.15,1530.0,102.7,,9.19
2005-06-28,324.5,101.15,1499.0,104.3,,9.11
2005-06-29,321.0,99.8,1485.0,103.1,,9.19
2005-06-30,325.3,96.35,1440.0,104.65,,9.34
2005-07-01,330.9,97.75,1439.0,102.1,,9.16
2005-07-05,336.0,103.0,1418.0,102.2,,9.39
2005-07-06,333.0,100.3,1391.0,104.65,,9.35
2005-07-07,333.8,103.5,1372.0,104.5,,9.37
2005-07-08,336.3,100.0,1378.0,104.15,,9.54
2005-07-11,332.5,102.4,1392.0,101.75,,9.48
2005-07-12,333.3,105.7,1398.0,102.35,,9.5
2005-07-13,333.1,103.45,1389.0,102.5,,9.58
2005-07-14,345.3,100.8,1394.0,106.15,,9.59
2005-07-15,355.8,100.0,1405.0,103.25,,9.55
2005-07-18,341.0,98.45,1439.0,97.85,,9.59
2005-07-19,331.0,99.25,1425.0,94.15,,9.52
2005-07-20,326.2,97.65,1404.0,98.45,,9.41
2005-07-21,322.8,97.55,1407.0,98.9,,9.66
2005-07-22,323.3,98.2,1407.0,99.45,,9.7
2005-07-25,315.5,97.5,1420.0,102.1,,9.9
2005-07-26,313.1,97.8,1437.0,101.85,,9.96
2005-07-27,307.7,98.15,1458.0,99.35,,9.95
2005-07-28,312.9,98.25,1453.0,101.8,,9.92
2005-07-29,302.9,97.9,1479.0,103.15,,9.83
2005-08-01,303.7,96.25,1482.0,102.15,,9.96
2005-08-02,293.7,95.15,1498.0,106.6,,10.09
2005-08-03,291.1,96.05,1491.0,105.75,,10.2
2005-08-04,301.1,97.1,1479.0,106.25,,10.22
2005-08-05,296.0,97.95,1455.0,105.35,,10.08
2005-08-08,290.7,97.5,1430.0,102.3,,10.1
2005-08-09,298.1,91.6,1402.0,102.6,,9.92
2005-08-10,291.4,91.8,1399.0,105.7,,9.83
2005-08-11,292.7,90.5,1356.0,106.75,,9.85
2005-08-12,282.7,91.15,1343.0,104.9,,9.87
2005-08-15,277.9,90.9,1337.0,96.15,,9.74
2005-08-16,276.6,91.2,1341.0,96.9,,9.62
2005-08-17,278.7,91.95,1318.0,97.75,,9.78
2005-08-18,282.5,92.55,1348.0,95.3,,9.67
2005-08-19,275.7,90.0,1349.0,96.1,,9.68
2005-08-22,277.5,88.0,1368.0,96.35,,9.6
2005-08-23,279.2,85.8,1360.0,98.95,,9.58
2005-08-24,272.6,87.45,1367.0,96.15,,9.83
2005-08-25,269.5,87.6,1349.0,93.15,,9.73
2005-08-26,277.5,87.7,1374.0,91.65,,9.76
2005-08-29,287.5,89.5,1365.0,92.6,,9.83
2005-08-30,287.0,89.35,1352.0,94.5,,10.12
2005-08-31,297.0,89.5,1350.0,97.75,,10.07
2005-09-01,318.7,92.1,1442.0,101.95,,10.1
2005-09-02,321.9,91.9,1496.0,100.0,,10.11
2005-09-05,,91.9,,,,
2005-09-06,331.8,90.25,1480.0,97.45,,10.2
2005-09-07,309.6,90.3,1489.0,91.5,,10.13
2005-09-08,314.0,89.5,1519.0,92.7,,10.18
2005-09-09,318.7,91.0,1476.0,92.2,,10.27
2005-09-12,322.7,92.65,1428.0,89.05,,10.4
2005-09-13,337.0,94.2,1390.0,88.65,,10.31
2005-09-14,337.0,95.05,1368.0,91.4,,10.3
2005-09-15,334.8,94.85,1355.0,89.35,,10.33
2005-09-16,289.5,94.65,1385.0,88.2,,10.43
2005-09-19,292.2,97.5,1371.0,84.45,,10.51
2005-09-20,298.9,96.4,1375.0,91.75,,10.49
2005-09-21,306.0,97.0,1352.0,90.35,,10.25
2005-09-22,316.0,98.3,1342.0,91.3,,10.47
2005-09-23,326.0,99.3,1350.0,89.0,,10.43
2005-09-26,311.0,100.2,1335.0,88.15,,10.4
2005-09-27,317.5,101.1,1351.0,88.65,,10.92
2005-09-28,307.5,100.5,1373.0,93.4,,11.13
2005-09-29,308.3,101.15,1434.0,92.95,,10.89
2005-09-30,304.9,102.3,1413.0,93.45,,10.95
2005-10-03,300.7,104.3,1401.0,92.85,,11.53
2005-10-04,299.3,102.3,1383.0,92.7,,11.43
2005-10-05,289.3,103.5,1388.0,93.7,,11.44
2005-10-06,289.3,104.15,1392.0,93.5,,11.26
2005-10-07,289.8,103.85,1367.0,94.85,,11.37
2005-10-10,286.1,104.0,1356.0,98.9,,11.66
2005-10-11,280.0,101.6,1356.0,100.75,,11.84
2005-10-12,283.3,103.4,1349.0,101.3,,11.73
2005-10-13,283.5,104.0,1369.0,100.35,,11.69
2005-10-14,281.7,103.5,1408.0,99.65,,11.66
2005-10-17,287.7,106.35,1367.0,104.1,,11.46
2005-10-18,283.5,108.9,1386.0,104.65,,11.69
2005-10-19,293.5,111.8,1392.0,104.05,,11.73
2005-10-20,295.5,110.8,1367.0,105.7,,11.63
2005-10-21,293.5,108.1,1366.0,103.45,,11.8
2005-10-24,289.9,111.85,1408.0,103.15,,11.63
2005-10-25,292.8,115.25,1403.0,103.7,,11.82
2005-10-26,294.4,112.65,1418.0,101.7,,11.78
2005-10-27,304.4,115.15,1415.0,100.15,,11.78
2005-10-28,304.9,116.4,1382.0,98.35,,11.61
2005-10-31,310.5,116.7,1351.0,96.65,,11.33
2005-11-01,302.9,115.7,1368.0,97.1,,11.25
2005-11-02,299.3,119.0,1369.0,101.05,,11.47
2005-11-03,315.2,119.05,1376.0,103.75,,11.54
2005-11-04,316.4,121.8,1344.0,103.9,,11.56
2005-11-07,314.5,123.5,1322.0,102.95,,11.37
2005-11-08,320.0,122.75,1334.0,107.85,,11.28
2005-11-09,321.0,122.0,1341.0,106.9,,11.2
2005-11-10,317.0,123.1,1349.0,106.75,,11.47
2005-11-11,324.1,122.45,1321.0,106.95,,11.48
2005-11-14,316.6,121.5,1327.0,99.85,,11.75
2005-11-15,325.0,120.15,1337.0,96.5,,12.04
2005-11-16,342.8,122.0,1352.0,96.55,,12.12
2005-11-17,352.0,120.35,1357.0,98.0,,12.05
2005-11-18,349.0,118.05,1425.0,96.8,,11.98
2005-11-21,339.0,118.9,1414.0,99.05,,12.07
2005-11-22,329.0,116.1,1425.0,98.65,,12.05
2005-11-23,323.3,116.5,1410.0,97.4,,12.15
2005-11-24,,116.5,,,,
2005-11-25,321.9,116.5,,,,
2005-11-28,323.5,117.65,1409.0,96.15,,12.45
2005-11-29,324.8,118.2,1403.0,95.7,,12.45
2005-11-30,326.5,120.15,1408.0,93.0,,12.43
2005-12-01,336.5,123.1,1460.0,92.4,,12.92
2005-12-02,339.5,126.5,1473.0,90.75,,12.86
2005-12-05,329.5,120.55,1433.0,91.85,,13.26
2005-12-06,327.8,121.45,1418.0,92.7,,13.09
2005-12-07,322.8,123.25,1438.0,92.0,,13.39
2005-12-08,323.8,124.2,1454.0,92.8,,13.61
2005-12-09,321.0,126.6,1457.0,92.75,,13.51
2005-12-12,327.0,130.6,1484.0,96.45,,13.96
2005-12-13,323.8,130.4,1485.0,95.4,,13.81
2005-12-14,330.4,128.4,1465.0,93.2,,13.59
2005-12-15,335.9,128.25,1468.0,94.35,,13.87
2005-12-16,339.5,127.55,1461.0,94.35,,14.2
2005-12-19,333.1,126.45,1439.0,98.1,,14.33
2005-12-20,336.7,125.05,1448.0,102.4,,14.21
2005-12-21,346.7,124.7,1450.0,101.2,,14.1
2005-12-22,356.7,125.5,1478.0,102.8,,14.5
2005-12-23,354.2,124.15,1463.0,102.6,,14.63
2005-12-27,364.2,119.8,1445.0,106.2,,14.55
2005-12-28,358.5,120.6,1469.0,107.0,,14.61
2005-12-29,362.0,124.0,1501.0,106.9,,14.79
2005-12-30,359.0,125.2,1504.0,107.1,,14.68
2006-01-03,360.7,125.0,1546.0,108.6,,14.18
2006-01-04,373.9,126.25,1544.0,110.65,,14.87
2006-01-05,372.0,127.15,1519.0,117.45,,14.85
2006-01-06,367.4,128.45,1551.0,119.55,,14.88
2006-01-09,362.0,133.4,1505.0,120.15,,14.6
2006-01-10,364.2,130.15,1519.0,119.1,,14.66
2006-01-11,355.6,125.95,1518.0,117.2,,14.71
2006-01-12,365.8,125.35,1527.0,117.55,,14.72
2006-01-13,359.8,124.25,1518.0,119.95,,15.27
2006-01-17,369.3,120.8,1571.0,123.8,,15.57
2006-01-18,360.4,115.75,1598.0,121.6,,15.7
2006-01-19,359.3,115.1,1553.0,119.4,,16.12
2006-01-20,363.8,116.55,1548.0,118.4,,17.15
2006-01-23,370.6,118.35,1531.0,120.45,,17.35
2006-01-24,375.3,120.35,1451.0,122.4,,17.89
2006-01-25,365.3,119.2,1465.0,123.05,,17.91
2006-01-26,363.6,119.9,1485.0,122.85,,18.48
2006-01-27,365.5,121.95,1455.0,124.3,,18.61
2006-01-30,358.6,122.9,1477.0,121.9,,18.2
2006-01-31,355.8,124.65,1484.0,118.2,,18.02
2006-02-01,364.4,125.5,1467.0,117.25,,18.29
2006-02-02,365.5,124.2,1453.0,118.0,,19.15
2006-02-03,361.8,126.3,1474.0,117.6,,19.3
2006-02-06,351.8,131.05,1476.0,113.2,,18.8
2006-02-07,345.0,131.5,1517.0,114.9,,18.17
2006-02-08,342.0,131.0,1522.0,113.45,,18.8
2006-02-09,340.5,130.3,1520.0,113.8,,18.14
2006-02-10,344.0,133.45,1520.0,115.1,,17.66
2006-02-13,334.0,132.15,1491.0,109.45,,17.75
