"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 26, 2021","122.65","123.55","125.40","122.30","0.40K","-1.53%"
"Oct 25, 2021","124.55","125.55","126.15","123.05","0.46K","-1.15%"
"Oct 22, 2021","126.00","126.85","127.65","124.40","0.20K","0.48%"
"Oct 21, 2021","125.40","121.70","126.85","121.65","0.53K","3.04%"
"Oct 20, 2021","121.70","122.85","123.00","120.70","0.32K","-1.06%"
"Oct 19, 2021","123.00","118.95","125.15","118.95","0.84K","3.89%"
"Oct 18, 2021","118.40","121.90","121.90","118.00","1.32K","-2.87%"
"Oct 15, 2021","121.90","123.55","124.35","120.95","1.26K","-0.97%"
"Oct 14, 2021","123.10","123.40","125.30","123.05","1.65K","-0.24%"
"Oct 13, 2021","123.40","127.10","127.70","123.05","0.90K","-2.91%"
"Oct 12, 2021","127.10","125.70","128.95","123.60","1.45K","1.23%"
"Oct 11, 2021","125.55","128.75","129.15","125.35","0.86K","-2.30%"
"Oct 08, 2021","128.50","128.65","129.20","126.45","1.16K","0.08%"
"Oct 07, 2021","128.40","131.40","132.00","127.65","1.47K","-1.91%"
"Oct 06, 2021","130.90","131.50","132.00","130.20","1.00K","-0.08%"
"Oct 05, 2021","131.00","135.55","135.55","130.45","1.39K","-3.61%"
"Oct 04, 2021","135.90","134.50","136.40","134.40","0.64K","1.68%"
"Oct 01, 2021","133.65","132.25","134.00","131.65","1.00K","0.87%"
"Sep 30, 2021","132.50","134.85","134.90","131.70","0.61K","-1.71%"
"Sep 29, 2021","134.80","134.40","136.90","132.25","1.28K","0.97%"
"Sep 28, 2021","133.50","138.20","138.75","131.10","1.93K","-3.40%"
"Sep 27, 2021","138.20","138.65","139.40","136.90","0.41K","-0.32%"
"Sep 24, 2021","138.65","141.50","141.50","138.20","0.31K","-1.25%"
"Sep 23, 2021","140.40","139.30","142.20","139.30","0.32K","0.25%"
"Sep 22, 2021","140.05","141.90","142.10","139.10","0.19K","-1.30%"
"Sep 21, 2021","141.90","137.65","142.40","137.50","0.43K","2.94%"
"Sep 20, 2021","137.85","138.00","139.50","136.55","0.47K","-1.25%"
"Sep 17, 2021","139.60","142.80","143.15","138.05","0.48K","-2.04%"
"Sep 16, 2021","142.50","144.75","145.00","141.90","0.34K","-1.21%"
"Sep 15, 2021","144.25","141.00","144.90","140.65","0.62K","1.84%"
"Sep 14, 2021","141.65","143.00","143.50","139.05","0.39K","-0.32%"
"Sep 13, 2021","142.10","141.65","142.70","140.90","0.35K","-3.40%"
"Sep 10, 2021","147.10","147.10","147.10","147.10","-","1.98%"
"Sep 09, 2021","144.25","144.25","144.25","144.25","-","0.80%"
"Sep 08, 2021","143.10","145.55","145.55","144.00","0.00K","-2.65%"
"Sep 07, 2021","147.00","147.00","147.00","147.00","-","2.23%"
"Sep 03, 2021","143.80","146.30","146.50","146.30","0.00K","-0.62%"
"Sep 02, 2021","144.70","148.00","148.00","145.15","0.00K","3.32%"
"Sep 01, 2021","140.05","140.05","140.05","140.05","-","4.09%"
"Aug 31, 2021","134.55","136.70","137.20","134.05","0.11K","-1.18%"
"Aug 30, 2021","136.15","142.10","143.75","135.10","0.44K","-5.29%"
"Aug 27, 2021","143.75","145.00","145.55","142.70","0.26K","0.03%"
"Aug 26, 2021","143.70","139.75","145.25","139.10","0.45K","2.68%"
"Aug 25, 2021","139.95","141.55","142.60","138.30","0.32K","-1.13%"
"Aug 24, 2021","141.55","137.30","146.50","137.25","0.83K","3.36%"
"Aug 23, 2021","136.95","136.55","137.70","136.35","0.51K","0.29%"
"Aug 20, 2021","136.55","133.00","136.90","132.30","1.04K","2.55%"
"Aug 19, 2021","133.15","132.05","134.80","131.45","0.66K","0.45%"
"Aug 18, 2021","132.55","135.45","135.50","131.35","0.58K","-1.92%"
"Aug 17, 2021","135.15","131.00","135.50","131.00","1.06K","2.89%"
"Aug 16, 2021","131.35","135.35","135.95","131.20","1.43K","-3.03%"
"Aug 13, 2021","135.45","133.50","137.65","133.15","0.64K","1.50%"
"Aug 12, 2021","133.45","138.35","138.90","131.65","0.85K","-3.51%"
"Aug 11, 2021","138.30","138.75","139.25","135.20","0.82K","0.00%"
"Aug 10, 2021","138.30","135.05","139.10","134.00","1.07K","2.33%"
"Aug 09, 2021","135.15","136.30","137.95","133.45","0.73K","-0.55%"
"Aug 06, 2021","135.90","135.55","136.80","133.35","0.67K","0.82%"
"Aug 05, 2021","134.80","132.00","135.90","131.95","0.84K","1.39%"
"Aug 04, 2021","132.95","129.65","133.50","129.60","1.01K","2.78%"
"Aug 03, 2021","129.35","128.45","131.05","128.25","1.35K","0.86%"
"Aug 02, 2021","128.25","131.25","131.60","127.60","1.49K","-3.54%"
"Jul 30, 2021","132.95","136.00","138.15","128.20","1.20K","-2.67%"
"Jul 29, 2021","136.60","138.45","139.00","136.25","0.53K","-2.04%"
"Jul 28, 2021","139.45","143.25","143.80","136.35","0.79K","-2.14%"
"Jul 27, 2021","142.50","137.50","143.60","137.30","1.05K","4.09%"
"Jul 26, 2021","136.90","136.80","137.85","133.75","0.65K","-0.33%"
"Jul 23, 2021","137.35","136.65","141.85","136.10","1.07K","1.74%"
"Jul 22, 2021","135.00","131.55","137.50","131.00","0.95K","2.62%"
"Jul 21, 2021","131.55","133.35","133.40","129.10","0.62K","-0.98%"
"Jul 20, 2021","132.85","128.10","133.85","128.10","0.81K","3.83%"
"Jul 19, 2021","127.95","129.40","129.90","126.30","0.46K","-0.20%"
"Jul 16, 2021","128.20","131.70","134.25","126.00","1.02K","-3.54%"
"Jul 15, 2021","132.90","128.70","135.65","128.05","1.62K","3.18%"
"Jul 14, 2021","128.80","127.05","129.00","126.65","0.75K","1.30%"
"Jul 13, 2021","127.15","126.70","127.70","126.10","0.38K","2.29%"
"Jul 12, 2021","124.30","124.30","124.30","124.30","-","-0.44%"
"Jul 09, 2021","124.85","124.85","124.85","124.85","-","-0.04%"
"Jul 08, 2021","124.90","137.40","137.40","137.40","0.00K","1.75%"
"Jul 07, 2021","122.75","129.75","129.75","129.75","0.00K","3.06%"
"Jul 06, 2021","119.10","119.10","119.10","119.10","-","-3.99%"
"Jul 02, 2021","124.05","124.05","124.05","124.05","-","1.22%"
"Jul 01, 2021","122.55","122.55","122.55","122.55","-","3.37%"
"Jun 30, 2021","118.55","118.00","119.70","116.35","0.47K","1.89%"
"Jun 29, 2021","116.35","117.15","117.15","115.70","0.35K","-0.26%"
"Jun 28, 2021","116.65","119.00","119.50","116.30","0.53K","-2.06%"
"Jun 25, 2021","119.10","119.65","120.05","117.75","0.36K","0.38%"
"Jun 24, 2021","118.65","118.85","120.00","117.65","0.77K","0.04%"
"Jun 23, 2021","118.60","117.75","118.85","117.00","0.24K","0.38%"
"Jun 22, 2021","118.15","118.05","118.75","116.85","0.36K","0.81%"
"Jun 21, 2021","117.20","116.00","119.00","115.10","0.38K","0.47%"
"Jun 18, 2021","116.65","118.95","119.25","115.00","0.76K","-0.81%"
"Jun 17, 2021","117.60","119.55","120.20","117.00","2.03K","-1.38%"
"Jun 16, 2021","119.25","117.65","120.30","117.30","0.78K","2.19%"
"Jun 15, 2021","116.70","116.70","118.50","115.70","0.96K","-0.81%"
"Jun 14, 2021","117.65","118.80","120.80","117.10","0.93K","-2.77%"
"Jun 11, 2021","121.00","127.30","127.50","118.30","2.05K","-5.17%"
"Jun 10, 2021","127.60","127.50","128.70","127.00","0.73K","-0.82%"
"Jun 09, 2021","128.65","126.80","129.30","126.20","1.26K","1.06%"
"Jun 08, 2021","127.30","125.20","128.20","124.80","1.58K","1.52%"
"Jun 07, 2021","125.40","122.35","125.70","122.35","1.28K","2.66%"
"Jun 04, 2021","122.15","120.15","122.25","118.65","1.39K","0.74%"
"Jun 03, 2021","121.25","119.50","121.90","118.30","1.26K","0.92%"
"Jun 02, 2021","120.15","119.05","120.40","117.90","1.43K","0.42%"
"Jun 01, 2021","119.65","119.05","120.40","119.00","1.42K","0.84%"
"May 28, 2021","118.65","118.45","119.45","117.80","1.15K","0.17%"
"May 27, 2021","118.45","117.50","119.75","117.05","1.71K","1.20%"
"May 26, 2021","117.05","116.95","117.65","116.00","0.29K","0.47%"
"May 25, 2021","116.50","117.05","117.30","114.60","0.52K","-0.47%"
"May 24, 2021","117.05","117.60","117.75","115.50","0.43K","-0.76%"
"May 21, 2021","117.95","116.95","118.00","116.60","0.50K","1.03%"
"May 20, 2021","116.75","114.25","117.65","113.50","0.92K","2.68%"
"May 19, 2021","113.70","117.25","117.40","113.60","1.08K","-2.90%"
"May 18, 2021","117.10","118.35","118.35","116.65","0.87K","-1.14%"
"May 17, 2021","118.45","117.00","118.70","116.25","1.12K","1.85%"
"May 14, 2021","116.30","115.15","116.45","115.00","0.46K","1.13%"
"May 13, 2021","115.00","114.10","116.45","113.05","0.49K","0.79%"
"May 12, 2021","114.10","115.75","115.75","113.55","0.43K","-1.43%"
"May 11, 2021","115.75","116.70","117.15","112.15","0.97K","1.94%"
"May 10, 2021","113.55","113.55","113.55","113.55","-","1.88%"
"May 07, 2021","111.45","110.30","110.30","110.30","0.00K","2.81%"
"May 06, 2021","108.40","114.00","114.00","114.00","0.00K","2.65%"
"May 05, 2021","105.60","105.80","108.00","105.30","0.06K","0.24%"
"May 04, 2021","105.35","105.35","105.35","105.35","-","-2.14%"
"May 03, 2021","107.65","108.10","108.10","107.85","0.03K","-1.73%"
"Apr 30, 2021","109.55","108.00","109.60","107.90","0.18K","1.81%"
"Apr 29, 2021","107.60","110.30","110.30","107.55","0.76K","-2.89%"
"Apr 28, 2021","110.80","111.30","112.10","110.30","0.49K","-0.76%"
"Apr 27, 2021","111.65","111.60","112.60","111.35","0.57K","0.04%"
"Apr 26, 2021","111.60","114.00","114.00","111.35","0.70K","-1.06%"
"Apr 23, 2021","112.80","113.25","113.50","111.80","0.26K","-0.13%"
"Apr 22, 2021","112.95","113.05","113.65","112.25","0.56K","-0.26%"
"Apr 21, 2021","113.25","111.35","114.00","110.75","0.63K","1.66%"
"Apr 20, 2021","111.40","114.15","114.15","110.80","0.87K","-2.24%"
"Apr 19, 2021","113.95","113.95","114.75","111.80","0.97K","0.00%"
"Apr 16, 2021","113.95","114.15","114.85","113.45","1.15K","0.04%"
"Apr 15, 2021","113.90","111.35","114.20","111.00","1.34K","2.61%"
"Apr 14, 2021","111.00","110.00","111.75","109.25","1.01K","0.91%"
"Apr 13, 2021","110.00","109.30","110.25","109.10","0.79K","0.64%"
"Apr 12, 2021","109.30","109.65","110.10","108.75","0.55K","-0.68%"
"Apr 09, 2021","110.05","109.70","111.00","109.05","0.68K","0.69%"
"Apr 08, 2021","109.30","108.65","109.80","108.35","0.49K","0.46%"
"Apr 07, 2021","108.80","109.50","110.80","108.25","0.73K","-0.37%"
"Apr 06, 2021","109.20","108.70","109.60","108.00","1.08K","0.41%"
"Apr 05, 2021","108.75","110.30","111.00","107.95","1.30K","-1.09%"
"Apr 01, 2021","109.95","110.25","111.20","109.75","0.70K","-0.59%"
"Mar 31, 2021","110.60","111.10","111.80","110.05","0.46K","-0.36%"
"Mar 30, 2021","111.00","111.75","112.10","110.05","0.74K","-0.22%"
"Mar 29, 2021","111.25","111.25","112.25","110.65","0.31K","0.04%"
"Mar 26, 2021","111.20","110.05","112.80","109.70","0.46K","0.68%"
"Mar 25, 2021","110.45","110.15","112.30","109.65","0.79K","0.05%"
"Mar 24, 2021","110.40","111.25","111.55","110.25","0.80K","-0.99%"
"Mar 23, 2021","111.50","114.40","114.80","111.35","0.76K","-2.87%"
"Mar 22, 2021","114.80","115.10","115.50","114.30","0.30K","-0.73%"
"Mar 19, 2021","115.65","117.40","117.55","114.30","0.56K","-0.77%"
