"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","2,572.50","2,602.50","2,617.50","2,569.50","-","-1.17%"
"Oct 27, 2021","2,603.00","2,580.00","2,614.00","2,558.00","17.07K","0.85%"
"Oct 26, 2021","2,581.00","2,601.00","2,620.00","2,571.00","13.93K","-1.34%"
"Oct 25, 2021","2,616.00","2,588.00","2,632.00","2,581.00","21.07K","1.28%"
"Oct 22, 2021","2,583.00","2,560.00","2,601.00","2,518.00","17.20K","1.10%"
"Oct 21, 2021","2,555.00","2,514.00","2,568.00","2,508.00","24.17K","2.00%"
"Oct 20, 2021","2,505.00","2,542.00","2,555.00","2,499.00","20.16K","-2.11%"
"Oct 19, 2021","2,559.00","2,623.00","2,632.00","2,526.00","24.31K","-1.95%"
"Oct 18, 2021","2,610.00","2,606.00","2,636.00","2,580.00","13.78K","0.12%"
"Oct 15, 2021","2,607.00","2,588.00","2,617.00","2,565.00","18.53K","0.89%"
"Oct 14, 2021","2,584.00","2,605.00","2,629.00","2,567.00","22.15K","-0.69%"
"Oct 13, 2021","2,602.00","2,675.00","2,684.00","2,588.00","25.15K","-2.73%"
"Oct 12, 2021","2,675.00","2,684.00","2,711.00","2,662.00","13.90K","-0.26%"
"Oct 11, 2021","2,682.00","2,752.00","2,753.00","2,672.00","19.92K","-2.47%"
"Oct 08, 2021","2,750.00","2,737.00","2,774.00","2,726.00","16.61K","0.88%"
"Oct 07, 2021","2,726.00","2,723.00","2,750.00","2,716.00","13.24K","0.41%"
"Oct 06, 2021","2,715.00","2,754.00","2,754.00","2,681.00","24.07K","-1.45%"
"Oct 05, 2021","2,755.00","2,762.00","2,768.00","2,717.00","21.11K","0.11%"
"Oct 04, 2021","2,752.00","2,712.00","2,792.00","2,705.00","25.17K","1.55%"
"Oct 01, 2021","2,710.00","2,641.00","2,723.00","2,633.00","24.04K","2.19%"
"Sep 30, 2021","2,652.00","2,596.00","2,666.00","2,587.00","23.77K","2.43%"
"Sep 29, 2021","2,589.00","2,567.00","2,602.00","2,559.00","16.32K","1.33%"
"Sep 28, 2021","2,555.00","2,545.00","2,584.00","2,537.00","17.98K","0.35%"
"Sep 27, 2021","2,546.00","2,582.00","2,597.00","2,542.00","17.76K","-1.74%"
"Sep 24, 2021","2,591.00","2,609.00","2,617.00","2,561.00","16.08K","-0.80%"
"Sep 23, 2021","2,612.00","2,652.00","2,658.00","2,605.00","16.00K","-1.51%"
"Sep 22, 2021","2,652.00","2,623.00","2,661.00","2,614.00","17.19K","1.80%"
"Sep 21, 2021","2,605.00","2,606.00","2,641.00","2,594.00","15.38K","0.46%"
"Sep 20, 2021","2,593.00","2,651.00","2,651.00","2,579.00","24.45K","-2.70%"
"Sep 17, 2021","2,665.00","2,663.00","2,672.00","2,635.00","11.86K","0.30%"
"Sep 16, 2021","2,657.00","2,665.00","2,674.00","2,640.00","9.64K","-1.70%"
"Sep 15, 2021","2,703.00","2,660.00","2,686.50","2,655.00","-","0.26%"
"Sep 14, 2021","2,696.00","2,641.00","2,668.50","2,624.50","-","0.71%"
"Sep 13, 2021","2,677.00","2,602.50","2,649.50","2,602.50","-","1.29%"
