"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","200.22","201.72","203.20","199.30","-","-0.56%"
"Oct 27, 2021","201.35","207.30","208.70","199.65","23.30K","-3.24%"
"Oct 26, 2021","208.10","203.35","210.30","202.30","21.06K","2.74%"
"Oct 25, 2021","202.55","199.95","203.80","197.25","20.16K","1.35%"
"Oct 22, 2021","199.85","203.80","206.40","198.40","16.73K","-1.70%"
"Oct 21, 2021","203.30","205.15","208.65","201.55","26.49K","-1.09%"
"Oct 20, 2021","205.55","205.20","207.00","203.50","14.93K","0.64%"
"Oct 19, 2021","204.25","202.60","205.60","201.70","14.85K","1.31%"
"Oct 18, 2021","201.60","201.75","204.85","200.55","20.23K","-0.88%"
"Oct 15, 2021","203.40","209.75","211.00","202.75","15.70K","-2.80%"
"Oct 14, 2021","209.25","209.10","212.65","206.30","12.29K","0.29%"
"Oct 13, 2021","208.65","214.55","214.95","205.80","19.18K","-2.11%"
"Oct 12, 2021","213.15","204.05","215.15","202.60","24.69K","4.36%"
"Oct 11, 2021","204.25","199.35","204.85","196.70","12.91K","1.44%"
"Oct 08, 2021","201.35","200.25","203.35","198.50","17.29K","1.74%"
"Oct 07, 2021","197.90","195.15","200.25","193.80","21.44K","2.30%"
"Oct 06, 2021","193.45","192.55","194.95","191.85","11.59K","0.81%"
"Oct 05, 2021","191.90","200.55","201.15","191.30","26.15K","-4.22%"
"Oct 04, 2021","200.35","201.00","206.85","199.65","20.40K","-1.81%"
"Oct 01, 2021","204.05","194.00","205.55","192.95","27.90K","5.18%"
"Sep 30, 2021","194.00","194.10","196.45","193.50","15.78K","0.31%"
"Sep 29, 2021","193.40","198.45","199.45","193.25","14.72K","-2.62%"
"Sep 28, 2021","198.60","194.05","199.00","192.50","16.73K","2.56%"
"Sep 27, 2021","193.65","193.60","195.55","191.95","11.58K","-0.36%"
"Sep 24, 2021","194.35","191.05","195.30","190.60","17.23K","1.97%"
"Sep 23, 2021","190.60","185.35","191.00","185.25","16.99K","3.11%"
"Sep 22, 2021","184.85","183.90","187.50","183.90","12.32K","0.82%"
"Sep 21, 2021","183.35","183.05","185.55","182.35","14.47K","-0.08%"
"Sep 20, 2021","183.50","184.60","186.00","182.08","-","-2.03%"
"Sep 17, 2021","187.30","185.60","188.15","185.60","0.00K","-0.27%"
"Sep 16, 2021","187.80","185.55","185.60","185.55","0.00K","0.43%"
"Sep 15, 2021","187.00","188.00","188.00","188.00","0.00K","2.19%"
"Sep 14, 2021","183.00","186.62","187.82","182.53","-","-0.73%"
"Sep 13, 2021","184.35","187.18","188.45","185.35","-","-0.67%"
"Sep 10, 2021","185.60","187.80","189.18","185.80","-","0.32%"
"Sep 09, 2021","185.00","185.50","185.50","185.50","0.00K","-1.46%"
"Sep 08, 2021","187.75","194.40","196.72","188.08","-","-1.96%"
"Sep 07, 2021","191.50","196.70","197.35","192.38","-","0.50%"
"Sep 03, 2021","190.55","190.70","190.85","190.70","0.00K","-0.70%"
"Sep 02, 2021","191.90","195.00","199.70","192.93","-","-0.67%"
"Sep 01, 2021","193.20","195.30","195.30","195.30","0.00K","-0.13%"
"Aug 31, 2021","193.45","193.15","193.20","193.15","0.00K","-2.00%"
"Aug 30, 2021","197.40","190.55","196.50","190.55","0.03K","4.17%"
"Aug 27, 2021","189.50","186.05","189.60","186.05","0.02K","2.07%"
"Aug 26, 2021","185.65","184.00","184.90","184.00","0.01K","0.87%"
"Aug 25, 2021","184.05","185.35","185.35","183.90","0.04K","0.41%"
"Aug 24, 2021","183.30","180.20","184.25","180.20","0.04K","1.86%"
"Aug 23, 2021","179.95","177.45","180.45","177.20","0.27K","0.95%"
"Aug 20, 2021","178.25","178.30","179.70","175.05","15.45K","0.03%"
"Aug 19, 2021","178.20","179.15","179.15","175.20","13.01K","-0.83%"
"Aug 18, 2021","179.70","178.65","181.15","177.60","8.91K","0.42%"
"Aug 17, 2021","178.95","184.20","184.25","178.30","15.80K","-2.32%"
"Aug 16, 2021","183.20","181.95","186.25","179.75","15.36K","0.25%"
"Aug 13, 2021","182.75","185.95","187.35","181.20","24.80K","-2.04%"
"Aug 12, 2021","186.55","184.70","186.90","182.85","39.09K","1.47%"
"Aug 11, 2021","183.85","181.00","185.30","179.80","29.47K","1.02%"
"Aug 10, 2021","182.00","179.50","182.25","177.55","29.06K","1.48%"
"Aug 09, 2021","179.35","174.80","180.60","172.45","22.41K","1.90%"
"Aug 06, 2021","176.00","177.80","177.80","173.55","21.24K","-0.51%"
"Aug 05, 2021","176.90","175.65","177.65","173.30","17.21K","0.71%"
"Aug 04, 2021","175.65","176.25","178.65","173.90","18.87K","0.46%"
"Aug 03, 2021","174.85","172.80","177.70","172.05","18.66K","1.19%"
"Aug 02, 2021","172.80","179.35","179.35","171.60","37.34K","-3.76%"
"Jul 30, 2021","179.55","200.00","201.75","178.60","31.47K","-8.63%"
"Jul 29, 2021","196.50","201.80","203.50","190.25","29.96K","-1.97%"
"Jul 28, 2021","200.45","204.05","205.35","195.20","28.23K","-0.64%"
"Jul 27, 2021","201.75","206.30","209.60","199.55","27.48K","-2.91%"
"Jul 26, 2021","207.80","199.50","215.20","199.00","37.32K","9.95%"
"Jul 23, 2021","189.00","205.10","209.50","187.20","41.11K","-2.40%"
"Jul 22, 2021","193.65","180.00","195.50","180.00","44.99K","10.03%"
"Jul 21, 2021","176.00","167.10","177.90","166.55","34.76K","6.25%"
"Jul 20, 2021","165.65","160.90","168.35","160.43","-","6.70%"
"Jul 19, 2021","155.25","159.50","159.50","155.60","0.01K","-3.69%"
"Jul 16, 2021","161.20","157.72","161.97","157.72","-","2.74%"
"Jul 15, 2021","156.90","155.90","157.75","155.90","0.04K","0.29%"
"Jul 14, 2021","156.45","154.55","154.55","152.90","0.00K","2.86%"
"Jul 13, 2021","152.10","152.20","152.20","152.10","0.01K","-1.14%"
"Jul 12, 2021","153.85","153.40","153.85","153.40","0.02K","1.69%"
"Jul 09, 2021","151.30","149.60","150.80","149.60","0.00K","-0.49%"
"Jul 08, 2021","152.05","149.30","149.30","149.30","0.00K","1.54%"
"Jul 07, 2021","149.75","148.72","152.30","148.72","-","1.25%"
"Jul 06, 2021","147.90","153.25","153.25","149.35","0.03K","-3.05%"
"Jul 02, 2021","152.55","154.65","154.65","153.75","0.01K","-2.21%"
"Jul 01, 2021","156.00","162.10","162.10","154.00","0.04K","-2.10%"
"Jun 30, 2021","159.35","158.40","159.00","158.05","0.04K","-0.22%"
