"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2021","19.56","19.66","19.84","19.50","-","-0.71%"
"Oct 27, 2021","19.70","19.60","19.86","19.53","42.57K","0.20%"
"Oct 26, 2021","19.66","19.37","19.69","19.32","42.00K","1.39%"
"Oct 25, 2021","19.39","19.15","19.44","18.98","46.85K","1.62%"
"Oct 22, 2021","19.08","19.03","19.15","18.92","33.44K","0.74%"
"Oct 21, 2021","18.94","19.00","19.19","18.87","41.91K","-0.16%"
"Oct 20, 2021","18.97","19.01","19.11","18.84","48.79K","0.53%"
"Oct 19, 2021","18.87","19.35","19.44","18.82","78.46K","-2.48%"
"Oct 18, 2021","19.35","19.77","19.80","19.14","68.10K","-2.27%"
"Oct 15, 2021","19.80","19.60","19.97","19.59","48.62K","1.07%"
"Oct 14, 2021","19.59","19.88","20.01","19.48","74.89K","-1.36%"
"Oct 13, 2021","19.86","20.11","20.15","19.83","44.16K","-1.05%"
"Oct 12, 2021","20.07","20.32","20.38","20.03","38.16K","-1.28%"
"Oct 11, 2021","20.33","20.34","20.61","20.22","44.43K","0.20%"
"Oct 08, 2021","20.29","19.89","20.34","19.84","45.56K","2.27%"
"Oct 07, 2021","19.84","19.77","20.02","19.76","32.01K","0.35%"
"Oct 06, 2021","19.77","19.80","19.87","19.65","29.68K","-0.40%"
"Oct 05, 2021","19.85","19.74","20.04","19.62","36.90K","0.81%"
"Oct 04, 2021","19.69","20.03","20.10","19.63","47.48K","-1.84%"
"Oct 01, 2021","20.06","20.31","20.35","20.02","39.70K","1.16%"
"Sep 30, 2021","19.83","19.08","19.93","18.73","2.76K","4.70%"
"Sep 29, 2021","18.94","18.96","19.32","18.87","7.94K","-0.21%"
"Sep 28, 2021","18.98","18.76","19.05","18.49","16.89K","1.33%"
"Sep 27, 2021","18.73","19.24","19.29","18.72","45.65K","-1.94%"
"Sep 24, 2021","19.10","19.55","19.55","19.05","29.32K","-2.00%"
"Sep 23, 2021","19.49","19.40","19.54","19.29","30.69K","0.83%"
"Sep 22, 2021","19.33","19.04","19.38","19.02","38.59K","1.90%"
"Sep 21, 2021","18.97","18.89","19.24","18.82","25.97K","0.58%"
"Sep 20, 2021","18.86","19.00","19.10","18.81","33.68K","-1.67%"
"Sep 17, 2021","19.18","19.52","19.59","19.04","30.20K","-1.59%"
"Sep 16, 2021","19.49","19.52","19.70","19.30","66.17K","-0.15%"
"Sep 15, 2021","19.52","18.99","19.65","18.96","123.30K","2.95%"
"Sep 14, 2021","18.96","19.06","19.18","18.80","94.85K","-0.11%"
"Sep 13, 2021","18.98","18.81","19.02","18.57","84.10K","1.01%"
"Sep 10, 2021","18.79","19.25","19.25","18.73","97.49K","-2.34%"
"Sep 09, 2021","19.24","19.51","19.55","19.10","113.30K","-1.28%"
"Sep 08, 2021","19.49","19.50","19.76","19.45","103.48K","0.05%"
"Sep 07, 2021","19.48","19.63","19.72","19.44","66.79K","-0.71%"
"Sep 03, 2021","19.62","19.90","19.91","19.55","59.30K","-1.41%"
"Sep 02, 2021","19.90","19.67","19.94","19.62","59.00K","1.17%"
"Sep 01, 2021","19.67","19.93","20.05","19.61","58.85K","-0.86%"
"Aug 31, 2021","19.84","20.30","20.30","19.73","59.74K","-1.88%"
"Aug 30, 2021","20.22","20.04","20.30","20.01","37.09K","0.90%"
"Aug 27, 2021","20.04","19.68","20.10","19.62","41.11K","1.83%"
"Aug 26, 2021","19.68","19.78","19.87","19.49","36.32K","-0.25%"
"Aug 25, 2021","19.73","19.52","19.83","19.42","37.51K","0.77%"
"Aug 24, 2021","19.58","19.68","19.88","19.51","51.38K","0.00%"
"Aug 23, 2021","19.58","19.58","19.79","19.50","40.51K","0.00%"
"Aug 20, 2021","19.58","19.79","19.98","19.47","45.25K","-1.06%"
"Aug 19, 2021","19.79","20.09","20.09","19.71","57.19K","-1.88%"
"Aug 18, 2021","20.17","20.01","20.31","19.99","40.89K","0.75%"
"Aug 17, 2021","20.02","20.02","20.37","19.93","51.73K","-0.05%"
"Aug 16, 2021","20.03","19.99","20.17","19.89","48.09K","0.40%"
"Aug 13, 2021","19.95","19.60","20.10","19.53","51.70K","2.10%"
"Aug 12, 2021","19.54","19.45","19.64","19.33","42.14K","0.36%"
"Aug 11, 2021","19.47","19.66","19.67","19.30","55.01K","-0.61%"
"Aug 10, 2021","19.59","18.63","19.75","18.54","85.98K","6.06%"
"Aug 09, 2021","18.47","18.59","18.70","18.36","32.96K","-1.12%"
"Aug 06, 2021","18.68","18.56","18.92","18.50","40.12K","0.32%"
"Aug 05, 2021","18.62","18.00","18.69","17.83","54.55K","3.85%"
